;Team Name;Primary Color;Secondary Color;Mascot;Team Logo;Location;League;Established Year;Number of Championships;Website;Ownership
0; New York Yankees;Navy Blue;White;Bronx Bombers;Interlocking NY;New York;American League;1901;27;https://www.yankees.com;Yankee Global Enterprises
1;Boston Red Sox;Red;Blue;Chowderheads;Sock On A Bat;Boston;American League;1901;9;https://www.redsox.com;Fenway Sports Group
2;St. Louis Cardinals;Red;White;Birds On The Bat;Cardinal Bird;St. Louis;National League;1882;11;https://www.cardinals.com;William DeWitt, Jr.
3;Chicago Cubs;Blue;White;Cubbies;Cub Bear;Chicago;National League;1870;3;https://www.chicagocubs.com;Ricketts Family
4;Los Angeles Dodgers;Dodger Blue;White;Doyers;Leaping Dog;Los Angeles;National League;1883;6;https://www.mlb.com/dodgers;Guggenheim Baseball Management
5;San Francisco Giants;Orange;Black;The Boys From The Bay;Swinging SF;San Francisco;National League;1883;8;https://www.mlb.com/giants;San Francisco Baseball Associates LLC
6;Philadelphia Phillies;Red;White;Fightin' Phils;Liberty Bell;Philadelphia;National League;1883;2;https://www.mlb.com/phillies;John Middleton (Managing Partner)
7;Atlanta Braves;Navy Blue;Red;America's Team;Screaming Indian;Atlanta;National League;1871;3;https://www.mlb.com/braves;Liberty Media
8;Washington Nationals;Red;Blue;Nats;Curly W;Washington;National League;1969;1;https://www.mlb.com/nationals;Ted Lerner
9;Detroit Tigers;Olde English D;White;Motor City Kitties;Old English D;Detroit;American League;1894;4;https://www.mlb.com/tigers;Illitch Family Holdings</s>
