;Biological entity name; Role or function within system; Genetic information (type); Cellular location(s)/compartmentalization; Protein tertiary structure; Post-translational modifications; Expression patterns across tissues / life stages; Evolutionary history; Interactions with other entities; Mutations and their effects; Protein-protein interaction networks; Pathway annotations**
0;  Chlorophyll a; Captures light energy for photosynthesis; DNA, transcribed into chloroplast genome; Thylakoid membrane; Organic molecule with porphyrin ring; None; Expressed in plants, algae, and cyanobacteria; Ancestral gene transfer from cyanobacteria; Interacts with other photosynthetic pigments; None; Critical for photosystem II formation; Photosynthesis pathway
1; Insulin; Regulates glucose metabolism; DNA, transcribed into nuclear genome; Secretory vesicles; Hormone with two polypeptide chains; Glycosylation, disulfide bonds; Highly expressed in pancreatic beta cells during development; Evolutionarily conserved hormone; Interacts with insulin receptor and IGF-1R; Mutations cause diabetes, growth defects; Insulin-signaling network; Insulin-release signaling pathway
2; Tubulin alpha-1B; Structural component of microtubules; DNA, transcribed into nuclear genome; Microtubule lumen; Alpha-helices and beta-sheets; None; Broadly expressed in eukaryotic cells; Orthologs in all eukaryotes; Interacts with tubulin beta-chain and microtubule-associated proteins; Mutations cause ciliopathies and neurodevelopmental disorders; Mitotic spindle network; Tubulin-based transport pathway
3; Hemoglobin subunit alpha; Oxygen transport; DNA, transcribed into nuclear genome; Erythrocyte cytoplasm; Complex protein with four subunits; Heme modification, disulfide bonds; Expressed in fetal and adult erythrocytes; Vertebrate-specific protein; Interacts with hemoglobin subunit beta, oxygen, and carbon dioxide; Mutations cause anemia, jaundice, or breathing difficulties; Oxygen transport and carbon dioxide exchange networks; Glycolysis pathway
4; Actin (cytoplasmic); Cytoskeletal organization and muscle contraction; DNA, transcribed into nuclear genome; Thin filaments or cytoplasm; Globular protein; Phosphorylation, ATP binding; Expressed in all eukaryotic cells; Orthologs in all eukaryotes; Interacts with tropomyosin, myosin, and other cytoskeletal components; Mutations cause diverse developmental and neuromuscular disorders; Cytoskeleton network; Cell motility pathway
5; Ribosomal protein L3; Protein synthesis; DNA, transcribed into nuclear genome; Ribosome; Alpha-helices and beta-sheets; No known modifications; Broadly expressed in eukaryotic cells; Orthologs in all eukaryotes; Interacts with rRNA, other ribosomal proteins, and tRNA; Mutations cause various ribosomopathies; Ribosomal network; Translation pathway
6; Myosin heavy chain 6; Muscle contraction; DNA, transcribed into nuclear genome; Thick filaments; Motor protein with N-terminal motor domain and C-terminal tail; Phosphorylation; Expressed in skeletal, cardiac, and smooth muscles; Vertebrate-specific protein; Interacts with actin, tropomyosin, and other myosins; Mutations cause cardiac defects, hearing loss, or kidney disease; Myosin network; Muscle contraction pathway
7; Transferrin receptor 1; Iron transport; DNA, transcribed into nuclear genome; Cell surface; Type II transmembrane protein with extracellular domain; Glycosylation; Expressed in all human tissues; Orthologs in many animal species; Interacts with transferrin and transferrin receptor 2; Mutations associated with anemia and neurodegenerative disorders; Iron uptake network; Cellular iron homeostasis pathway
8; Collagen alpha-1(I) chain; Structural integrity of connective tissue; DNA, transcribed into nuclear genome; Extracellular matrix; Triple helix structure; Hydroxylation, glycosylation; Broadly expressed in connective tissue; Orthologs in many animals; Interacts with other collagen chains and proteoglycans; Mutations cause various connective tissue disorders; Collagen network; Extracellular matrix formation pathway
9; TP53; Tumor suppressor protein; DNA, transcribed into nuclear genome; Nucleus; Helix-loop-helix DNA-binding domain; Phosphorylation, acetylation; Virtually expressed in all cells; Orthologs in most animal species; Interacts with DNA, MDM2, and other proteins; Mutations lead to cancer progression; TP53 pathway; Cell cycle, DNA repair, and apoptosis pathways. 
10;  Aldosterone synthase; Conversion of cortisol to aldosterone; DNA, transcribed into nuclear genome; Mitochondria; Membrane-bound enzyme; Multiple modifications including hydroxylation and phosphorylation; Expressed primarily in the adrenal gland; Orthologs in many mammals; Interacts with cholesterol, NADPH, and oxygen; Mutations associated with congenital adrenal hyperplasia; Steroidogenesis pathway; Aldosterone synthesis and regulation pathway
11; Actin, cytoplasmic 1; Cytoskeletal organization and muscle contraction; DNA, transcribed into nuclear genome; Cytoplasm; Globular protein with a helical structure; Multiple modifications including phosphorylation and methylation; Expressed in all eukaryotic cells; Orthologs in all eukaryotes; Interacts with myosin, tropomyosin, and other actin proteins; Mutations lead to various muscle and cytoskeletal disorders; Actin-based motility pathway; Cell division pathway
12; Tubulin alpha-1a; Microtubule formation and organization; DNA, transcribed into nuclear genome; Cytoplasm; Tubulin protein forming microtubules; Multiple modifications including acetylation, tyrosination, and polyglutamylation; Expressed in all eukaryotic cells; Orthologs in all eukaryotes; Interacts with tubulin beta, motor proteins, and microtubule-associated proteins; Mutations lead to various neurological disorders; Microtubule-based transport pathway; Cell division pathway
13; Glutamate decarboxylase 1; Production of gamma-aminobutyric acid (GABA); DNA, transcribed into nuclear genome; Cytoplasm; Pyridoxal-5'-phosphate-dependent enzyme; Multiple modifications including phosphorylation; Expressed primarily in the brain and other neural tissues; Orthologs in many animals; Interacts with pyridoxal-5'-phosphate and glutamate; Mutations associated with epilepsy; GABAergic neurotransmission pathway; Neurotransmitter synthesis pathway
14; Hemoglobin subunit alpha; Oxygen transport; DNA, transcribed into nuclear genome; Erythrocytes; Globin protein forming quaternary structure with heme binding site; Multiple modifications including glycosylation and acetylation; Expressed primarily in erythrocytes; Orthologs in many animals; Interacts with hemoglobin subunit beta and oxygen; Mutations lead to various blood disorders including sickle cell disease; Oxygen transport pathway; Erythrocyte maturation pathway
15; Cytochrome c oxidase subunit I; Oxidative phosphorylation; DNA, transcribed into mitochondrial genome; Inner mitochondrial membrane; Multiple transmembrane domains; Multiple modifications including heme attachment; Expressed in most eukaryotic cells; Orthologs in many eukaryotes; Interacts with other cytochrome c oxidase subunits and cytochrome c; Mutations lead to various mitochondrial disorders; Oxidative phosphorylation pathway; Electron transport chain pathway
16; ATP synthase subunit alpha; ATP production; DNA, transcribed into mitochondrial genome; Inner mitochondrial membrane; Multiple transmembrane domains; Multiple modifications including phosphorylation; Expressed in most eukaryotic cells; Orthologs in many eukaryotes; Interacts with other ATP synthase subunits; Mutations lead to various mitochondrial disorders; ATP production pathway; Oxidative phosphorylation pathway
17; Nucleolin; Nucleolar function and RNA processing; DNA, transcribed into nuclear genome; Nucleolus and nucleoplasm; Protein with multiple domains for RNA binding; Multiple modifications including phosphorylation and acetylation; Expressed in most eukaryotic cells; Orthologs in most eukaryotes; Interacts with nucleic acids and other nucleolar proteins; Mutations associated with cancer and other disorders; RNA processing pathway; Nucleolar organization and function pathway
18; Estrogen receptor alpha; Hormone-mediated gene expression; DNA, transcribed into nuclear genome; Nucleus and cytoplasm; Transcription factor with a DNA-binding domain; Multiple modifications including phosphorylation and acetylation; Expressed primarily in reproductive and other hormone-responsive tissues; Orthologs in many animals; Interacts with DNA, cofactors, and estrogen; Mutations associated with hormone-dependent cancers; Estrogen signaling pathway; Gene expression regulation pathway
19; HIST1H3B; Chromatin structure and gene expression; DNA, transcribed into nuclear genome; Nucleus; Histone protein forming nucleosomes; Multiple modifications including methylation and acetylation; Broadly expressed in many tissues and life stages; Orthologs in many animals; Interacts with DNA and other histone proteins; Mutations associated with various disorders including cancers; Chromatin remodeling pathway; Gene expression regulation pathway.</s>
20;  Tubulin alpha-1a; Microtubule dynamics and cell division; DNA, transcribed into nuclear genome; Cytoplasm, microtubules; Tube-shaped dimer with GTP-binding sites; Multiple modifications including acetylation and tyrosination; Broadly expressed in eukaryotic cells; Orthologs in many eukaryotes; Interacts with tubulin and microtubule-associated proteins; Mutations associated with neurodegenerative disorders; Microtubule-based process pathway; Cell division pathway
21; P53; Tumor suppressor and cell cycle regulation; DNA, transcribed into nuclear genome; Nucleus; Transcription factor with DNA-binding domain; Multiple modifications including phosphorylation and acetylation; Expressed in most cell types; Orthologs in many animals; Interacts with DNA, cofactors, and various proteins; Mutations associated with cancer predisposition; Cell cycle regulation pathway; Apoptosis pathway
22; Cytochrome c; Electron transport and energy production; DNA, transcribed into mitochondrial genome; Mitochondrial intermembrane space; Protein with heme cofactor; Modifications include oxidation and reduction; Broadly expressed in eukaryotic cells; Orthologs in many eukaryotes; Interacts with cardiolipin and apoptotic proteins; Mutations associated with neuromuscular disorders; Electron transport chain pathway; Apoptosis pathway
23; Ribosomal protein S6; Protein synthesis and growth regulation; DNA, transcribed into nuclear genome; Cytoplasmic ribosome; Structural protein in ribosome; Modifications include phosphorylation; Broadly expressed in eukaryotic cells; Orthologs in many eukaryotes; Interacts with mRNA and other ribosomal proteins; Mutations associated with growth disorders and cancers; Translation pathway; mTOR signaling pathway
24; ATP synthase subunit alpha; ATP synthesis and energy production; DNA, transcribed into mitochondrial genome; Mitochondrial F1 sector; Component of F1F0-ATP synthase; Modifications include subunit assembly and ADP-ribosylation; Broadly expressed in eukaryotic cells; Orthologs in many eukaryotes; Interacts with ATP synthase subunits, adenine nucleotides and inhibitors; Mutations associated with neuromuscular disorders; Oxidative phosphorylation pathway; ATP synthesis pathway
25; Claudin-5; Tight junction formation and barrier function; DNA, transcribed into nuclear genome; Plasma membrane, tight junctions; Four-transmembrane protein with two extracellular domains; Modifications include palmitoylation and glycosylation; Expressed primarily in endothelial cells; Orthologs in many animals; Interacts with other tight junction proteins; Mutations associated with vascular disorders; Tight junction formation pathway; Cell adhesion pathway
26; Myosin II; Cell motility, contractility and cell division; DNA, transcribed into nuclear genome; Cytoplasm, actin filaments; Motor protein with actin-binding domain; Modifications include phosphorylation and myosin light chain binding; Broadly expressed in eukaryotic cells; Orthologs in many eukaryotes; Interacts with actin, regulators, and adaptors; Mutations associated with cardiac and skeletal disorders; Actin-based motility pathway; Cell division pathway
27; Glyceraldehyde 3-phosphate dehydrogenase (GAPDH); Glycolysis and energy production; DNA, transcribed into nuclear genome; Cytoplasm; Tetrameric enzyme with NAD+-binding and substrate-binding domains; Modifications include oxidative stress-induced modifications; Broadly expressed in eukaryotic cells; Orthologs in many eukaryotes; Interacts with substrates, inhibitors, and regulators; Mutations associated with neurodegenerative disorders; Glycolysis pathway; Energy metabolism pathway
28; Collagen IV; Extracellular matrix formation and cell adhesion; DNA, transcribed into nuclear genome; Extracellular space; Trimeric protein with triple-helical structure; Modifications include hydroxylation and glycosylation; Expressed primarily in basement membranes; Orthologs in many animals; Interacts with other extracellular matrix proteins; Mutations associated with connective tissue disorders; Extracellular matrix formation pathway; Cell adhesion pathway
29; Glutamine synthetase; Amino acid metabolism and nitrogen regulation; DNA, transcribed into nuclear genome; Cytoplasm; Dimeric enzyme with catalytic and regulatory domains; Modifications include phosphorylation and allosteric regulation; Broadly expressed in eukaryotic cells; Orthologs in many eukaryotes; Interacts with substrates, regulators, and allosteric effectors; Mutations associated with neurological disorders; Amino acid metabolism pathway; Nitrogen regulation pathway</s>
30;  Ribosome; Protein synthesis; RNA, transcribed into nucleolus; Cytoplasm; Large and small subunits with distinct RNA and protein components; Modifications include rRNA processing and ribosomal protein modifications; Broadly expressed in all cells; Orthologs in all organisms; Interacts with mRNA, tRNA, and initiation/elongation factors; Mutations associated with ribosomopathies; Protein synthesis pathway; RNA processing pathway
31; Tubulin; Cell division and intracellular transport; DNA, transcribed into nuclear genome; Cytoplasm; Heterodimer of alpha and beta tubulin proteins; Modifications include phosphorylation and acetylation; Broadly expressed in eukaryotic cells; Orthologs in many eukaryotes; Interacts with microtubule-associated proteins and motor proteins; Mutations associated with neurodegenerative disorders; Microtubule-based transport pathway; Cell division pathway
32; ATP synthase; Energy production; DNA, transcribed into nuclear genome; Mitochondrial matrix; Complex protein structure with F1 and F0 domains; Modifications include subunit assembly, membrane insertion, and post-translational modifications; Broadly expressed in eukaryotic cells; Orthologs in many eukaryotes; Interacts with protons, substrates, and inhibitors; Mutations associated with mitochondrial disorders; Oxidative phosphorylation pathway; Energy metabolism pathway
33; Hemoglobin; Oxygen transport; DNA, transcribed into nuclear genome; Erythrocyte cytoplasm; Tetrameric protein with four subunits (two alpha and two beta); Modifications include glycosylation, carbamylation, and nitrosylation; Expressed primarily in erythrocytes; Orthologs in many animals; Interacts with oxygen, carbon dioxide, and allosteric regulators; Mutations associated with anemias and other blood disorders; Heme biosynthesis pathway; Oxygen transport pathway
34; Actin; Cytoskeleton and cell motility; DNA, transcribed into nuclear genome; Cytoplasm; Monomeric protein with distinct conformational states; Modifications include phosphorylation, methylation, and polymerization; Broadly expressed in eukaryotic cells; Orthologs in many eukaryotes; Interacts with other cytoskeletal proteins and regulatory proteins; Mutations associated with muscular disorders and neurodegeneration; Cytoskeleton organization pathway; Cell motility pathway
35; Albumin; Maintaining oncotic pressure and binding/transporting small molecules; DNA, transcribed into nuclear genome; Hepatocyte cytoplasm; Monomeric protein with distinct binding sites; Modifications include glycosylation and oxidation; Expressed primarily in liver; Orthologs in many animals; Interacts with ligands such as fatty acids, bilirubin, and drugs; Mutations associated with inherited albumin disorders; Lipid metabolism pathway; Drug metabolism pathway
36; Acetylcholinesterase; Neurotransmitter degradation; DNA, transcribed into nuclear genome; Neuronal synapse; Tetrameric enzyme with catalytic and structural domains; Modifications include phosphorylation, glycosylation, and subunit assembly; Broadly expressed in neurons; Orthologs in many animals; Interacts with neurotransmitters and inhibitors; Mutations associated with neurological disorders; Neurotransmitter degradation pathway; Synaptic transmission pathway
37; Cytochrome P450; Drug metabolism and xenobiotic detoxification; DNA, transcribed into nuclear genome; Endoplasmic reticulum; Heme-containing monooxygenase; Modifications include N-terminal modifications, glycosylation, and subunit assembly; Broadly expressed in many tissues; Orthologs in many organisms; Interacts with drugs, xenobiotics, and substrates; Mutations associated with drug toxicities; Drug metabolism pathway; Xenobiotic detoxification pathway
38; Integrins; Cell adhesion and signal transduction; DNA, transcribed into nuclear genome; Cell membrane; Heterodimeric receptors with distinct subunits; Modifications include glycosylation, phosphorylation, and ligand binding; Broadly expressed in many tissues; Orthologs in many animals; Interacts with extracellular matrix proteins, cytoskeleton, and intracellular signaling proteins; Mutations associated with connective tissue disorders and developmental abnormalities; Cell adhesion pathway; Signal transduction pathway</s>
39;  Histones; Chromatin structure and gene regulation; DNA, transcribed into nuclear genome; Nucleus; Highly conserved protein fold; Modifications include methylation, acetylation, phosphorylation, and ubiquitination; Broadly expressed in eukaryotic cells; Orthologs in many eukaryotes; Interact with DNA and other histone proteins; Mutations associated with developmental abnormalities and diseases; Chromatin remodeling pathway; Epigenetic regulation pathway
40; Tubulin; Microtubule-based structure and movement; DNA, transcribed into nuclear genome; Cytosol, mitotic spindle; alpha/beta heterodimer; Modifications include tyrosination, acetylation, and tubulin-binding protein interactions; Broadly expressed in eukaryotic cells; Orthologs in many eukaryotes; Interact with microtubule-associated proteins and motor proteins; Mutations associated with neurodevelopmental disorders and ciliopathies; Microtubule-based transport pathway; Cell division pathway
41; Collagen; Extracellular matrix structure and integrity; DNA, transcribed into nuclear genome; Extracellular space; Triple helix; Modifications include hydroxylation, glycosylation, and disulfide bond formation; Broadly expressed in connective tissues; Orthologs in many animals; Interact with other extracellular matrix proteins, such as integrins and proteoglycans; Mutations associated with connective tissue disorders and developmental abnormalities; Extracellular matrix pathway; Cell adhesion pathway
42; Transferrin; Iron transport and homeostasis; DNA, transcribed into nuclear genome; Cytosol and extracellular space; Beta-barrel structural domain; Modifications include glycosylation; Broadly expressed in many tissues; Orthologs in many animals; Interact with iron and transferrin receptors; Mutations associated with iron metabolism disorders; Iron homeostasis pathway; Endocytosis pathway
