;Book Title; Publication Year; Pages; Series Info; Awards; Available Formats; Publisher; List Price; Language; ISBN; Reader’s Average Rating; Number of Ratings; In Print
0;" ""Pride and Prejudice""";1813;238;None;Man Booker Prize, Pulitzer Prize;Paperback, Audio, Ebook;Penguin Classics;$6.95;English;9780143035456;4.5;1204563;Yes
1;"""To Kill a Mockingbird""";1960;281;None;Pulitzer Prize;Paperback, Audio, Ebook;Harper Perennial;$7.99;English;9780060935467;4.6;1987432;Yes
2;"""The Great Gatsby""";1925;180;Jazz Age;Pulitzer Prize;Paperback, Audio, Ebook;Scribner;$5.95;English;9780743273565;4.2;1811332;Yes
3;"""1984""";1949;328;None;None;Paperback, Audio, Ebook;Signet;$8.99;English;9780451524935;4.4;2874511;Yes
4;"""Harry Potter and the Philosopher's Stone""";1997;223;Harry Potter;None;Paperback, Audio, Ebook;Bloomsbury;$8.99;English;9781551924491;4.6;5627839;Yes
5;"""The Catcher in the Rye""";1951;277;None;None;Paperback, Audio, Ebook;Little, Brown and Company;$7.99;English;9780316769488;4.3;3012589;Yes
6;"""The Da Vinci Code""";2003;454;Robert Langdon;Booker Prize;Paperback, Audio, Ebook;Doubleday;$9.99;English;9780385504201;3.8;7654624;Yes
7;"""One Hundred Years of Solitude""";1967;417;Buendía Family;None;Paperback, Audio, Ebook;Harper Perennial;$8.99;English;9780060883291;4.2;1587341;Yes
8;"""The Hobbit""";1937;295;The Lord of the Rings;None;Paperback, Audio, Ebook;Houghton Mifflin;$7.99;English;9780544335043;4.4;5264697;Yes
9;"""Animal Farm""";1945;126;None;None;Paperback, Audio, Ebook;Signet;$6.99;English;9780451526342;4.3;6574392;Yes</s>
