;"""Country Code""";"""Country Name""";"""Continent""";"""Population""";"""Currency""";"""Capital""";"""Latitude""";"""Longitude""";"""GDP (per capita)""";"""Language(s)""";"""Religion(s)""";"""Independence Day""";"""Internet Users""";"""Literacy Rate""";"""Calling Code"""
0;" ""AFG""";"""Afghanistan""";"""Asia""";"""37,172,386""";"""Afghani""";"""Kabul""";"""34.53""";"""69.17""";"""509.277""";"""Pashto, Afghan Persian""";"""Islam (Sunni, Shia)""";"""19th August 1919""";"""8,092,745""";"""38.2%""";"""93"""
1;"""ALB""";"""Albania""";"""Europe""";"""2,870,323""";"""Lek""";"""Tirana""";"""41.15""";"""20.17""";"""5,132.802""";"""Albanian""";"""Christianity (majority)";" Islam, Bektashi, Roman Catholic, Orthodox""";"""28th November 1912""";"""1,835,371""";"""98.3%"" ""+355"""
2;"""AND""";"""Andorra""";"""Europe""";"""77,543""";"""Euro""";"""Andorra la Vella""";"""42.5""";"""1.5""";"""49,612.46""";"""Catalan""";"""Never been occupied""";"""9,882""";"""81.5%""";"""+376""";
3;"""ARE""";"""United Arab Emirates""";"""Asia""";"""9,890,402""";"""United Arab Emirates Dirham""";"""Abu Dhabi""";"""24.47""";"""54.4""";"""43,634.64""";"""Arabic""";"""2nd December 1971""";"""9,545,547""";"""93.1%""";"""+971""";
4;"""ARG""";"""Argentina""";"""South America""";"""44,494,374""";"""Argentine Peso""";"""Buenos Aires""";"""-34.61""";"""-58.42""";"""10,426.034""";"""Spanish""";"""9th July 1816""";"""39,943,359""";"""98.1%""";"""+54""";
5;"""AUS""";"""Australia""";"""Australia""";"""25,499,884""";"""Australian Dollar""";"""Canberra""";"""-25.27""";"""133.72""";"""50,437.6""";"""English""";"""1st January 1901""";"""17,562,340""";"""99%""";"""+61""";
6;"""AUT""";"""Austria""";"""Europe""";"""8,935,112""";"""Euro""";"""Vienna""";"""47.33""";"""13.36""";"""48,547.588""";"""German""";"""12th November 1918""";"""7,406,393""";"""99%""";"""+43""";
7;"""AZE""";"""Azerbaijan""";"""Asia""";"""10,139,177""";"""Azerbaijani Manat""";"""Baku""";"""40.39""";"""49.87""";"""8,024.217""";"""Azerbaijani, Russian, Armenian""";"""Islam (mostly Shia), Christianity""";"""28th May 1918""";"""8,841,242""";"""99.5%""";"""+994"""
8;"""BDI""";"""Burundi""";"""Africa""";"""11,466,782""";"""Burundian Franc""";"""Gitega""";"""-3.37""";"""29.34""";"""300.118""";"""Kirundi, French, Swahili""";"""1st July 1962""";"""525,996""";"""68.7%""";"""+257""";
9;"""BEL""";"""Belgium""";"""Europe""";"""11,589,623""";"""Euro""";"""Brussels""";"""50.51""";"""4.47""";"""46,138.833""";"""Dutch, French, German""";"""4th October 1830""";"""11,224,179""";"""99%""";"""+32""</s>";
10;" ""BLR""";"""Belarus""";"""Europe""";"""9,498,700""";"""Belarusian Ruble""";"""Minsk""";"""53.9""";"""27.56""";"""18,928.420""";"""Russian, Belarusian""";"""25th March 1918""";"""7,061,057""";"""99.7%""";"""+375""";
11;"""BTN""";"""Bhutan""";"""Asia""";"""754,394""";"""Bhutanese Ngultrum""";"""Thimphu""";"""27.43""";"""89.62""";"""8,136.636""";"""Dzongkha""";"""17th December 1907""";"""420,172""";"""66.2%""";"""+975""";
12;"""BEN""";"""Benin""";"""Africa""";"""12,123,272""";"""West African CFA Franc""";"""Porto-Novo""";"""6.43""";"""2.63""";"""2,360.194""";"""French, Fon, Yoruba""";"""1st August 1960""";"""1,425,844""";"""38.4%""";"""+229""";
13;"""BFA""";"""Burkina Faso""";"""Africa""";"""20,883,734""";"""West African CFA Franc""";"""Ouagadougou""";"""12.24""";"""-1.57""";"""2,167.313""";"""French (official), Moore, Dyula""";"""5th August 1960""";"""1,873,255""";"""43.1%""";"""+226""";
14;"""BIH""";"""Bosnia and Herzegovina""";"""Europe""";"""3,280,819""";"""Convertible Mark""";"""Sarajevo""";"""43.92""";"""18.39""";"""12,207.235""";"""Bosnian, Croatian, Serbian""";"""1st March 1992""";"""2,720,524""";"""98.5%""";"""+387""";
15;"""BWA""";"""Botswana""";"""Africa""";"""2,318,482""";"""Botswana Pula""";"""Gaborone""";"""-22.33""";"""24.67""";"""17,508.524""";"""English (official), Tswana""";"""30th September 1966""";"""840,862""";"""89.4%""";"""+267""";
16;"""BVT""";"""Bouvet Island""";"""Antarctica""";"""0""";"""Norwegian Krone""";"""-""";"""-54.43""";"""3.39""";"""";"""Norwegian""";"""""";"""0""";"""0%""";"""+47""";
17;"""BRA""";"""Brazil""";"""South America""";"""212,559,417""";"""Brazilian Real""";"""Brasília""";"""-10.00""";"""-55.00""";"""8,991.046""";"""Portuguese""";"""7th September 1822""";"""141,683,612""";"""92.6%""";"""+55""";
18;"""BRN""";"""Brunei""";"""Asia""";"""450,375""";"""Brunei Dollar""";"""Bandar Seri Begawan""";"""4.55""";"""114.67""";"""38,650.975""";"""Malay""";"""1st January 1984""";"""401,035""";"""97.2%""";"""+673""";
19;"""BGR""";"""Bulgaria""";"""Europe""";"""6,948,445""";"""Bulgarian Lev""";"""Sofia""";"""42.72""";"""23.33""";"""20,002.071""";"""Bulgarian""";"""3rd March 1878""";"""5,955,594""";"""98.4%""";"""+359""</s>";
20;" ""CHE""";"""Switzerland""";"""Europe""";"""8,571,117""";"""Swiss Franc""";"""Bern""";"""46.52""";"""7.44""";"""62,830.962""";"""German, French, Italian, Romansh""";"""12th September 1848""";"""7,892,532""";"""99%""";"""+41""";
21;"""CHL""";"""Chile""";"""South America""";"""19,116,201""";"""Chilean Peso""";"""Santiago""";"""-27.5""";"""-70.7""";"""15,141.657""";"""Spanish""";"""18th September 1810""";"""14,517,530""";"""97.5%""";"""+56""";
22;"""CHN""";"""China""";"""Asia""";"""1,439,323,776""";"""Renminbi""";"""Beijing""";"""40.2""";"""116.4""";"""16,624.489""";"""Mandarin""";"""1st October 1949""";"""725,055,237""";"""95.1%""";"""+86""";
23;"""COL""";"""Colombia""";"""South America""";"""50,882,884""";"""Colombian Peso""";"""Bogotá""";"""4.72""";"""-74.08""";"""6,812.827""";"""Spanish""";"""20th July 1810""";"""31,571,243""";"""94.6%""";"""+57""";
24;"""COM""";"""Comoros""";"""Africa""";"""850,886""";"""Comorian Franc""";"""Moroni""";"""11.5""";"""43.2""";"""854.039""";"""Comorian, Arabic, French""";"""6th July 1975""";"""578,731""";"""70.4%""";"""+269""";
25;"""CPV""";"""Cape Verde""";"""Africa""";"""545,351""";"""Cape Verdean Escudo""";"""Praia""";"""14.5""";"""-23.5""";"""5,945.46""";"""Portuguese""";"""5th July 1975""";"""409,527""";"""87.6%""";"""+238""";
26;"""CRI""";"""Costa Rica""";"""North America""";"""5,094,114""";"""Costa Rican Colón""";"""San José""";"""10.0""";"""-84.0""";"""19,740.145""";"""Spanish""";"""15th September 1821""";"""3,158,167""";"""97.8%""";"""+506""";
27;"""CUB""";"""Cuba""";"""North America""";"""11,326,616""";"""Cuban Peso""";"""Havana""";"""23.1""";"""-82.4""";"""12,392.487""";"""Spanish""";"""20th May 1902""";"""5,942,374""";"""99.8%""";"""+53""";
