;Quantitative Magnetic Data; Gravity Anomalies; Magnetotellurric Response：Resistivity Distribution; Saturation Levels; Pore Pressure Estimates; Electrical Conductivities; CR Residual Tensor：Curie Point Depth Determination; Thermal Gradients; Heat Flow Measurements; Volcanological Activity Monitoring
0; Quantitative Magnetic Data: 50nT; Gravity Anomalies: -20 mGal; Magnetotellurric Response：Resistivity Distribution: 10-100 Ohm-m; Saturation Levels: 30%; Pore Pressure Estimates: 2000 psi; Electrical Conductivities: 0.01 S/m; CR Residual Tensor：Curie Point Depth Determination: 500m; Thermal Gradients: 20°C/km; Heat Flow Measurements: 80 mW/m²; Volcanological Activity Monitoring: stable
1; Quantitative Magnetic Data: 35nT; Gravity Anomalies: -15 mGal; Magnetotellurric Response：Resistivity Distribution: 50-200 Ohm-m; Saturation Levels: 50%; Pore Pressure Estimates: 2500 psi; Electrical Conductivities: 0.02 S/m; CR Residual Tensor：Curie Point Depth Determination: 700m; Thermal Gradients: 25°C/km; Heat Flow Measurements: 90 mW/m²; Volcanological Activity Monitoring: increasing
2; Quantitative Magnetic Data: 45nT; Gravity Anomalies: -30 mGal; Magnetotellurric Response：Resistivity Distribution: 20-100 Ohm-m; Saturation Levels: 20%; Pore Pressure Estimates: 1500 psi; Electrical Conductivities: 0.005 S/m; CR Residual Tensor：Curie Point Depth Determination: 600m; Thermal Gradients: 15°C/km; Heat Flow Measurements: 70 mW/m²; Volcanological Activity Monitoring: decreasing
3; Quantitative Magnetic Data: 60nT; Gravity Anomalies: -10 mGal; Magnetotellurric Response：Resistivity Distribution: 100-500 Ohm-m; Saturation Levels: 70%; Pore Pressure Estimates: 3000 psi; Electrical Conductivities: 0.03 S/m; CR Residual Tensor：Curie Point Depth Determination: 800m; Thermal Gradients: 30°C/km; Heat Flow Measurements: 100 mW/m²; Volcanological Activity Monitoring: stable
4; Quantitative Magnetic Data: 25nT; Gravity Anomalies: -25 mGal; Magnetotellurric Response：Resistivity Distribution: 10-50 Ohm-m; Saturation Levels: 35%; Pore Pressure Estimates: 1800 psi; Electrical Conductivities: 0.015 S/m; CR Residual Tensor：Curie Point Depth Determination: 400m; Thermal Gradients: 22°C/km; Heat Flow Measurements: 75 mW/m²; Volcanological Activity Monitoring: increasing
5; Quantitative Magnetic Data: 55nT; Gravity Anomalies: -20 mGal; Magnetotellurric Response：Resistivity Distribution: 80-300 Ohm-m; Saturation Levels: 45%; Pore Pressure Estimates: 2200 psi; Electrical Conductivities: 0.025 S/m; CR Residual Tensor：Curie Point Depth Determination: 650m; Thermal Gradients: 28°C/km; Heat Flow Measurements: 85 mW/m²; Volcanological Activity Monitoring: decreasing
6; Quantitative Magnetic Data: 70nT; Gravity Anomalies: -35 mGal; Magnetotellurric Response：Resistivity Distribution: 50-200 Ohm-m; Saturation Levels: 60%; Pore Pressure Estimates: 2800 psi; Electrical Conductivities: 0.04 S/m; CR Residual Tensor：Curie Point Depth Determination: 900m; Thermal Gradients: 35°C/km; Heat Flow Measurements: 110 mW/m²; Volcanological Activity Monitoring: stable
7; Quantitative Magnetic Data: 30nT; Gravity Anomalies: -10 mGal; Magnetotellurric Response：Resistivity Distribution: 20-100 Ohm-m; Saturation Levels: 25%; Pore Pressure Estimates: 1200 psi; Electrical Conductivities: 0.008 S/m; CR Residual Tensor：Curie Point Depth Determination: 550m; Thermal Gradients: 18°C/km; Heat Flow Measurements: 65 mW/m²; Volcanological Activity Monitoring: increasing
8; Quantitative Magnetic Data: 50nT; Gravity Anomalies: -40 mGal; Magnetotellurric Response：Resistivity Distribution: 100-500 Ohm-m; Saturation Levels: 55%; Pore Pressure Estimates: 2600 psi; Electrical Conductivities: 0.035 S/m; CR Residual Tensor：Curie Point Depth Determination: 750m; Thermal Gradients: 32°C/km; Heat Flow Measurements: 95 mW/m²; Volcanological Activity Monitoring: decreasing
9; Quantitative Magnetic Data: 40nT; Gravity Anomalies: -30 mGal; Magnetotellurric Response：Resistivity Distribution: 30-150 Ohm-m; Saturation Levels: 40%; Pore Pressure Estimates: 2400 psi; Electrical Conductivities: 0.02 S/m; CR Residual Tensor：Curie Point Depth Determination: 850m; Thermal Gradients: 27°C/km; Heat Flow Measurements: 80 mW/m²; Volcanological Activity Monitoring: stable.</s>
