;Study Area ID; Date & Time Stamp; Weather Condition; Absolute Temperature (°C); Relative Humidity (%); Atmospheric Pressure (hPa); Wind Speed (m/s); Solar Radiation (W/m²); Soil Moisture (%); Additional Parameter 1; Additional Parameter 2; Additional Parameter 3
0; 101; 2022-01-01 00:00:00; Clear skies; 10.0; 45.0; 1013.0; 2.0; 150.0; 15.0; Soil temperature (-°C); 10.5; 44.8  1012.5
1;102; 2022-01-01 06:00:00; Light rain; 8.5; 75.0; 1012.0; 1.5; 120.0; 18.0; Water content in air (g/m³); 7.6; 74.9  1011.8
2;103; 2022-01-01 12:00:00; Partly cloudy; 12.0; 30.0; 1010.0; 3.0; 200.0; 12.0; Atmospheric electrical conductivity (µS/cm); 11.9; 29.8  1009.9
3;104; 2022-01-01 18:00:00; Overcast; 6.0; 90.0; 1008.0; 0.5; 50.0; 19.0; Root zone moisture content (%); 5.8; 89.5  1007.5
4;105; 2022-01-02 00:00:00; Clear skies; 10.5; 44.0; 1013.5; 2.5; 155.0; 14.5; Volumetric water content in soil (%); 10.3; 43.8  1013.1
5;106; 2022-01-02 06:00:00; Light rain; 8.0; 76.0; 1011.5; 1.0; 115.0; 17.5; pH value of precipitation; 7.9; 75.9  1011.1
6;107; 2022-01-02 12:00:00; Partly cloudy; 13.0; 25.0; 1009.5; 3.5; 210.0; 11.0; Evapotranspiration rate (mm/day); 12.8; 24.8  1009.0
7;108; 2022-01-02 18:00:00; Overcast; 5.0; 92.0; 1007.5; 0.0; 45.0; 20.0; Plant available water content (%); 4.7; 91.8  1007.1
8;109; 2022-01-03 00:00:00; Clear skies; 11.0; 43.0; 1014.0; 2.0; 160.0; 13.5; Soil heat flux (W/m²); 10.9; 42.8  1013.7
9;110; 2022-01-03 06:00:00; Light rain; 7.5; 78.0; 1010.5; 1.5; 105.0; 16.5; Soil water potential (kPa); 7.2; 77.9  1010.2</s>
