;LENS Manufacturer;LENS Type;Photo Title;City Shot;State/Province;Country Captured;Flash Fired?;White Balance Setting;Focus Method;Image Orientation;Post Process Adjustments;Additional Details
0;  Canon;EF 16-35mm f/2.8L III USM;Austrian Alps in Autumn;Innsbruck;Tyrol;Austria;No;Cloudy;Automatic;Landscape;Contrast, Saturation Increased;Wide-angle shot of mountain range
1; Nikon;AF-S NIKKOR 24-70mm f/2.8E ED VR;Venice at Dusk;Venice;Veneto;Italy;Yes;Auto 1;Manual;Portrait;Brightness, Sharpness Increased;Cityscape with gondolas and sunset
2; Sony;FE 70-200mm f/2.8 GM OSS;Golden Gate Bridge from Above;San Francisco;California;USA;No;Daylight;Automatic;Action;Clarity, Vibrance Increased;Telephoto of bridge and bay from helicopter
3; Fujifilm;XF 56mm f/1.2 R;Cherry Blossoms in Kyoto;Kyoto;Kyoto;Japan;No;Fluorescent;Single Point AF;Close-up;Sharpness, Exposure Compensation Increased;Isolated blossom with shallow depth of field
4; Panasonic;Lumix G Leica DG Vario-Elmarit 12-60mm f/2.8-4;African Safari Sunrise;Maasai Mara;Rift Valley;Kenya;No;Daylight;Multi-Area;Wildlife;Saturation, Contrast Increased;Early morning lion pride
5; Olympus;M.Zuiko Digital ED 12-40mm f/2.8 PRO;Paris Night Life;Paris;Île-de-France;France;Yes;Auto 2;Continuous AF;Low Light;Noise Reduction, Clarity Increased;Colorful nightscape of the Eiffel Tower
6; Sigma;15mm f/2.8 EX DG Diagonal Fisheye;Ice Cave Adventure;Vatnajökull;Sudurland;Iceland;No;Tungsten;Manual;Landscape;Sharpness, Saturation Increased;Distorted wide-angle view of ice cave
7; Tamron;SP 24-70mm f/2.8 Di VC USD G2;Hong Kong Skyline;Hong Kong;NT;China;Yes;Flash;Single Point AF;Architecture;Brightness, Contrast Increased;Modern skyscrapers at night
8; Pentax;HD D FA 77mm f/1.8 Limited;Tulip Fields in Holland;Lisse;South Holland;Netherlands;No;Shade;Manual;Macro;Sharpness, Exposure Compensation Increased;Bright, detailed tulip photography
9; Samyang;XP 50mm f/1.2;Full Moon over New York;New York;New York;USA;No;Moonlight;Manual;Astrophotography;Noise Reduction, Sharpness Increased;Cityscape and star trails beneath full moon</s>
