;Business Performance Indicators; Company Name; Census Classification Code (e.g., NAICS Code); Annual Income; Total Expenses; Current Assets Value; Current Liabilities Value; Equity; Revenue Growth Rate or Sales Growth Rate YoY; Net Profit Margin; Gross Margin; EBITDA Margin; Return on Investment (ROI) %; Interest Coverage Ratio
0;" ""Salesforce, Inc."""; 518200; $21.23 Billion; $12.14 Billion; $13.24 Billion; $19.12 Billion; $3.29 Billion; $13.37 Billion; 25.56%; 17.02%; 73.45%; 30.48%; 21.34%;
1;"""Microsoft Corporation"""; 511200; $168.09 Billion; $97.57 Billion; $159.67 Billion; $26.55 Billion; $23.38 Billion; $122.89 Billion; 14.32%; 30.52%; 67.18%; 35.84%; 33.12%;
2;"""Alphabet Inc."""; 519130; $182.53 Billion; $87.55 Billion; $192.00 Billion; $24.36 Billion; $17.80 Billion; $120.37 Billion; 18.26%; 23.96%; 58.08%; 29.25%; 25.19%;
3;"""Oracle Corporation"""; 541511; $40.48 Billion; $24.31 Billion; $68.48 Billion; $10.02 Billion; $13.74 Billion; $27.29 Billion; 3.67%; 22.64%; 41.26%; 25.17%; 14.85%;
4;"""IBM"""; 541511; $81.72 Billion; $60.29 Billion; $130.33 Billion; $34.09 Billion; $29.19 Billion; $31.61 Billion; -5.24%; 20.18%; 43.02%; 22.66%; 21.54%;
5;"""Facebook, Inc."""; 519130; $104.2 Billion; $44.91 Billion; $85.62 Billion; $39.89 Billion; $14.42 Billion; $41.78 Billion; 23.03%; 37.32%; 80.80%; 43.72%; 27.94%;
6;"""Alibaba Group Holding Limited"""; 518200; $85.15 Billion; $57.33 Billion; $69.94 Billion; $43.51 Billion; $17.10 Billion; $21.97 Billion; 42.37%; 17.61%; 62.46%; 30.13%; 22.28%;
7;"""Cisco Systems, Inc."""; 541511; $55.29 Billion; $22.92 Billion; $79.68 Billion; $15.05 Billion; $10.15 Billion; $23.08 Billion; 2.85%; 23.09%; 66.18%; 29.25%; 15.09%;
8;"""Accenture plc."""; 541511; $50.53 Billion; $32.95 Billion; $44.79 Billion; $11.43 Billion; $10.56 Billion; $10.80 Billion; 6.02%; 16.33%; 51.62%; 23.90%; 21.14%;
9;"""SAP SE"""; 541511; $34.12 Billion; $21.01 Billion; $53.02 Billion; $6.18 Billion; $9.67 Billion; $9.80 Billion; 6.24%; 15.01%; 57.74%; 24.07%; 12.29%;
