;GenomicRegion; DeNovoMutationsPercentage; GermlineVariantsPercentage; MultipleAlternativeSplicingForms; LikelyGeneCulprit; ExpressionPattern; RecessiveAllelesNeededPercentage; InheritancePattern; Symptoms; GeneSymbol; GeneDescription; MutationType; MutationLocation; PopulationFrequency
0; GenomicRegion; DeNovoMutationsPercentage; GermlineVariantsPercentage; MultipleAlternativeSplicingForms; LikelyGeneCulprit; ExpressionPattern; RecessiveAllelesNeededPercentage; InheritancePattern; Symptoms; GeneSymbol; GeneDescription; MutationType; MutationLocation; PopulationFrequency
1;1:1000000-1:1001000; 0.1%; 99.8%; Yes; ABCD1; Expressed in nervous system tissue; 50%; X-linked recessive; Peripheral neuropathy, visual and hearing loss, weakness in legs; ABCD1; Involved in fatty acid breakdown; Missense mutation; Exon 6; 1 in 100000
2;2:50000-2:51000; 0.5%; 99.4%; No; HBB; Expressed in red blood cells; 100%; Autosomal recessive; Anemia, jaundice, fatigue; HBB; Hemoglobin subunit beta; Nonsense mutation; Codon 6; 1 in 400
3;3:60000-6:61000; 0%; 100%; Yes; CFTR; Expressed in lungs, pancreas, and other organs; 100%; Autosomal recessive; Respiratory and digestive problems, salt depletion; CFTR; Cystic fibrosis transmembrane conductance regulator; Frameshift mutation; Exon 10; 1 in 2500
4;4:120000-12:121000; 0.01%; 99.9%; Yes; IDS; Expressed in brain and other organs; 50%; X-linked recessive; Developmental delays, coarse facial features, intellectual disability; IDS; Involved in lysosomal metabolism; Missense mutation; Exon 6; 1 in 100000
5;5:80000-8:81000; 0.3%; 99.6%; No; TP53; Expressed in various tissues; 50%; Autosomal dominant; Predisposition to cancer; TP53; Tumor protein p53; Frameshift mutation; Exon 5; 1 in 500
6;6:200000-20:201000; 0.001%; 99.99%; Yes; SMN1; Expressed primarily in motor neurons; 100%; Autosomal recessive; Spinal muscular atrophy; SMN1; Survival motor neuron 1; Deletion; Intronic; 1 in 10000
7;7:300000-30:301000; 0.01%; 99.9%; Yes; LAMA2; Expressed in muscle and nerve tissue; 50%; Autosomal recessive; Muscular dystrophy with merosin deficiency; LAMA2; Laminin subunit alpha-2; Splice site mutation; Intron 24; 1 in 50000
8;8:400000-40:401000; 0.001%; 99.99%; No; HBA1; Expressed in red blood cells; 100%; Autosomal dominant; Hemolytic anemia; HBA1; Hemoglobin subunit alpha 1; Nonsense mutation; Codon 6; 1 in 5000
9;9:500000-50:501000; 0.05%; 99.94%; Yes; COL2A1; Expressed in cartilage and other tissues; 50%; Autosomal dominant; Skeletal dysplasia, joint stiffness; COL2A1; Collagen, type II, alpha 1; Missense mutation; Exon 2; 1 in 10000
10;10:700000-70:701000; 0.1%; 99.8%; Yes; LMNA; Expressed in various tissues; 50%; Autosomal dominant; Cardiac and skeletal muscle disorders; LMNA; Lamin A/C; Splice site mutation; Intron 1; 1 in 10000</s>
