;Separate Wins; Teams Playing; Rank; Highest Points; AveragePointsPerGame; Betting Odds; League Position; Injuries\playername; Penalties/YellowCards; Red Cards/Offside; Passes Completed%
0; 1; Manchester United, Manchester City; 1; 3,456; 2.12; 2.1:1; 1st; Paul Pogba; 15; 2/5; 87%
1;2; Barcelona, Real Madrid; 2; 3,897; 2.88; 1.8:1; 2nd; Lionel Messi; 10; 4/6; 85%
2;3; Chelsea, Tottenham Hotspurs; 3; 2,821; 1.76; 3.1:1; 3rd; N'Golo Kanté; 12; 1/2; 90%
3;4; Bayern Munich, Borussia Dortmund; 4; 3,005; 2.34; 2.6:1; 4th; Robert Lewandowski; 18; 3/7; 84%
4;5; Paris Saint Germain, Olympique Lyonnais; 5; 3,132; 2.08; 1.9:1; 5th; Neymar Jr.; 8; 0/1; 91%
5;6; Juventus, Inter Milan; 6; 2,679; 1.87; 3.3:1; 6th; Cristiano Ronaldo; 13; 1/3; 88%
6;7; Liverpool, Everton; 7; 2,568; 1.65; 2.9:1; 7th; Mohamed Salah; 10; 1/3; 86%
7;8; Atlético Madrid, Sevilla; 8; 2,785; 2.11; 2.4:1; 8th; Antoine Griezmann; 9; 1/2; 89%
8;9; Dortmund, Leipzig; 9; 2,467; 1.54; 3.5:1; 9th; Erling Haaland; 7; 0/1; 92%
9;10; Arsenal, Manchester United; 10; 2,986; 1.93; 2.8:1; 10th; Pierre-Emerick Aubameyang; 11; 2/3; 85%</s>
