;"""Building Type""";" ""Architectural Style""";" ""Period""";" ""Location""";" ""Construction Method""";" ""Material Model""";" ""Size""";" ""Sustainability Rating""";" ""Year Built""";" ""Architect""";" ""Historical Significance""";" ""Additional Details""";" ""Spatially Organized Elements""";" ""Surroundings""";" ""Special Architecture Elements"""
0;" ""Gothic Cathedral""";" ""Gothic""";" ""12th-16th century""";" ""France, England, Germany""";" ""Stone-vaulted ceilings, flying buttresses""";" ""Notre-Dame de Paris""";" ""130 meters long, 35 meters wide, 40 meters tall""";" ""LEED Gold""";" ""1163-1345""";" ""Jean de Chelles, Pierre de Montreuil""";" ""Religious and artistic center of medieval society""";" ""Ribbed vaults, pointed arches, stained glass windows""";" ""Urban setting, close to river""";" ""Flying buttresses, gargoyles, rose windows""";
1;" ""White House""";" ""Neoclassical""";" ""18th century""";" ""Washington D.C., USA""";" ""Brick and sandstone""";" ""None""";" ""55,000 square feet""";" ""LEED Gold""";" ""1792-1800""";" ""James Hoban""";" ""Presidential residence and symbol of American democracy""";" ""Symmetrical facade, portico, dome""";" ""Surrounded by gardens and government buildings""";" ""Oval Room, Blue Room, Red Room, State Floor""";
2;" ""Taj Mahal""";" ""Mughal""";" ""17th century""";" ""Agra, India""";" ""Marble inlay, latticework, floral motifs""";" ""Taj Mahal""";" ""17 hectares, tallest dome 74 meters""";" ""None""";" ""1632-1653""";" ""Ustad Ahmad Lahauri""";" ""Mausoleum of Mumtaz Mahal, symbol of eternal love""";" ""Onion dome, minarets, symmetry""";" ""Reflecting pool, lush gardens""";" ""Calligraphy, geometric patterns, semi-precious stones""";
3;" ""Sydney Opera House""";" ""Expressionist Modern""";" ""20th century""";" ""Sydney, Australia""";" ""Reinforced concrete, precast concrete panels, glazed ceramic tiles""";" ""None""";" ""18,500 square meters""";" ""6 Star Green Star""";" ""1959-1973""";" ""Jørn Utzon""";" ""Iconic cultural venue and architectural masterpiece""";" ""Shell-shaped roof, complex geometry""";" ""Sydney Harbour""";" ""Sails, podium, stage towers, glass walls""";
4;" ""Colosseum""";" ""Ancient Roman""";" ""1st century""";" ""Rome, Italy""";" ""Travertine limestone, tuff, and brick-faced concrete""";" ""None""";" ""189 meters long, 156 meters wide, 50 meters tall""";" ""None""";" ""70-80""";" ""Vespasian and Titus""";" ""Amphitheater for gladiatorial contests""";" ""Arched entrances, vaulted ceilings, underground passages""";" ""Roman Forum""";" ""Tiers, hypogeum, facade decoration""";
5;" ""Fallingwater""";" ""Organic Modern""";" ""20th century""";" ""Bear Run, Pennsylvania, USA""";" ""Reinforced concrete, steel, and glass""";" ""Fallingwater""";" ""1,500 square feet""";" ""LEED-certified renovation""";" ""1935-1937""";" ""Frank Lloyd Wright""";" ""Integration of architecture and nature""";" ""Horizontality, cantilevers, stone chimneys""";" ""Surrounded by forest, creek""";" ""Levels, balconies, stone walls""";
6;" ""Guggenheim Museum Bilbao""";" ""Deconstructivist""";" ""20th century""";" ""Bilbao, Spain""";" ""Titanium, glass, and limestone""";" ""Guggenheim Museum Bilbao""";" ""32,500 square meters""";" ""LEED Gold""";" ""1993-1997""";" ""Frank Gehry""";" ""Iconic cultural institution and architectural masterpiece""";" ""Curvilinear shapes, titanium panels, atrium""";" ""Nervion River""";" ""Curved forms, fish sculpture, light effects""";
7;" ""Forbidden City""";" ""Chinese Imperial""";" ""15th century""";" ""Beijing, China""";" ""Timber frame, brick, and glazed tile""";" ""Forbidden City""";" ""72 hectares, 980 buildings""";" ""None""";" ""1407-1420""";" ""Chen Gongko""";" ""Imperial palace of the Ming and Qing dynasties""";" ""Hall of Supreme Harmony, golden roof tiles, courtyards""";" ""Central Beijing""";" ""Palaces, gardens, walls, moat""";
8;" ""Villa Savoye""";" ""International Style""";" ""20th century""";" ""Poissy, France""";" ""Reinforced concrete, steel, and glass""";" ""Villa Savoye""";" ""380 square meters""";" ""NF HQE (French high environmental quality) certification""";" ""1928-1931""";" ""Le Corbusier""";" ""Experimentation in modernist architecture""";" ""Pilotis, ribbon windows, free facade, roof garden""";" ""Open fields""";" ""Ramp, curved walls, open plan""";
9;" ""Petronas Twin Towers""";" ""Postmodern""";" ""20th century""";" ""Kuala Lumpur, Malaysia""";" ""Reinforced concrete, steel, and glass""";" ""Petronas Twin Towers""";" ""395 meters tall, 88 floors""";" ""Green Building Index (GBI) certification""";" ""1992-1998""";" ""César Pelli""";" ""Iconic twin towers and architectural landmark""";" ""Sky bridge, islamic geometric patterns, circular motifs""";" ""Kuala Lumpur City Centre""";" ""Sky lobby, double-decker sky bridge, petals, pinnacles""</s>";
