;AncesterCount; DirectLineDescendantCount; DNAProfilesOfRelatives; HaplogroupResults; FamousRelatives; GeographicOriginsAnalysis; PatronymicOrMatronymicAnalysis; DNAConnectionProbabilityScore; LivingUserRelationshipProbability; UniqueSharedDNAInformation
0; 5; 3; 2; R-M269; None; Ireland, Scotland; None; 95%; 90%; 12 markers
1; 8; 1; 3; J-M172; Albert Einstein, Benjamin Franklin; Germany, Italy; None; 99%; 50%; 37 markers
2; 3; 2; 1; E-M96; None; Norway; Ole, Lars; 90%; 98%; 15 markers
3; 6; 4; 2; N-M231; None; Russia, Finland; None; 95%; 85%; 23 markers
4; 9; 2; 1; G-M201; None; Greece, Turkey; None; 95%; 55%; 29 markers
5; 7; 0; 3; I-M223; None; England, France; None; 98%; 0%; 32 markers
6; 4; 3; 2; R-L21; None; Wales, England; None; 90%; 90%; 17 markers
7; 10; 2; 1; C-M216; None; China, Japan; None; 99%; 60%; 42 markers
8; 6; 3; 2; R-CTS3402; None; Scotland, Ireland; None; 95%; 85%; 20 markers
9; 3; 2; 1; E-M85; None; Sweden, Denmark; Sven, Erik; 85%; 95%; 14 markers</s>
