;Separate Wins; Teams Playing; Match Venue; Average Attendance; Fan Rating; Most Valuable Players (MVP); Sponsors' Contribution; Number Of Registered Coaches; Referee Salaries; Equipment Cost Per Athlete; Total Prize Money
0;" ""65""";" ""Manchester United vs Chelsea"" ";" ""Old Trafford"" ";" ""75,312"" ";" ""4.5/5"" ";" ""Bruno Fernandes";" Jorginho"" ";" ""Chevrolet";" Yokohama"" ";" ""150"" ";" ""£200,000""   '£500 per athlete'   '£10,000,000'"
1;"""45""";" ""Los Angeles Lakers vs Boston Celtics"" ";" ""Staples Center"" ";" ""18,997"" ";" ""4.2/5"" ";" ""LeBron James";" Jayson Tatum"" ";" ""Nike";" State Farm"" ";" ""80"" "; '$150,000'   '$1,000 per athlete'   '$5,000,000'
2;"""30""";" ""New York Yankees vs Boston Red Sox"" ";" ""Yankee Stadium"" ";" ""46,545"" ";" ""4.0/5"" ";" ""Gerrit Cole";" Xander Bogaerts"" ";" ""Bank of America";" Adidas"" ";" ""90"" "; '$225,000'   '$750 per athlete'   '$8,000,000'
3;"""55""";" ""Golden State Warriors vs Los Angeles Clippers"" ";" ""Chase Center"" ";" ""18,064"" ";" ""4.3/5"" ";" ""Stephen Curry";" Kawhi Leonard"" ";" ""Rakuten";" Intel"" "; '120' ; '$185,000'   '$1,200 per athlete'   '$12,000,000'
4;"""70""";" ""Real Madrid vs Barcelona"" ";" ""Santiago Bernabéu Stadium"" ";" ""81,044"" ";" ""4.8/5"" ";" ""Karim Benzema";" Lionel Messi"" ";" ""Adidas";" Emirates"" "; '160' ; '€300,000'   '€1,500 per athlete'   '€20,000,000'
5;"""50""";" ""FC Bayern Munich vs Borussia Dortmund"" ";" ""Allianz Arena"" ";" ""75,000"" ";" ""4.7/5"" ";" ""Robert Lewandowski";" Erling Haaland"" ";" ""Deutsche Telekom";" Opel"" "; '140' ; '€250,000'   '€2,000 per athlete'   '€15,000,000'
6;"""40""";" ""Chicago Bulls vs Los Angeles Lakers"" ";" ""United Center"" ";" ""21,694"" ";" ""4.4/5"" ";" ""Zach LaVine";" LeBron James"" ";" ""Jordan Brand";" Gatorade"" "; '85' ; '$170,000'   '$800 per athlete'   '$7,000,000'
7;"""60""";" ""New England Patriots vs Kansas City Chiefs"" ";" ""Gillette Stadium"" "; '65,878' ; '4.6/5' ;" ""Tom Brady";" Patrick Mahomes"" ";" ""New Era";" Nike"" "; '60' ; '$350,000'   '$2,500 per athlete'   '$18,000,000'
8;"""45""";" ""New York Knicks vs Brooklyn Nets"" ";" ""Madison Square Garden"" ";" ""19,812"" ";" ""4.1/5"" ";" ""Julius Randle";" Kevin Durant"" ";" ""Squarespace";" Infor"" "; '95' ; '$200,000'   '$1,000 per athlete'   '$10,000,000'
9;"""55""";" ""Atlanta Falcons vs New Orleans Saints"" ";" ""Mercedes-Benz Stadium"" "; '71,149' ; '4.5/5' ;" ""Matt Ryan";" Drew Brees"" ";" ""IBM";" Mercedes-Benz"" "; '70' ; '$325,000'   '$2,000 per athlete'   '$16,000,000'</s>
