;Fashion Trendsetter; Designer Name; Target Audience; Runway Inspiration; Model Height and Measurements; Professional Models Wearing Outfit Photos (URL); Social Media Buzz Score #Hashtags; User Generated Content Gallery URL(Instagram); Number Of Likes And Comments On Postings; Celebrity Endorsement Status With Names List; Collaboration Details with Other Brands Or Artists; Gender Neutral or Specialized Collection?; Sustainable Fabrics Used%; Ethical Manufacturing Certifications Held by Company.
0;  Alexander Wang; Fashion Trendsetter; Young, Urban Professionals; New York City Graffiti;" Model Height: 5'10"", Measurements: 32-24-34"; Professional Models Wearing Outfit Photos (URL): www.example.com/alexanderwang1; Social Media Buzz Score #Hashtags: #AlexanderWang #StreetStyle; User Generated Content Gallery URL(Instagram): www.instagram.com/awcollection; Number Of Likes And Comments On Postings: 10,000 Likes, 500 Comments; Celebrity Endorsement Status With Names List: Rihanna, Zendaya; Collaboration Details with Other Brands Or Artists: Adidas x Alexander Wang; Gender Neutral or Specialized Collection?: Specialized Collection; Sustainable Fabrics Used%: 20%; Ethical Manufacturing Certifications Held by Company: Fair Trade Certified.
1; Stella McCartney; Fashion Trendsetter; Eco-conscious Consumers; British Countryside;" Model Height: 5'9"", Measurements: 32-25-36"; Professional Models Wearing Outfit Photos (URL): www.example.com/stellamccartney1; Social Media Buzz Score #Hashtags: #StellaMcCartney #EcoFashion; User Generated Content Gallery URL(Instagram): www.instagram.com/stellamccartney; Number Of Likes And Comments On Postings: 8,000 Likes, 400 Comments; Celebrity Endorsement Status With Names List: Meghan Markle, Gwyneth Paltrow; Collaboration Details with Other Brands Or Artists: None; Gender Neutral or Specialized Collection?: Specialized Collection; Sustainable Fabrics Used%: 100%; Ethical Manufacturing Certifications Held by Company: Ethical Trading Initiative, PETA-Approved Vegan.
2; Virgil Abloh for Louis Vuitton; Fashion Trendsetter; Men's Fashion Forward Thinkers; Modernist Architecture;" Model Height: 6'1"", Measurements: 36-30-38"; Professional Models Wearing Outfit Photos (URL): www.example.com/virgilablohlv1; Social Media Buzz Score #Hashtags: #LouisVuitton #VirgilAbloh #ModernistMenswear; User Generated Content Gallery URL(Instagram): www.instagram.com/louisvuitton; Number Of Likes And Comments On Postings: 15,000 Likes, 800 Comments; Celebrity Endorsement Status With Names List: Kanye West, Timothée Chalamet; Collaboration Details with Other Brands Or Artists: None; Gender Neutral or Specialized Collection?: Specialized Collection; Sustainable Fabrics Used%: 30%; Ethical Manufacturing Certifications Held by Company: Leather Working Group.
3; Maria Grazia Chiuri for Dior; Fashion Trendsetter; Feminist Fashion Enthusiasts; Feminist Art Movements;" Model Height: 5'11"", Measurements: 34-26-36"; Professional Models Wearing Outfit Photos (URL): www.example.com/dior1; Social Media Buzz Score #Hashtags: #Dior #MariaGraziaChiuri #FeministFashion; User Generated Content Gallery URL(Instagram): www.instagram.com/dior; Number Of Likes And Comments On Postings: 12,000 Likes, 700 Comments; Celebrity Endorsement Status With Names List: Jennifer Lawrence, Natalie Portman; Collaboration Details with Other Brands Or Artists: collaboration with Ruth Carter for Black Panther collection; Gender Neutral or Specialized Collection?: Specialized Collection; Sustainable Fabrics Used%: 25%; Ethical Manufacturing Certifications Held by Company: CDFA Healthy Fashion Initiative.
4; Riccardo Tisci for Burberry; Fashion Trendsetter; British Heritage Style Lovers; English Landscapes;" Model Height: 6'0"", Measurements: 36-28-38"; Professional Models Wearing Outfit Photos (URL): www.example.com/burberry1; Social Media Buzz Score #Hashtags: #Burberry #RiccardoTisci; User Generated Content Gallery URL(Instagram): www.instagram.com/burberry; Number Of Likes And Comments On Postings: 18,000 Likes, 1,000 Comments; Celebrity Endorsement Status With Names List: Emma Watson, Cara Delevingne; Collaboration Details with Other Brands Or Artists: Vivienne Westwood x Burberry; Gender Neutral or Specialized Collection?: Specialized Collection; Sustainable Fabrics Used%: 15%; Ethical Manufacturing Certifications Held by Company: None.
5; Demna Gvasalia for Balenciaga; Fashion Trendsetter; Avant-Garde Style Seekers; Soviet Architecture;" Model Height: 5'10"", Measurements: 30-24-34"; Professional Models Wearing Outfit Photos (URL): [www.example.com/balenciaga1](http://www.example.com/balenciaga1); Social Media Buzz Score #Hashtags: #Balenciaga #DemnaGvasalia; User Generated Content Gallery URL(Instagram): [www.instagram.com/balenciaga](http://www.instagram.com/balenciaga); Number Of Likes And Comments On Postings: 22,000 Likes, 1,200 Comments; Celebrity Endorsement Status With Names List: Kim Kardashian, Bella Hadid; Collaboration Details with Other Brands Or Artists: World Food Programme x Balenciaga; Gender Neutral or Specialized Collection?: Specialized Collection; Sustainable Fabrics Used%: 20%; Ethical Manufacturing Certifications Held by Company: WRAP (Worldwide Responsible Accredited Production).
6; Donatella Versace for Versace; Fashion Trendsetter; Bold Pattern Lovers; Pop Art;" Model Height: 5'9"", Measurements: 34-26-36"; Professional Models Wearing Outfit Photos (URL): www.example.com/versace1; Social Media Buzz Score #Hashtags: #Versace #DonatellaVersace; User Generated Content Gallery URL(Instagram): [www.instagram.com/versace](http://www.instagram.com/versace); Number Of Likes And Comments On Postings: 25,000 Likes, 1,500 Comments; Celebrity Endorsement Status With Names List: Lady Gaga, Blake Lively; Collaboration Details with Other Brands Or Artists: Versace x Fendi; Gender Neutral or Specialized Collection?: Specialized Collection; Sustainable Fabrics Used%: 10%; Ethical Manufacturing Certifications Held by Company: Sedex Members Ethical Trade Audit.
7; Hedi Slimane for Celine; Fashion Trendsetter; Slim-Fit Suit Lovers; Urban Nightlife;" Model Height: 6'1"", Measurements: 38-29-37"; Professional Models Wearing Outfit Photos (URL): [www.example.com/celine1](http://www.example.com/celine1); Social Media Buzz Score #Hashtags: #Celine #HediSlimane; User Generated Content Gallery URL(Instagram): [www.instagram.com/celine](http://www.instagram.com/celine); Number Of Likes And Comments On Postings: 16,000 Likes, 900 Comments; Celebrity Endorsement Status With Names List: Harry Styles, Jake Gyllenhaal; Collaboration Details with Other Brands Or Artists: None; Gender Neutral or Specialized Collection?: Specialized Collection; Sustainable Fabrics Used%: 15%; Ethical Manufacturing Certifications Held by Company: None.
8; Kim Jones for Dior Men; Fashion Trendsetter; Streetwear Style Aficionados; Travelling;" Model Height: 6'0"", Measurements: 40-32-38"; Professional Models Wearing Outfit Photos (URL): [www.example.com/dior2](http://www.example.com/dior2); Social Media Buzz Score #Hashtags: #Dior #KimJones #Streetwear; User Generated Content Gallery URL(Instagram): [www.instagram.com/dior](http://www.instagram.com/dior); Number Of Likes And Comments On Postings: 14,000 Likes, 800 Comments; Celebrity Endorsement Status With Names List: Travis Scott, A$AP Rocky; Collaboration Details with Other Brands Or Artists: Nike x Kim Jones; Gender Neutral or Specialized Collection?: Specialized Collection; Sustainable Fabrics Used%: 20%; Ethical Manufacturing Certifications Held by Company: CDFA Healthy Fashion Initiative.
9; Pierpaolo Piccioli for Valentino; Fashion Trendsetter; Evening Wear Connoisseurs; Romanticism;" Model Height: 5'11"", Measurements: 36-28-38"; Professional Models Wearing Outfit Photos (URL): [www.example.com/valentino1](http://www.example.com/valentino1); Social Media Buzz Score #Hashtags: #Valentino #PierpaoloPiccioli; User Generated Content Gallery URL(Instagram): [www.instagram.com/valentino](http://www.instagram.com/valentino); Number Of Likes And Comments On Postings: 20,000 Likes, 1,000 Comments; Celebrity Endorsement Status With Names List: Zendaya, Lupita Nyong'o; Collaboration Details with Other Brands Or Artists: None; Gender Neutral or Specialized Collection?: Specialized Collection; Sustainable Fabrics Used%: 30%; Ethical Manufacturing Certifications Held by Company: None.</s>
