;Track Number; Title; Artist(s); Genres; Release Type; Season(for TV Soundtracks); Live; Remixed By; Original Song Name; Professionally Mastered; Explicit Content; Composer; Track Length
0; 1;" ""Bohemian Rhapsody"""; Queen; Rock; Album; -; No; -; -; Yes; Yes; Brian May, Freddie Mercury; 5:55
1;2;" ""Stairway to Heaven"""; Led Zeppelin; Rock; Album; -; No; -; -; Yes; No; Jimmy Page, Robert Plant; 8:02
2;3;" ""Blackbird"""; The Beatles; Rock, Folk; Album; -; No; -; -; Yes; No; John Lennon, Paul McCartney; 2:18
3;4;" ""November Rain"""; Guns N' Roses; Rock; Single; -; No; -; -; Yes; Yes; Axl Rose, Slash; 8:57
4;5;" ""Sweet Child O' Mine"""; Guns N' Roses; Rock; Album; -; No; No; -; Yes; Yes; Axl Rose, Slash; 5:55
5;6;" ""Imagine"""; John Lennon; Rock, Pop; Album; -; No; -; -; Yes; No; John Lennon; 3:03
6;7;" ""Hey Jude"""; The Beatles; Rock, Pop; Album; -; No; No; -; Yes; No; John Lennon, Paul McCartney; 7:11
7;8;" ""Basket Case"""; Green Day; Rock, Punk; Album; -; No; No; -; Yes; Yes; Billie Joe Armstrong; 3:04
8;9;" ""Mambo No. 5"""; Lou Bega; Latin Pop; Album; -; No; No; -; Yes; Yes; Frank Engel; 3:35
9;10;" ""The Way You Make Me Feel"""; Michael Jackson; R&B, Pop; Album; -; No; No; -; Yes; Yes; Michael Jackson; 4:57</s>
