;Astronomy Experiments Conducted; Spacewalk Occurrences; Minimum Temperature (&degC); Maximal Pressure (pascal); Penentry Vector Velocity (km&#xD7 s<sup>&minus;</ sup>); Microgravity Effect Research; Famous Quotes from space & Existential Insights; EVAs Successful?; Earth Observations Made; Animal Species Studied; Medical Conditions Investigated; Technological Demonstrations; Funding Bodies' Contributions
0; ;Star formation rates;2;-210;133320;7.8;Sleeping in Space;Yes;Viewing Great Barrier Reef;Mice;Bone density loss;Space toilet technology;NASA, ESA;
1;;Galaxy mergers;0;-150;133320;7.8;Earth is a tiny speck;Yes;Observing Amazon fires;Frogs;Muscle atrophy;Solar array deployment;NASA, CSA;
2;;Black hole properties;1;-120;133100;7.9;The Universe is vast;Yes;Monitoring ice caps;Tardigrades;Fluid shift;ISS cooling system;NASA, JAXA;
3;;Exoplanet atmospheres;3;-100;133000;7.9;A new dawn every 90 minutes;Yes;Volcano eruption tracking;Plants;Space motion sickness;Robotic arm operation;NASA, Roscosmos;
4;;Cosmic dust composition;4;-80;132800;8.0;Magnificent desolation;Yes;Mapping pollution;Insects;Radiation effects;3D printing in space;ESA, DLR;
5;;Starquake detection;5;-60;132600;8.0;The world looks round;Yes;Studying locust swarms;Birds;Intraocular pressure;Crystallization experiments;CNES, KARI;
6;;Nebula formation;6;-40;132400;8.1;Space is silent;Yes;Examining wildlife migration;Fish;Cardiovascular health;Lunar water mining;ISRO, ASI;
7;;Interstellar medium;7;-20;132200;8.1;No invisible borders;Yes;Tracking tornadoes;Reptiles;Immunology;Docking procedures;NASA, JAXA;
8;;Quantum physics;8;0;132000;8.2;The overview effect;Yes;Recording sea level rise;Amphibians;Balance and orientation;Zero-gravity sport;CNES, NASA;
9;;Solar wind particles;9;20;131800;8.2;Aloha, Earth;Yes;Investigating hurricanes;Spiders;Cognitive impacts;Martian rover navigation;ESA, Roscosmos;</s>
