;"""City Names""";"""Country Name""";"""Continent""";"""Population""";"""Population Density""";"""Latitude""";"""Longitude""";"""Climate""";"""Terrain""";"""Timezone""";"""UTC Offset""";"""Internet TLD"""
0;" ""Santiago""";"""Chile""";"""South America""";"""6421941""";"""4451.7 /sq mi""";"""-33.45""";"""-70.67""";"""Mediterranean""";"""Hills, mountains""";"""America/Santiago""";"""-3""";""".cl"""
1;"""Buenos Aires""";"""Argentina""";"""South America""";"""15381000""";"""13637.3 /sq mi""";"""-34.61""";"""-58.42""";"""Humid subtropical""";"""Plains, marshy areas""";"""America/Argentina/Buenos_Aires""";"""-3""";""" .ar"""
2;"""Shanghai""";"""China""";"""Asia""";"""24256000""";"""9789.5 /sq mi""";"""31.23""";"""121.50""";"""Humid subtropical""";"""Flat, coastal"" ";"""Asia/Shanghai""";"""8""";""".cn"""
3;"""Mumbai""";"""India""";"""Asia""";"""20712000""";"""31754.6 /sq mi""";"""19.07""";"""72.88""";"""Tropical wet and dry""";"""Coastal""";"""Asia/Kolkata""";"""5:30""";""".in"""
4;"""Istanbul""";"""Turkey""";"""Europe""";"""14807053""";"""7387.8 /sq mi""";"""41.01""";"""28.97""";"""Humid subtropical""";"""Sea level, hills""";"""Europe/Istanbul""";"""3""";""".tr"""
5;"""Karachi""";"""Pakistan""";"""Asia""";"""14910352""";"""19510.5 /sq mi""";"""24.87""";"""67.01""";"""Arid""";"""Coastal, low-lying areas""";"""Asia/Karachi""";"""5""";""".pk"""
6;"""Lagos""";"""Nigeria""";"""Africa""";"""14049000""";"""7425.8 /sq mi""";"""6.45""";"""3.40""";"""Tropical wet and dry""";"""Low-lying coastal area""";"""Africa/Lagos""";"""1""";""".ng"""
7;"""Paris""";"""France""";"""Europe""";"""10858000""";"""20636.9 /sq mi""";"""48.86""";"""2.35""";"""Oceanic""";"""Flat, some hills""";"""Europe/Paris""";"""1""";""".fr"""
8;"""São Paulo""";"""Brazil""";"""South America""";"""21061000""";"""7844.8 /sq mi""";"""-23.55""";"""-46.64""";"""Tropical wet and dry""";"""Plains, some hills""";"""America/Sao_Paulo""";"""-3""";""".br"""
9;"""Cairo""";"""Egypt""";"""Africa""";"""20180500""";"""19089.5 /sq mi""";"""30.04""";"""31.24""";"""Hot desert""";"""Desert, Nile River valley""";"""Africa/Cairo""";"""2""";""".eg""</s>"
10;" ""Beijing""";"""China""";"""Asia""";"""21540000""";"""3931.5 /sq mi""";"""39.91""";"""116.36""";"""Humid continental""";"""Plains, mountains""";"""Asia/Shanghai""";"""8""";""".cn"""
11;"""Mumbai""";"""India""";"""Asia""";"""20712000""";"""31510.6 /sq mi""";"""19.07""";"""72.88""";"""Tropical wet and dry""";"""Coastal, hills""";"""Asia/Kolkata""";"""5.5""";""".in"""
12;"""Lagos""";"""Nigeria""";"""Africa""";"""21058000""";"""21971.9 /sq mi""";"""6.45""";"""3.42""";"""Tropical wet and dry""";"""Plains, lowlands""";"""Africa/Lagos""";"""1""";""".ng"""
13;"""Buenos Aires""";"""Argentina""";"""South America""";"""15808000""";"""7985.2 /sq mi""";"""-34.61""";"""-58.38""";"""Humid subtropical""";"""Plains, lowlands""";"""America/Argentina/Buenos_Aires""";"""-3""";""".ar"""
14;"""Shanghai""";"""China""";"""Asia""";"""27058436""";"""10073.5 /sq mi""";"""31.23""";"""121.48""";"""Humid subtropical""";"""Coastal, delta""";"""Asia/Shanghai""";"""8""";""".cn"""
15;"""Istanbul""";"""Turkey""";"""Europe""";"""15396000""";"""2941.5 /sq mi""";"""41.01""";"""28.98""";"""Humid subtropical""";"""Coastal, hills""";"""Europe/Istanbul""";"""3""";""".tr"""
16;"""Karachi""";"""Pakistan""";"""Asia""";"""23500000""";"""17812.2 /sq mi""";"""24.87""";"""67.01""";"""Arid""";"""Coastal, lowlands""";"""Asia/Karachi""";"""5""";""".pk"""
17;"""Moscow""";"""Russia""";"""Europe""";"""12506000""";"""3180.4 /sq mi""";"""55.75""";"""37.62""";"""Humid continental""";"""Plains, lowlands""";"""Europe/Moscow""";"""3""";""".ru"""
18;"""Osaka""";"""Japan""";"""Asia""";"""19281000""";"""12384 /sq mi""";"""34.69""";"""135.5""";"""Humid subtropical""";"""Plains, coastal""";"""Asia/Tokyo""";"""9""";""".jp"""
19;"""New York""";"""USA""";"""North America""";"""20609000""";"""2778.3 /sq mi""";"""40.71""";"""-74.01""";"""Humid continental""";"""Plains, coastal""";"""America/New_York""";"""-5""";""".us""</s>"
20;" ""Sydney""";"""Australia""";"""Australia""";"""5312000""";"""342.3 /sq mi""";"""-33.86""";"""151.21""";"""Humid subtropical""";"""Coastal, hilly""";"""Australia/Sydney""";"""10""";""".au"""
21;"""Toronto""";"""Canada""";"""North America""";"""6201100""";"""963.8 /sq mi""";"""43.65""";"""-79.42""";"""Humid continental""";"""Plains, coastal""";"""America/Toronto""";"""-5""";""".ca"""
22;"""Beijing""";"""China""";"""Asia""";"""21540000""";"""4095.1 /sq mi""";"""39.91""";"""116.40""";"""Humid continental""";"""Plains, mountainous""";"""Asia/Shanghai""";"""8""";""".cn"""
23;"""Mumbai""";"""India""";"""Asia""";"""20712000""";"""31098.3 /sq mi""";"""19.07""";"""72.88""";"""Tropical wet and dry""";"""Plains""";"""Asia/Kolkata""";"""5""";""".in"""
