;Recipe Features; Cuisine; Prep Time (mins); Cook Time (mins); Servings; Ingredient List; Nutritional Value; Recipe Source; Cookware; Appliances; Season; Course; Dietary Preferences
0;  Southern Comfort Food; American Southern; 20; 40; 6; Flour, butter, milk, cheese, salt, pepper; High in calcium and saturated fat; Paula Deen; Cast iron skillet; Oven, stovetop; Fall; Main course; None specified
1; Spicy Vegetarian Stir-Fry; Asian Fusion; 15; 15; 4; Soy sauce, ginger, garlic, bell peppers, broccoli, tofu; Low in calories, high in protein; The Minimalist Vegan; Wok; Stovetop; Summer; Side dish; Vegetarian, Vegan
2; Creamy Tomato Basil Pasta; Italian; 10; 20; 4; Heavy cream, pasta, cherry tomatoes, garlic, basil, parmesan; High in saturated fat, rich in vitamin C; Jamie Oliver; Saucepan, colander; Stovetop; Summer; Main course; None specified
3; Quick and Easy Chicken Fajitas; Mexican; 15; 15; 4; Chicken breast, bell peppers, onion, fajita seasoning, tortillas; High in protein, high in sodium; Food Network; Cast iron skillet; Stovetop; Spring; Main course; None specified
4; Hearty Lentil Soup; Middle Eastern; 20; 30; 6; Lentils, onion, garlic, celery, carrots, chicken or vegetable broth; High in fiber, low in fat; BBC Good Food; Soup pot; Stovetop; Winter; Main course; Vegan, Vegetarian
5; Mouthwatering Beef Bourguignon; French; 30; 120; 8; Beef, bacon, onion, garlic, carrots, mushrooms, red wine, beef broth; High in protein, high in saturated fat; Julia Child; Dutch oven; Oven, stovetop; Winter; Main course; None specified
6; Fresh and Light Mediterranean Quinoa Salad; Mediterranean; 15; 0; 4; Quinoa, cucumber, tomatoes, red onion, feta cheese, olives, lemon; High in fiber, rich in vitamin C; Martha Stewart; Saucepan; None; Spring; Side dish; Vegetarian
7; Warm and Cozy Chai Latte; Indian; 5; 10; 2; Black tea, milk, sugar, cinnamon, cardamom, ginger; High in calcium, high in sugar; The Spruce Eats; Saucepan; Stovetop; Winter; Beverage; None specified
8; Zesty Lemon and Herb Roasted Chicken; Mediterranean; 20; 60; 6; Chicken, lemons, garlic, herbs, olive oil, salt, pepper; Rich in protein, high in vitamin C; Ina Garten; Roasting pan; Oven; Spring; Main course; Gluten-free
9; Smooth and Silky Butternut Squash Puree; American; 20; 30; 4; Butternut squash, butter, chicken or vegetable broth, salt, pepper; High in vitamin A, high in fiber; Epicurious; Saucepan; Stovetop; Fall; Side dish; Vegetarian, Vegan</s>
