;GardenBedsDimension; FertilityAmendment; MulchingMaterial; SoilingType; PlantSpacingRecommendations; BestTimeToHarvest; CompanionPlanters; NaturalPestControlMethods; MaintenanceSchedule; AverageCostPerYear
0;" ""6 feet x 3 feet"; Compost; Leaves; Garden soil; 12 inches apart; Late summer; Carrots, leeks; Garlic, marigold; Crop rotation, regular watering;" $300"""
1;"""4 feet x 8 feet"; Peat moss; Wood chips; Potting soil; 18 inches apart; Early fall; Broccoli, cauliflower; Nematodes, companion planting; Regular watering, fertilizing;" $500"""
2;"""8 feet x 4 feet"; Vermiculite; Straw; Compost mix; 6 inches apart; Mid-summer; Basil, tomatoes; Insecticidal soap, row covers; Daily watering, pruning;" $400"""
3;"""10 feet x 5 feet"; Perlite; Grass clippings; Sterile soil; 10 inches apart; Late autumn; Beets, chard; Beneficial insects, intercropping; Weekly watering, mulching;" $600"""
4;"""5 feet x 10 feet"; Limestone; Newspaper; Heavy loam; 24 inches apart; Early spring; Corn, squash; Polyculture, trap cropping; Deep watering, staking;" $700"""
5;"""3 feet x 12 feet"; Blood meal; Sawdust; Sandy soil; 15 inches apart; Mid-fall; Onions, garlic; Tillage, companion planting; Regular watering, weeding;" $200"""
6;"""12 feet x 2 feet"; Bone meal; Pine needles; Clay soil; 8 inches apart; Late winter; Peas, lettuce; Crop rotation, intercropping; Regular watering, composting;" $800"""
7;"""7 feet x 6 feet"; Sulfur; Hay; Loamy soil; 12 inches apart; Early autumn; Cucumbers, beans; Beneficial insects, companion planting; Regular watering, pruning;" $350"""
8;"""4 feet x 12 feet"; Greensand; Leaf mold; Silt soil; 9 inches apart; Late spring; Spinach, radishes; Row covers, intercropping; Deep watering, raised beds;" $550"""
9;"""9 feet x 5 feet"; Kelp meal; Wood shavings; Peaty soil; 18 inches apart; Mid-spring; Peppers, eggplant; Beneficial insects, companion planting; Regular watering, staking;" $450""</s>"
