;Gallery Location; Year Acquired; Donor Name; Preservation Status; Restoration History; Material Value; Insurance Value; Exhibition History; Public Accessibility; Educational Programs; Associated Artifacts
0; Metropolitan Museum of Art, New York; 1952; Jane Watson Irrevocable Trust; Excellent; Minimal; $500,000; $800,000; The European Paintings Galleries (15); Open to the Public; Art appreciation classes; Sketching tools and labels for selected paintings
1;Tate Modern, London; 2006; Anonymous Donor; Good; Moderate; £450,000; £700,000; Room 3 (Level 2), The Ey Exhibition; Open to the Public; Art in Focus talks and workshops; Gallery brochures and interactive digital guides
2;Musée d'Orsay, Paris; 1984; French State; Very Good; Extensive; €750,000; €1,200,000; Niveau 5, Galerie de l'Impressionnisme; Open to the Public; Themed guided tours and workshops for schools; Study area with library resources
3;Hermitage Museum, Saint Petersburg; 1914; Russian Imperial Family; Fair; Comprehensive; ₽3,000,000; ₽5,000,000; The Western European Art Halls (Building 2, 2nd floor); Open to the Public; Lectures, courses, and practical classes; Copies of artworks for sketching
4;Galleria degli Uffizi, Florence; 1737; Medici Family; Poor; Limited; €1,000,000; €1,500,000; Sala di Botticelli (10B); Open to the Public; Curator-led tours and art history lessons; Sketchbooks and pencils for visitors
5;National Gallery, Washington D.C.; 1937; Andrew W. Mellon Foundation; Good; Significant; $700,000; $1,100,000; West Building, Main Floor (42, 43, 44); Open to the Public; Gallery talks and family programs; Touch screens with educational content
6;Prado Museum, Madrid; 1819; Spanish Royal Family; Excellent; Minimal; €800,000; €1,300,000; Sala de las Musas (Salón de los Reinos); Open to the Public; Guided tours and workshops for children; Reproduction prints available in the gift shop
7;Victoria and Albert Museum, London; 1916; A.W. Bahr Collection; Good; Moderate; £300,000; £500,000; Gallery 131B (Asian Art, Japan); Open to the Public; Tours and workshops on Japanese art; Sketching boards and materials
8;Rijksmuseum, Amsterdam; 1808; Dutch State; Good; Moderate; €600,000; €1,000,000; Gallery 1.25 (Milkmaid by Vermeer); Open to the Public; Curator-led tours and educational activities; Paper and pencils for visitors
9;Centre Pompidou, Paris; 1977; Private gift from Wilfredo Lam; Good; Moderate; €500,000; €800,000; Level 6, Galerie d'art Moderne 2; Open to the Public; Art workshops and discussions; Graphic tablets and styluses for visitors to experiment with</s>
10; Metropolitan Museum of Art, New York; 1985; Anonymous Donor; Good; Minimal; $700,000; $1,200,000; Gallery 620 (European Paintings, Italy); Open to the Public; Guided tours and art creation classes; Art supplies for visitors
11;Hermitage Museum, Saint Petersburg; 1860; Russian Imperial Family; Good; Moderate; ₽4,000,000; ₽6,500,000; Hall 230 (Impressionist Art); Open to the Public; Workshops and lectures on European art; Sketchbooks and pencils provided
12;Louvre Museum, Paris; 1828; French State; Good; Minimal; €800,000; €1,300,000; Denon Wing, Room 7; Open to the Public; Tours and conferences on masterpieces; Paper and writing materials
13;National Gallery, London; 1929; The Samuel H. Kress Foundation; Good; Minimal; £400,000; £650,000; Room 26 (Italian Renaissance); Open to the Public; Art history lessons and art creation sessions; Paints, brushes, canvases, and easels
