;"""Religious Group"; Core Beliefs; Foundational Texts & Teachings; Divine Entities or Concepts of Worshipped & Their Attributes; Key Historical Figures; Geographical Spread & Historical Range; Demographics Distribution; Socioeconomic Status; Challenges Faced; Important Holidays; Representative Symbolism;" Major Subgroups & Estimated Adherents"""
0;"  ""Religious Group: Christianity"; Core Beliefs: Trinity, Salvation through Jesus Christ; Foundational Texts: Bible; Divine Entities: God - omnipotent, omniscient; Key Figures: Jesus Christ, Paul of Tarsus; Geographical Spread: Global; Demographics: 2.3 billion adherents; Socioeconomic Status: Varied; Challenges Faced: Secularism, internal schisms; Important Holidays: Christmas, Easter; Representative Symbolism: Cross, Fish;" Major Subgroups: Catholicism, Protestantism, Orthodox Christianity, 1.3 billion, 800 million, 200 million"""
1;" ""Religious Group: Islam"; Core Beliefs: Tawhid, Prophethood of Muhammad, Life After Death; Foundational Texts: Quran; Divine Entities: Allah - omnipotent, omniscient; Key Figures: Prophet Muhammad, Caliphs; Geographical Spread: Middle East, North Africa, Asia; Demographics: 1.8 billion adherents; Socioeconomic Status: Varied; Challenges Faced: Fundamentalism, cultural clashes; Important Holidays: Ramadan, Eid al-Fitr, Eid al-Adha; Representative Symbolism: Star and Crescent;" Major Subgroups: Sunni, Shia, Sufi, 1.6 billion, 200 million, 15 million"""
2;" ""Religious Group: Hinduism"; Core Beliefs: Dharma, Karma, Reincarnation, Moksha; Foundational Texts: Vedas, Upanishads, Bhagavad Gita; Divine Entities: Brahma, Vishnu, Shiva, Trimurti; Key Figures: Rigvedic poets, Adi Shankara, Ramanuja, Madhva; Geographical Spread: India, Nepal, Bali; Demographics: 1.2 billion adherents; Socioeconomic Status: Varied; Challenges Faced: Caste system, secularism; Important Holidays: Diwali, Holi, Navaratri; Representative Symbolism: Aum, Swastika;" Major Subgroups: Vaishnavism, Shaivism, Shaktism, Smartism, 800 million, 300 million, 200 million, 30 million"""
3;" ""Religious Group: Buddhism"; Core Beliefs: Four Noble Truths, Eightfold Path, Nirvana; Foundational Texts: Pali Canon, Mahayana Sutras; Divine Entities: Buddha Nature, Bodhisattvas; Key Figures: Gautama Buddha, Nagarjuna, Asanga, Vasubandhu; Geographical Spread: India, China, Southeast Asia, Japan; Demographics: 520 million adherents; Socioeconomic Status: Varied; Challenges Faced: Secularism, modernization; Important Holidays: Wesak, Ullambana; Representative Symbolism: Dharma Wheel, Lotus;" Major Subgroups: Theravada, Mahayana, Vajrayana, 300 million, 200 million, 30 million"""
4;" ""Religious Group: Sikhism"; Core Beliefs: Ik Onkar, Simran, Five Ks; Foundational Texts: Guru Granth Sahib; Divine Entities: Akal Purkh, God; Key Figures: Guru Nanak, Guru Gobind Singh; Geographical Spread: India, UK, Canada, USA; Demographics: 30 million adherents; Socioeconomic Status: Varied; Challenges Faced: Identity preservation, religious extremism; Important Holidays: Vaisakhi, Diwali, Hola Mohalla; Representative Symbolism: Khanda;" Major Subgroups: SGPC, Tat Khalsa, Budha Dal, 25 million, 5 million, 500,000"""
5;" ""Religious Group: Judaism"; Core Beliefs: Monotheism, Covenant, Chosen People; Foundational Texts: Hebrew Bible, Talmud; Divine Entities: Yahweh, God; Key Figures: Abraham, Moses, King David, Jesus (controversial); Geographical Spread: Israel, USA, Europe; Demographics: 14 million adherents; Socioeconomic Status: Varied; Challenges Faced: Antisemitism, assimilation; Important Holidays: Rosh Hashanah, Yom Kippur, Hanukkah, Passover; Representative Symbolism: Star of David;" Major Subgroups: Orthodox, Conservative, Reform, 8 million, 5 million, 1 million"""
6;" ""Religious Group: Baha'i"; Core Beliefs: Unity of God, Unity of Religions, Progressive Revelation; Foundational Texts: Kitáb-i-Aqdas; Divine Entities: Baha'u'llah, God; Key Figures: Baha'u'llah, Abdu'l-Baha, Shoghi Effendi; Geographical Spread: Global; Demographics: 7 million adherents; Socioeconomic Status: Varied; Challenges Faced: Persecution, misconceptions; Important Holidays: Naw-Rúz, Ridván; Representative Symbolism: Nine-pointed Star;" Major Subgroups: Administrative Order, Counsellors, Auxiliary Board Members, 5 million, 1.5 million, 100,000"""
7;" ""Religious Group: Jainism"; Core Beliefs: Anekantavada, Syadvada, Ahimsa; Foundational Texts: Agamas; Divine Entities: Arihants, Siddhas, Acharyas, Upadhyayas; Key Figures: Mahavira, Parshvanatha, Neminatha, Mallinatha; Geographical Spread: India; Demographics: 4 million adherents; Socioeconomic Status: Varied; Challenges Faced: Secularism, cultural clashes; Important Holidays: Paryushana, Diwali; Representative Symbolism: Jina;" Major Subgroups: Digambara, Shwetambara, 2.5 million, 1.3 million"""
8;" ""Religious Group: Zoroastrianism"; Core Beliefs: Ahura Mazda, Asha, Free Will; Foundational Texts: Avesta, Zend-Avesta; Divine Entities: Ahura Mazda, Angra Mainyu; Key Figures: Zoroaster, Cyrus the Great, Khosrow I; Geographical Spread: India, Iran; Demographics: 200,000 adherents; Socioeconomic Status: Varied; Challenges Faced: Diaspora, low birth rates; Important Holidays: Nowruz, Yalda; Representative Symbolism: Faravahar;" Major Subgroups: Parsis, Iranis, 150,000, 50,000"""
9;" ""Religious Group: Confucianism"; Core Beliefs: Ren, Li, Xiao, Yi, Zhi, Shu; Foundational Texts: Analects, Mencius, Great Learning, Doctrine of the Mean; Divine Entities: Tian; Key Figures: Confucius, Mencius, Xunzi, Zengzi; Geographical Spread: China, Korea, Japan; Demographics: 6 million adherents; Socioeconomic Status: Varied; Challenges Faced: Modernization, secularization; Important Holidays: Confucius' Birthday; Representative Symbolism: Yin Yang;" Major Subgroups: Ruism, Neo-Confucianism, 5 million, 1 million""</s>"
