;Photo Title; Category; Characteristics; Location; Taking Scene; Time Of Day; Equipment Used; Editing Software; Post Process Applied; Photo Orientations; Color Profile; Image Size; Resolution & Quality; File Format
0;" ""Misty Morning Sunrise"""; Landscape; Soft light, misty atmosphere, vibrant colors; New England, USA; Early morning; Sunrise; Nikon D850, 24-70mm lens; Adobe Lightroom, color correction, exposure adjustment; Vertical,horizontal; sRGB; 5472x3648; 300 dpi, high quality;" JPEG""";
1;"""Bustling Market Scene"""; Street; Lively crowd, bright colors, candid shots; Marrakech, Morocco; Midday; Natural light; Canon EOS 5D Mark IV, 50mm lens; Adobe Photoshop, cropping, saturation adjustment; Horizontal; Adobe RGB; 6720x4480; 300 dpi, medium quality;" TIFF""";
2;"""Wild Horses in Motion"""; Wildlife; Fast-moving subjects, dynamic light, motion blur; The Outer Banks, USA; Late afternoon; Golden hour; Sony A7R IV, 70-200mm lens; Capture One Pro, clarity adjustment, noise reduction; Horizontal; ProPhoto RGB; 7952x5304; 300 dpi, high quality;" DNG""";
3;"""Abstract Architecture"""; Architecture; Geometric shapes, leading lines, black and white; Chicago, USA; Midday; Natural light; Fujifilm X-T4, 16-55mm lens; Silver Efex Pro, contrast adjustment, film grain; Vertical; Gray Gamma; 6240x4160; 300 dpi, high quality;" JPEG""";
4;"""Macro Flower Detail"""; Macro; Close-up details, vibrant colors, smooth bokeh; Amsterdam, Netherlands; Overcast; Diffused light; Olympus OM-D E-M1 Mark III, 60mm macro lens; Topaz Studio, color grading, detail enhancement; Horizontal; sRGB; 5976x4781; 300 dpi, high quality;" PSD""";
5;"""Mountain Summit Panorama"""; Landscape; Wide-angle view, dynamic skies, natural colors; Swiss Alps, Switzerland; Early morning; Sunrise; Phase One XT, 32-35mm lens; Iridient Developer, exposure blending, color correction; Panoramic; ProPhoto RGB; 12750x3900; 300 dpi, medium quality;" DNG""";
6;"""Underwater Coral Reef"""; Underwater; Colorful corals, marine life, blue-green ambiance; Great Barrier Reef, Australia; Midday; Natural light; Nikon Z7 II, 16-35mm lens; Adobe Camera Raw, white balance adjustment, contrast enhancement; Horizontal; Adobe RGB; 8256x5504; 300 dpi, high quality;" TIFF""";
7;"""Candlelit Portrait"""; Portraiture; Soft light, warm colors, classic composition; Paris, France; Evening; Artificial light; Leica Q2, 28mm lens; DxO PhotoLab, skin tone adjustment, vignette; Vertical; sRGB; 5760x3840; 300 dpi, high quality;" JPEG""";
8;"""Cityscape at Blue Hour"""; Urban; Long exposure, city lights, reflections; New York City, USA; Blue hour; Tripod; Canon EOS R5, 24-70mm lens; Skylum Luminar AI, exposure fusion, color grading; Horizontal; Adobe RGB; 8192x5464; 300 dpi, medium quality;" ORF""";
9;"""Abstract Aerial Landscape"""; Aerial; Patterns, textures, shapes from above; Dubai, UAE; Midday; Natural light; DJI Mavic 3, 24mm lens; Dronepan, perspective correction, stitching; Vertical; sRGB; 4992x3328; 300 dpi, high quality;" JPEG""</s>";
