;Lens Make;Lens Model;FileName;Date Taken;Shutter Speed;Aperture Value;Focal Length;ISO;Exposure Compensation;Metering Mode;Light Source;
0; Canon;EF 70-200mm f/2.8L IS III USM;Image001.cr2;2023-03-13;1/250;f/4;135mm;400;0;Partial;Artificial;
1; Nikon;AF-S NIKKOR 50mm f/1.4G;Image002.nef;2023-03-14;1/500;f/2.8;50mm;100;-1/3;Spot;Daylight;
2; Sony;FE 16-35mm f/2.8 GM;Image003.arw;2023-03-15;1/200;f/5.6;24mm;800;0;Matrix;Fluorescent;
3; Fujifilm;XF 90mm f/2 R LM WR;Image004.raf;2023-03-16;1/125;f/4;90mm;1600;1/3;Multi-segment;Daylight;
4; Pentax;HD PENTAX-DA 20-40mm f/2.8-4 ED Limited DC WR;Image005.pef;2023-03-17;1/500;f/8;30mm;200;-2/3;Center-weighted;Daylight;
5; Olympus;M.Zuiko Digital ED 40-150mm f/2.8 PRO;Image006.orf;2023-03-18;1/400;f/5.6;80mm;400;0;Spot;Electronic Flash;
6; Sigma;14-24mm f/2.8 DG HSM Art;Image007.xmp;2023-03-19;1/250;f/8;14mm;100;0;Matrix;Daylight;
7; Tamron;SP 70-200mm f/2.8 Di VC USD G2;Image008.tif;2023-03-20;1/320;f/5.6;100mm;800;-1/3;Partial;Daylight;
8; Panasonic;Lumix G X Vario 12-35mm f/2.8 ASPH. POWER O.I.S.;Image009.rw2;2023-03-21;1/200;f/6.3;25mm;400;0;Multi-segment;Daylight;
9; Samyang;AF 14mm f/2.8 IF UMC;Image010.srw;2023-03-22;1/100;f/5.6;14mm;1600;0;Center-weighted;Starlight;</s>
