;Ecosystem Services; Ecological Footprint; Biodiverse Richness Index; Carbon Sequestration Rates; Oxygen Production Values; Water Purification Levels; Nutrient Cycling Efficiency; Pollination Contributions; Habitats Connectivity Ratings; Cultural Significance Scores; Recreational Use Value Indicators; Climatic Stability Impacts; Economic Evaluation Estimation
0; Ecosystem Services; Wetland Ecosystem; 90; 45; 120; 80; 95; 70; 80; 60; 40; 50; 30  100000
1;Ecosystem Services; Forest Ecosystem; 85; 60; 150; 90; 90; 85; 85; 70; 65; 70; 40  120000
2;Ecosystem Services; Grassland Ecosystem; 70; 35; 80; 60; 70; 50; 70; 50; 40; 45; 25  80000
3;Ecosystem Services; Freshwater Ecosystem; 65; 25; 70; 55; 60; 65; 65; 55; 45; 50; 30  70000
4;Ecosystem Services; Marine Ecosystem; 95; 50; 180; 100; 100; 90; 95; 80; 75; 80; 50  200000
5;Ecosystem Services; Desert Ecosystem; 40; 10; 30; 20; 35; 25; 40; 30; 20; 25; 15  40000
6;Ecosystem Services; Tundra Ecosystem; 50; 15; 40; 30; 45; 35; 50; 40; 30; 35; 25  50000
7;Ecosystem Services; Mountain Ecosystem; 75; 30; 85; 65; 75; 60; 75; 60; 50; 55; 35  90000
8;Ecosystem Services; Coastal Ecosystem; 80; 40; 100; 75; 80; 75; 80; 75; 65; 70; 45  110000
9;Ecosystem Services; Agricultural Ecosystem; 60; 20; 50; 30; 40; 40; 60; 45; 35; 40; 30  65000</s>
