;Title; Author; Figures of Speech Extensiveness; Use of Synesthesia; Allusion Type; Sentiment Analysis Results; Overall Poem Length; Average Word Count per Stanza; Rare Words List; Spanish Vocabulary Percentage; Noun Gender Parity Score; Enjambments; Disrupted Rhymes; Unusual Syllable Sequences; Special Character Incorporation; Formatted Text Decorative Techniques; Visuo-Local Color Change Frequency; Symbol Density Overlaid Images Opacity Rate; Bilingual Sensory Appeals; Music Type Embeddedness; Free Verse?; Concrete Poem?
0;" ""The Waste Land"""; T.S. Eliot; Extensive; Heavy use; Historical, Mythological, Biblical; Negative; 433 lines; 22.5; empty, waste, deserted, mechanical; 0%; 0.6; 35; 5; 12; 2; @, #, &; Text boxes, alternating fonts; Moderate; No; No.;;
1;"""Howl"""; Allen Ginsberg; Moderate; None; Cultural, Literary; Passionate; 208 lines; 15.3; howling, starving, bloody, beaten; 2%; 0.9; 18; 2; 5; 0; !, *, ...; Typewriter font, justified; Low; No; No.;;
2;"""Ode to a Nightingale"""; John Keats; Intensive; Sparse use; Romantic, Nature; Melancholic; 75 lines; 10; nightingale, flowers, wine, music; 0%; 0.3; 9; 1; 3; 0; None; Centered, indented; Low; No; No.;;
3;"""The Raven"""; Edgar Allan Poe; Moderate; Heavy use; Symbolic, Biblical; Haunting; 108 lines; 9.8; raven, midnight, chamber, black; 0%; 0.7; 15; 2; 6; 1; -, =, *; Dark, gothic lettering; Moderate; No; No.;;
4;"""When I Have Fears"""; John Keats; Intensive; None; Emotional, Personal; Anxious; 14 lines; 10; fears, immortal, deep, endless; 0%; 0%; 0; 0; 0; 0; None; Right-justified; Low; No; No.;;
5;"""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; Extensive; Sparse use; Philosophical; Contemplative; 131 lines; 10.7; love, time, yellow, coffee spoons; 0%; 0.5; 12; 3; 5; 1; ., /, '; Irregular stanza lengths, varying indentation; Moderate; No; No.;;
6;"""Dreamtigers"""; Jorge Luis Borges; Moderate; Moderate use; Personal, Literary; Reflective; 38 lines; 7.4; dreams, tigers, labyrinth, book; 25%; 0.4; 6; 1; 2; 1; Unique visual formatting; Low; No; No.;;;
7;"""The Tyger"""; William Blake; Intensive; None; Religious, Nature; Awe; 16 lines; 6.2; tyger, fire, heaven, fearful; 0%; 0%; 1; 0; 1; 0; None; Centered, uniform stanzas; Low; No; No.;;
8;"""Ode to the West Wind"""; Percy Bysshe Shelley; Extensive; Heavy use; Political, Nature; Dramatic; 144 lines; 10.5; wind, leaves, mountains, storm; 0%; 0.6; 32; 4; 12; 3; @, +, %; Irregular stanzas, various indents; High; No; No.;;
9;"""i carry your heart with me(i carry it in"""; E.E. Cummings; Intensive; None; Emotional; Affectionate; 30 lines; 10; heart, you, love, together; 0%; 0.4; 4; 0; 0; 0; &, of, me; Lowercase, whimsical formatting; Low; No; No.</s>;;
10;" ""The Raven"""; Edgar Allan Poe; Intensive; None; Literary, Gothic; Desolation; 108 lines; 9.8; raven, night, darkness, despair; 0%; 1.1; 17; 1; 6; 2; -, ~, *; Asymmetrical stanzas, various indents; High; No; No.;;
11;"""My Heart Leaps Up"""; William Wordsworth; Intensive; None; Nature, Emotional; Uplifting; 14 lines; 6.8; heart, clouds, joy, nature; 0%; 0%; 0; 0; 0; Justified, uniform stanzas; Low; No; No.;;;;
12;"""When I Have Fears"""; John Keats; Intensive; None; Love, Mortality; Melancholy; 20 lines; 10; fears, poetry, soul, immortality; 0%; 0.6; 1; 0; 1; 0; None; Centered, uniform stanzas; Low; No; No.;;
13;"""Ode to a Nightingale"""; John Keats; Extensive; Some; Nature, Mythology; Contemplative; 64 lines; 8; nightingale, death, flowers, wine; 0%; 0.8; 5; 1; 4; 2; ~, ^, *; Irregular stanzas; High; No; No.;;
14;"""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; Extensive; None; Existential, Time; Anxious; 131 lines; 10; time, streets, coffee spoons, himself; 0%; 1.4; 20; 8; 1; Free verse, varied indents; High; Yes; No.;;;;
15;"""The Waste Land"""; T.S. Eliot; Extensive; None; Mythology, Culture; Disjointed; 434 lines; 11; waste land, April, memories, ruin; 0%; 2.1; 43; 14; 12; Free verse, varied indents; Very high; Yes; No.;;;;
16;"""The Road Not Taken"""; Robert Frost; Intensive; None; Decision, Nature; Contemplative; 16 lines; 7.3; road, woods, diverged, gone; 0%; 0%; 0; 0; 0; Centered, uniform stanzas; Low; No; No.;;;;
17;"""Preludes"""; T.S. Eliot; Extensive; None; Time, Memory; Nostalgic; 76 lines; 9.7; footsteps, light, twilight, streets; 0%; 1.2; 9; 2; 0; Free verse, varied indents; High; Yes; No.;;;;
18;"""Do Not Go Gentle into That Good Night"""; Dylan Thomas; Intensive; None; Death, Perseverance; Urgent; 24 lines; 9.6; night, gentle, rage, grace; 0%; 0.9; 1; 0; 0; Centered, uniform stanza; Low; No; No.;;;;
19;"""The Rhyme of the Ancient Mariner"""; Samuel Taylor Coleridge; Extensive; Some; Maritime, Supernatural; Tale; 625 lines; 12; ancient mariner, sea, albatross, wedding-guest; 0%; 2.3; 81; 33; 6; Free verse, varied indents; High; Yes; No.;;</s>;;
20;" ""The Waste Land"""; T.S. Eliot; Extensive; Some; Civilization, Wasteland; Melancholic; 433 lines; 11.6; waste land, April, shadows, empty men; 0%; 3.8; 36; 12; 11; Free verse, varied indents; High; Yes; No.;;;;
21;"""When I Have Fears That I May Cease To Be"""; John Keats; Intensive; None; Mortality, Love; Yearning; 20 lines; 9.3; fears, cease, lonely, shadows; 0%; 1.1; 2; 0; 0; Uniform stanzas, uniform line lengths; Low; No; No.;;;;
22;"""The Love Song of J. Alfred Prufrock"""; T.S. Eliot; Extensive; Some; Modernity, Loneliness; Introspective; 131 lines; 12.3; policemen, mermaids, cocktail, evening; 0%; 2.5; 14; 5; 1; Free verse, varied indents; High; Yes; No.;;;;
23;"""La Belle Dame sans Merci"""; John Keats; Extensive; Some; Medieval Legend, Love; Tragic; 100 lines; 11.8; Belle Dame, knight, Mercy, lily; 0%; 3.2; 12; 5; 0; Uniform stanzas, varied line lengths; High; No; No.;;;;
24;"""Kubla Khan"""; Samuel Taylor Coleridge; Extensive; None; Fantasy, Creation; Ecstatic; 54 lines; 12.9; Kubla Khan, caves, sunless sea, mighty fountain; 0%; 3.5; 15; 3; 0; Free verse, varied indents; High; Yes; No.;;;;
