;Legislative Jurisdiction; Legislature Session & Date; Bill Proponent; Bill Opponent; Consultants Engaged; Expert Witnesses Called; Public Opinion Surveys Conducted; Stakeholder Meetings Held; Lobbyist Interests Considered; Media Coverage During Legislation; Financial Implications
0;  Federal; 116th Congress, 1st Session, June 17, 2019; Rep. John Lewis; Rep. Doug Collins; Legal scholars from Yale, Harvard; Constitutional law experts; National Poll: 65% approval; Advocacy groups for civil rights; Daily news articles; Estimated cost: $50 million;
1; State - California; 2020 Legislature, September 4, 2020; Gov. Gavin Newsom; Assembly Minority Leader; Lobbyists for tech and entertainment industries; Legal scholars from UC Berkeley; Online surveys by major news outlets; Community meetings on Zoom; Projected budget impact: +/- $200 million;;
2; State - New York; 2019 Legislature, June 14, 2019; Sen. Andrea Stewart-Cousins; Assembly Minority Leader; Real estate developers and affordable housing advocates; Constitutional law professors; Poll by Siena College: 72% support; Various op-eds and TV debates; Fiscal impact: $1.5 billion;;
3; State - Texas; 86th Legislature, Regular Session, May 27, 2019; Gov. Greg Abbott; House Speaker Dennis Bonnen; Oil and gas industry representatives; Legal experts from UT Austin; State-wide poll by Texas Tribune: 53% opposed; Townhall meetings; Financial implications: varying projections;;
4; State - Illinois; 101st General Assembly, 2019; Gov. JB Pritzker; Senate Minority Leader; Labor unions and business associations; Illinois constitutional law professors; Multiple media polls: 60% support; Interest group briefings; Estimated budget change: $500 million;;
5; State - Florida; 2020 Legislative Session, March 11, 2020; Gov. Ron DeSantis; House Speaker José Oliva; Education organizations; Legal scholars from FIU; Online public opinion surveys: 55% approval; Webinars and virtual meetings; Estimated financial impact: $100 million;;
6; State - Pennsylvania; 2019-2020 Legislative Session, October 21, 2019; Gov. Tom Wolf; Senate President Pro Tempore; Health care providers and insurers; Health law professors from Penn State; Statewide polls: 70% support; Stakeholder conferences; Financial impact: $750 million;;
7; State - Michigan; 2019 Legislative Session, December 17, 2019; Gov. Gretchen Whitmer; House Speaker Lee Chatfield; Auto industry representatives; Law professors from University of Michigan; Public opinion surveys: 68% approval; Interest group meetings; Projected financial change: $200 million;;
8; State - Ohio; 133rd General Assembly, 2019-2020; Gov. Mike DeWine; Senate President Larry Obhof; Manufacturing and agriculture groups; Legal scholars from OSU; Multiple media polls: 55% support; Community forums and rallies; Estimated economic impact: $1 billion;;
9; State - Georgia; 2019 Legislative Session, May 3, 2019; Gov. Brian Kemp; House Speaker David Ralston; Transportation and logistics companies; Law professors from Emory; Online surveys: 52% approval; Legislative hearings; Projected financial impact: $300 million</s>;;
