;Literature; Visual Arts; Dance Forms; Architecture Styles; Cinema & Media; Sports; Historical Places; Museums & Galleries; National Holidays; Recreational Activities; Folktales; Literary Figures; Art Movements; Musical Instruments; Cultural Landmarks
0;" ""Pride and Prejudice"""; Impressionist Painting; Ballet; Gothic Revival; French New Wave; Rugby; Stonehenge; British Museum; Boxing Day; Hiking; The Three Little Pigs; William Shakespeare; Romanticism; Harp; Eiffel Tower
1;" ""Don Quixote"""; Social Realism; Flamenco; Baroque; Magical Realism; Football/Soccer; Alhambra; Prado Museum; Fiesta Nacional de España; Cycling; Juan Bobo; Miguel de Cervantes; Cubism; Guitar; Sagrada Familia
2;" ""War and Peace"""; Suprematism; Russian Ballet; Russian Byzantine; Soviet Cinema; Ice Hockey; Red Square; Hermitage Museum; Russian Orthodox Christmas; Snowboarding; Baba Yaga; Leo Tolstoy; Futurism; Balalaika; Lenin's Mausoleum
3;" ""Moby Dick"""; Abstract Expressionism; Modern Dance; Greek Revival; Film Noir; American Football; Statue of Liberty; Metropolitan Museum; Thanksgiving; Camping; Br'er Rabbit; Herman Melville; Dadaism; Saxophone; Mount Rushmore
4;" ""To Kill a Mockingbird"""; Pop Art; Hip Hop Dance; Beaux-Arts; Blaxploitation; Basketball; Capitol Building; National Mall Smithsonian; Independence Day; Basket Weaving; Anansi the Spider; Harper Lee; Surrealism; Trumpet; Grand Canyon
5;" ""One Hundred Years of Solitude"""; Magic Realism; Tango; Art Deco; Telenovela; Boxing; Panama Canal; Guggenheim Museum; Carnival; Rock Climbing; La Llorona; Gabriel Garcia Marquez; Minimalism; Bandoneon; Christ the Redeemer
6;" ""Things Fall Apart"""; Négritude; Capoeira; Brutalist; Nollywood; Cricket; Taj Mahal; National Museum Lagos; Eid al-Fitr; Canoeing; Anansi the Spider; Chinua Achebe; Post-Impressionism; Kora; Nyiragongo Volcano
7;" ""The Divine Comedy"""; Renaissance; Bharatanatyam; Romanesque; Spaghetti Western; Volleyball; Colosseum; Uffizi Gallery; Easter; Skiing; Orpheus; Dante Alighieri; Byzantine; Lute; Leaning Tower of Pisa
8;" ""Madame Bovary"""; Realism; Belly Dance; Ottoman; Egyptian Cinema; Squash; Pyramids of Giza; Egyptian Museum; Eid al-Adha; Pottery; A Thousand and One Nights; Gustave Flaubert; Baroque; Oud; Sphinx
9;" ""The Tale of Genji"""; Ukiyo-e; Kabuki; Heian; Jidaigeki; Sumo; Mount Fuji; Tokyo National Museum; New Year; Origami; Urashima Taro; Murasaki Shikibu; Edo; Koto; Hiroshima Peace Memorial Park</s>
