;`Political Party; Politicians Count; Annual Budget; Source of Annual Budget; Policy Focus; Ideological Affiliation; Number of Scandals; Party Leader; Membership Trends; Opposition Party`
0; Democratic Party; 45 politicians; $50 million; Private Donations, Membership Fees; Economic Equality, Environmental Protection; Center-Left; 2 scandals; John Smith; Steadily Growing; Republican Party
1;Republican Party; 40 politicians; $60 million; Private Donations, Corporate Sponsors; Fiscal Conservatism, Strong Defense; Center-Right; 3 scandals; Sarah Johnson; Slightly Declining; Independent Party
2;Independent Party; 15 politicians; $12 million; Individual Wealth, Small Donations; Fiscal Responsibility, Social Tolerance; Independent; 1 scandal; James Brown; Stable; Democratic Party
3;Green Party; 10 politicians; $8 million; Membership Fees, Environmental Grants; Green Economy, Grassroots Democracy; Left-Wing; 0 scandals; Emily Davis; Growing Slowly; Opposition Party
4;Libertarian Party; 8 politicians; $7 million; Private Donations, Investments; Personal Freedom, Free Market; Right-Libertarian; 1 scandal; Michael Miller; Consistent Membership; Independent Party
5;Progressive Party; 5 politicians; $4 million; Labor Unions, Crowdfunding; Workers Rights, Progressive Values; Left-Wing; 0 scandals; Susan Thompson; Steadily Growing; Opposition Party
6;Reform Party; 3 politicians; $2 million; Business Interests, Local Grants; Political Reform, Fiscal Responsibility; Center; 1 scandal; Robert Wilson; Declining Membership; Independent Party
7;Constitution Party; 2 politicians; $1 million; Grassroots Donations; Strict Constructionism, Social Conservatism; Far-Right; 0 scandals; Jane Brown; Stable Membership; Opposition Party
8;Socialist Party; 1 politician; $500,000; Small Donations, Workers Unions; Democratic Socialism, Workers Rights; Left-Wing; 0 scandals; Alan Carter; Steadily Growing; Opposition Party
9;Communist Party; 1 politician; $250,000; Personal Wealth; Marxism-Leninism, Workers Revolution; Far-Left; 0 scandals; Maria Rodriguez; Consistent Membership; Independent Party</s>
10; Green Party; 3 politicians; $750,000; Environmental Activism Donations; Environmentalism, Social Progressivism; Left-Wing; 1 scandal; Laura Johnson; Increasing Membership; Opposition Party 
11;Libertarian Party; 4 politicians; $1.2 million; Business Donations; Minimal Government, Free Markets; Right-Libertarian; 2 scandals; Michael Davis; Slowly Growing; Opposition Party 
12;Democratic Party; 150 politicians; $200 million; Large Donors, Business, Labor; Liberalism, Centrism; Center-Left; 15 scandals; John Smith; Steadily Declining; Governing Party 
13;Republican Party; 130 politicians; $250 million; Large Donors, Business, Evangelical Groups; Conservatism, Neoconservatism; Right-Wing; 22 scandals; James Johnson; Declining Membership; Governing Party 
14;Reform Party; 6 politicians; $3 million; Varied Donations; Populism, Centrism; Center; 0 scandals; Karen Thompson; Steady Membership; Opposition Party 
15;Whig Party; 2 politicians; $500,000; Historical Preservation Donations; Classical Liberalism, Fiscal Conservatism; Center-Right; 0 scandals; William Collins; Consistent Membership; Independent Party 
16;Independent Party; 1 politician; $150,000; Personal Wealth; Nonpartisan, Independent Politics; Centrism; 0 scandals; Susan Garcia; Stagnant Membership; Independent Party 
17;Tea Party; 8 politicians; $2 million; Business Donations; Fiscal Conservatism, Social Conservatism; Far-Right; 1 scandal; Robert Anderson; Declining Membership; Faction of Republican Party 
18;Working Families Party; 3 politicians; $800,000; Labor Unions, Small Donors; Democratic Socialism, Progressivism; Left-Wing; 0 scandals; Thomas Williams; Steadily Growing; Affiliated with Democratic Party 
19;Progressive Party; 4 politicians; $1 million; Small Donors, Progressive Organizations; Progressivism, Social Democracy; Left-Wing; 1 scandal; Linda White; Stable Membership; Opposition Party </s>
20; Green Party; 5 politicians; $1.5 million; Environmental Activists, Small Donors; Green Politics, Eco-socialism; Left-Wing; 0 scandals; Sarah Johnson; Slowly Growing; Opposition Party 
21;Libertarian Party; 6 politicians; $3 million; Business Donations, Individual Donors; Fiscal Conservatism, Social Liberalism; Right-Libertarian; 2 scandals; James Smith; Steadily Growing; Opposition Party 
22;Democratic Party; 200 politicians; $2 billion; Business Donations, Individual Donors; Liberal Democracy, Centrism; Center-Left; 5 scandals; Joseph Biden; Steadily Growing; Governing Party 
23;Republican Party; 150 politicians; $1.5 billion; Business Donations, Individual Donors; Conservative Ideology, Neoliberalism; Center-Right; 10 scandals; Donald Trump; Stable Membership; Governing Party 
24;Socialist Party; 7 politicians; $500,000; Small Donors, Socialist Organizations; Democratic Socialism, Marxism; Left-Wing; 1 scandal; Eric Miller; Declining Membership; Opposition Party 
25;Constitution Party; 3 politicians; $200,000; Small Donors, Conservative Activists; Paleoconservatism, Christian Right; Far-Right; 0 scandals; John Brown; Stable Membership; Opposition Party 
26;Reform Party; 2 politicians; $300,000; Business Donations, Individual Donors; Centrism, Populism; Center; 0 scandals; Nicole Thompson; Declining Membership; Opposition Party 
27;Independent Party; 1 politician; $100,000; Personal Wealth, Small Donors; Independent, Political Centrism; N/A; 0 scandals; Angela Davis; Steadily Growing; Opposition Party 
28;Whig Party; 1 politician; $50,000; Personal Wealth, Individual Donors; Centrism, Liberal Conservatism; Center-Right; 0 scandals; John Anderson; N/A; Opposition Party 
29;Federalist Party; 0 politician; $0; N/A; Federalism, Classical Liberalism; Center-Right; 0 scandals; N/A; N/A; N/A 
30; Green Party; 3 politicians; $250,00</s>;;;;;;;
31; Socialist Party; 5 politicians; $750,000; Membership Fees, Union Donations; Workers' Rights, Democratic Socialism; Left-Wing; 2 scandals; Alexandra Ocasio-Cortez; Growing; Opposition Party 
32;Libertarian Party; 7 politicians; $1,000,000; Corporate Donations, Individual Donors; Individual Liberty, Free-Market Capitalism; Right-Wing; 1 scandal; Jo Jorgensen; Stable; Opposition Party 
33;Progressive Party; 4 politicians; $800,000; Small Donations, Grant Funding; Social Justice, Progressivism; Left-Wing; 3 scandals; Elizabeth Warren; Growing; Opposition Party 
34;Reform Party; 6 politicians; $900,000; Corporate Donations, Individual Donors; Political Reform, Centrism; Center; 1 scandal; Donald Trump (hypothetical); Declining; Opposition Party 
35;Constitution Party; 3 politicians; $350,000; Individual Donors, Membership Fees; Original Intent, Fiscal Conservatism; Far-Right; 0 scandals; Ben Carson (hypothetical); Stable; Opposition Party 
36;Tea Party; 8 politicians; $1,200,000; Corporate Donors, Super PACs; Fiscal Conservatism, Small Government; Far-Right; 4 scandals; Ted Cruz; Declining; Opposition Party 
37;Bull Moose Party; 2 politicians; $400,000; Individual Donors, Grant Funding; Progressivism, Environmentalism; Left-Wing; 1 scandal; Paul Ryan (hypothetical); N/A; Opposition Party 
38;Objectivist Party; 1 politician; $150,000; Individual Wealth, Book Sales; Objectivism, Laissez-Faire Capitalism; Far-Right; 0 scandals; Adam Kokesh; N/A; Opposition Party 
39;Communist Party; 1 politician; $100,000; Membership Fees, Small Donations; Marxism-Leninism, Workers' Rights; Far-Left; 0 scandals; Angela Davis; Stable; Opposition Party 
