;CensusID;QuantitativePestManagement;GeographicalDistribution;AveragePlantHeight;SoilpHPreference;FloweringPeriod;PollinationMechanism;CommonUsesAndBenefits;SymbolicValuesCulture;PropagationByCuttingsProcedure;GeneticMakeupAnalysisResults;SelectedBreedVarietiesCultivars
0; 1;Integrated pest management strategies;Grows in temperate regions;150 cm;Prefers slightly acidic soil;June-July;Entomophily;Ornamental, medicinal uses;Symbolizes grace and elegance;Take stem cuttings in late spring, root in well-draining medium;Genetic analysis shows hybrid origin;Rose 'Double Delight', Rose 'Peace'
1;2;Biological control methods;Native to tropical rainforests;20 cm;Prefers slightly acidic soil;Throughout the year;Zoophily;Ground cover, erosion control;None;Propagate through division, separating offsets;Genetically diverse, high heterozygosity;Bromeliad 'Aechmea blanchetiana', Bromeliad 'Neoregelia fireball'
2;3;Chemical pesticides and traps;Wide distribution across temperate and subtropical zones;35 cm;Prefers neutral soil;August-September;Anemophily;Ornamental, hedging;Symbolizes privacy and protection;Air-layering technique or rooting hormone method;Genetically uniform cultivars;Boxwood 'Green Velvet', Boxwood 'Justin Brouwers'
3;4;Cultural practices and exclusion;Found in Mediterranean climates;70 cm;Prefers slightly alkaline soil;April-May;Cantharophily;Ornamental, fragrance;Symbolizes love and beauty;Take semi-hardwood cuttings in mid-summer;Genetically diverse natural population;Lavender 'Grosso', Lavender 'English'
4;5;Integrated pest management;Grows in boreal and subarctic regions;5 cm;Prefers acidic soil;Late July-August;Hymenoptera, Diptera pollination;Ground cover, ornamental;None;Take rooted cuttings in autumn;Genetic analysis unavailable;Cranberry 'Stevens', Cranberry 'Early Black'
5;6;Biological control;Native to grassland ecosystems;100 cm;Prefers slightly acidic soil;May-June;Ornithophily;Ornamental, wildlife habitat;Symbolizes strength and resilience;Divide rhizomes in early spring;Genetically diverse;Black-eyed Susan 'Goldsturm', Black-eyed Susan 'Prairie Dawn'
6;7;Physical barriers and traps;Wide distribution, coastal and riparian zones;250 cm;Prefers neutral soil;March-April;Anemophily;Windbreak, erosion control;Symbolizes flexibility and adaptability;Air-layering or softwood cuttings;Genetic analysis unavailable;Eucalyptus 'Gunnii', Eucalyptus 'Globulus'
7;8;Integrated pest management;Native to desert climates;45 cm;Prefers alkaline soil;February-March;Cantharophily;Ornamental, drought tolerance;Symbolizes endurance and survival;Take hardwood cuttings in late winter;Genetically diverse;Cactus 'San Pedro', Cactus 'Echinopsis'
8;9;Chemical pesticides;Grows in temperate and subtropical regions;80 cm;Prefers slightly acidic soil;September-October;Entomophily;Ornamental, cut flowers;Symbolizes romance and admiration;Take softwood cuttings in summer;Genetic analysis inconclusive;Carnation 'Simplicity', Carnation 'Francesca'
9;10;Cultural practices;Native to alpine and subalpine regions;20 cm;Prefers acidic soil;July-August;Hymenophily;Ornamental, rock gardens;Symbolizes high elevation and purity;Take basal cuttings in early spring;Genetic analysis unavailable;Primula 'Belarina', Primula 'Victoriana'</s>
