query_table,data_lake_table,unionable,intent_col_name
World Geography_8JTGEV49.csv,World Geography_GW1UN942.csv,1, Country
World Geography_8JTGEV49.csv,World Geography_AFZA5VPU.csv,0,
World Geography_8JTGEV49.csv,World Geography_J82FFU65.csv,1, Country
World Geography_8JTGEV49.csv,World Geography_9V8N9S2F.csv,0,
World Geography_8JTGEV49.csv,World Geography_MLCQ4EFI.csv,1, Country
World Geography_8JTGEV49.csv,World Geography_Z7R7PN0R.csv,0,
World Geography_8JTGEV49.csv,World Geography_UH5VMPBR.csv,1, Country
World Geography_8JTGEV49.csv,World Geography_V1DGJOC8.csv,0,
World Geography_8JTGEV49.csv,World Geography_ZFXHCBML.csv,1, Country
World Geography_8JTGEV49.csv,World Geography_B81GQEOE.csv,0,
World Geography_8JTGEV49.csv,World Geography_CGZMQW4K.csv,1, Country
World Geography_8JTGEV49.csv,World Geography_KV7QH2LA.csv,0,
World Geography_8JTGEV49.csv,World Geography_WYQJ9A3F.csv,1, Country
World Geography_8JTGEV49.csv,World Geography_IP4WSWIT.csv,0,
World Geography_8JTGEV49.csv,World Geography_MVKPO2Y0.csv,1, Country
World Geography_8JTGEV49.csv,World Geography_0CK2EQK2.csv,0,
World Geography_8JTGEV49.csv,World Geography_5UT3D0M9.csv,1, Country
World Geography_8JTGEV49.csv,World Geography_Z0UANAA7.csv,0,
World Geography_8JTGEV49.csv,World Geography_RLG4ZFBR.csv,1, Country
World Geography_8JTGEV49.csv,World Geography_7WHJRBCC.csv,0,
World History_31X8LNYS.csv,World History_AIJRVVXF.csv,1, Events
World History_31X8LNYS.csv,World History_KJSXZ9IS.csv,0,
World History_31X8LNYS.csv,World History_L7ETZVT0.csv,1, Events
World History_31X8LNYS.csv,World History_4VVH4H51.csv,0,
World History_31X8LNYS.csv,World History_ODYAGZ97.csv,1, Events
World History_31X8LNYS.csv,World History_N1FXOQK1.csv,0,
World History_31X8LNYS.csv,World History_CNJGM3YX.csv,1, Events
World History_31X8LNYS.csv,World History_JZ175U55.csv,0,
World History_31X8LNYS.csv,World History_VUUC7JQJ.csv,1, Events
World History_31X8LNYS.csv,World History_EF7CEOIC.csv,0,
World History_31X8LNYS.csv,World History_KJ3X6Y76.csv,1, Events
World History_31X8LNYS.csv,World History_E1NS804Y.csv,0,
World History_31X8LNYS.csv,World History_5QT0YYDK.csv,1, Events
World History_31X8LNYS.csv,World History_DC40J5FJ.csv,0,
World History_31X8LNYS.csv,World History_3DG4JBCI.csv,1, Events
World History_31X8LNYS.csv,World History_MY5HD3VH.csv,0,
World History_31X8LNYS.csv,World History_H7MCZ2XM.csv,1, Events
World History_31X8LNYS.csv,World History_CC5QB7NO.csv,0,
