,query_table,data_lake_table,unionable,num_union_cols,intent_col_name
0,World-Geography_NO6B9M80.csv,World-Geography_O2RAK1VR.csv,1,2,"""Country Name"""
1,World-Geography_NO6B9M80.csv,World-Geography_F9SXMECO.csv,0,0,N/A
2,World-Geography_NO6B9M80.csv,World-Geography_GYR3XKXW.csv,1,8,"""Country Name"""
3,World-Geography_NO6B9M80.csv,World-Geography_K8PK3YR9.csv,0,0,N/A
4,World-Geography_NO6B9M80.csv,World-Geography_CUZRENUN.csv,1,3,"""Country Name"""
5,World-Geography_NO6B9M80.csv,World-Geography_98Q1ZXOI.csv,0,0,N/A
6,World-Geography_NO6B9M80.csv,World-Geography_HJK1EYY3.csv,1,8,"""Country Name"""
7,World-Geography_NO6B9M80.csv,World-Geography_VHS1K3AQ.csv,0,0,N/A
8,World-Geography_NO6B9M80.csv,World-Geography_T6MJXK87.csv,1,2,"""Country Name"""
9,World-Geography_NO6B9M80.csv,World-Geography_FF5E8II4.csv,0,0,N/A
10,World-Geography_NO6B9M80.csv,World-Geography_MTZX272H.csv,1,6,"""Country Name"""
11,World-Geography_NO6B9M80.csv,World-Geography_5N8I4P40.csv,0,0,N/A
12,World-Geography_NO6B9M80.csv,World-Geography_103DGDZV.csv,1,4,"""Country Name"""
13,World-Geography_NO6B9M80.csv,World-Geography_KYAYQ3S1.csv,0,0,N/A
14,World-Geography_NO6B9M80.csv,World-Geography_5JMSND8D.csv,1,7,"""Country Name"""
15,World-Geography_NO6B9M80.csv,World-Geography_467KD6FL.csv,0,0,N/A
16,World-Geography_NO6B9M80.csv,World-Geography_HPCF07UQ.csv,1,5,"""Country Name"""
17,World-Geography_NO6B9M80.csv,World-Geography_NQ65QDF1.csv,0,0,N/A
18,World-Geography_NO6B9M80.csv,World-Geography_IQK2919A.csv,1,8,"""Climate"""
19,World-Geography_NO6B9M80.csv,World-Geography_8CX9J1IC.csv,0,0,N/A
20,World-History_GW90JPKL.csv,World-History_0BLV0PRK.csv,1,7,Primary Sources
21,World-History_GW90JPKL.csv,World-History_4OM3WTOO.csv,0,0,N/A
22,World-History_GW90JPKL.csv,World-History_RERW6Z8V.csv,1,4, Art & Architecture
23,World-History_GW90JPKL.csv,World-History_LQCG1WU1.csv,0,0,N/A
24,World-History_GW90JPKL.csv,World-History_MQC1A78M.csv,1,5, Art & Architecture
25,World-History_GW90JPKL.csv,World-History_UHT6T0UZ.csv,0,0,N/A
26,World-History_GW90JPKL.csv,World-History_0YLTZ9AT.csv,1,3,Primary Sources
27,World-History_GW90JPKL.csv,World-History_U322N64K.csv,0,0,N/A
28,World-History_GW90JPKL.csv,World-History_VFPTOMJB.csv,1,7,Primary Sources
29,World-History_GW90JPKL.csv,World-History_E30MY5ZP.csv,0,0,N/A
30,World-History_GW90JPKL.csv,World-History_73D9PH3I.csv,1,3,Primary Sources
31,World-History_GW90JPKL.csv,World-History_U26192K4.csv,0,0,N/A
32,World-History_GW90JPKL.csv,World-History_R75PR2ES.csv,1,8, Art & Architecture
33,World-History_GW90JPKL.csv,World-History_8FIJOYJN.csv,0,0,N/A
34,World-History_GW90JPKL.csv,World-History_30DN0YBY.csv,1,6,Primary Sources
35,World-History_GW90JPKL.csv,World-History_TY088O5O.csv,0,0,N/A
36,World-History_GW90JPKL.csv,World-History_VZK3I8BZ.csv,1,5,Primary Sources
37,World-History_GW90JPKL.csv,World-History_F1I3LDQY.csv,0,0,N/A
38,World-History_GW90JPKL.csv,World-History_YR0QF4B8.csv,1,4,Primary Sources
39,World-History_GW90JPKL.csv,World-History_OECBPMBJ.csv,0,0,N/A
40,Art-History_YZMEPGTH.csv,Art-History_CW81XE6V.csv,1,6,Subject Matter
41,Art-History_YZMEPGTH.csv,Art-History_G1X3J1L7.csv,0,0,N/A
42,Art-History_YZMEPGTH.csv,Art-History_UPFR2P3Y.csv,1,4,Subject Matter
43,Art-History_YZMEPGTH.csv,Art-History_L5NWQVRR.csv,0,0,N/A
44,Art-History_YZMEPGTH.csv,Art-History_P059P452.csv,1,2,Subject Matter
45,Art-History_YZMEPGTH.csv,Art-History_ZPTX497W.csv,0,0,N/A
46,Art-History_YZMEPGTH.csv,Art-History_W3RTQOHM.csv,1,4,Subject Matter
47,Art-History_YZMEPGTH.csv,Art-History_LMN4R7SG.csv,0,0,N/A
48,Art-History_YZMEPGTH.csv,Art-History_TA8IRCD9.csv,1,3,Subject Matter
49,Art-History_YZMEPGTH.csv,Art-History_5GAS442V.csv,0,0,N/A
50,Art-History_YZMEPGTH.csv,Art-History_4HEZ5EDJ.csv,1,8,Subject Matter
51,Art-History_YZMEPGTH.csv,Art-History_FPH90O7Y.csv,0,0,N/A
52,Art-History_YZMEPGTH.csv,Art-History_1TDGNNQF.csv,1,8,Subject Matter
53,Art-History_YZMEPGTH.csv,Art-History_EKA024SC.csv,0,0,N/A
54,Art-History_YZMEPGTH.csv,Art-History_M1H8OJRJ.csv,1,4,Subject Matter
55,Art-History_YZMEPGTH.csv,Art-History_S2H3TZR6.csv,0,0,N/A
56,Art-History_YZMEPGTH.csv,Art-History_C1UQBFOB.csv,1,6,Subject Matter
57,Art-History_YZMEPGTH.csv,Art-History_CL472RL1.csv,0,0,N/A
58,Art-History_YZMEPGTH.csv,Art-History_W0VUGKV0.csv,1,5,Subject Matter
59,Art-History_YZMEPGTH.csv,Art-History_9C3FUQUH.csv,0,0,N/A
60,Science_DNR9IS25.csv,Science_HBPKT9A9.csv,1,8,Scientific Discipline
61,Science_DNR9IS25.csv,Science_3HJ5S6R0.csv,0,0,N/A
62,Science_DNR9IS25.csv,Science_9JYM6IER.csv,1,5,Scientific Discipline
63,Science_DNR9IS25.csv,Science_RAST5J28.csv,0,0,N/A
