;Stock Market Index;Stock Market Sector;Interest Rates;Volatility Index;Dividend Yield;Price/Earnings Ratio;Market Capitalization;Trading Volume;Foreign Exchange Rate;Credit Rating;Gross Domestic Product;Unemployment Rate;Inflation Rate;Consumer Confidence;Political Stability
0; DJIA;Industrials;3.0%;VIX-12;2.5%;20:1;100 Billion;100k;1 USD:EUR 0.85;AAA;2.0%;1.5%;85;Stable;
1;NASDAQ;Technology;2.5%;VIX-15;1.5%;30:1;50 Billion;50k;1 USD:EUR 0.85;AA;2.5%;2.0%;75;Stable;
2;S&P 500;Diversified;2.2%;VIX-10;2.0%;18:1;200 Billion;250k;1 USD:EUR 0.85;AAA;1.8%;1.2%;80;Stable;
3;FTSE 100;Financials;1.5%;VIX-8;4.5%;12:1;500 Billion;500k;1 GBP:EUR 1.1;AA;2.0%;1.5%;65;Stable;
4;Nikkei 225;Consumer Goods;0.5%;VIX-16;3.0%;50:1;10 Trillion;1 M;1 JPY:USD 0.009;AA;-0.5%;-1.0%;45;Stable;
5;CAC 40;Real Estate;1.0%;VIX-11;3.5%;25:1;250 Billion;250k;1 EUR:USD 1.15;AA;1.5%;1.0%;60;Stable;
6;HSI;Energy;1.2%;VIX-9;2.8%;15:1;800 Billion;800k;1 HKD:USD 0.12;AAA;1.7%;0.5%;70;Stable;
7;KOSPI;Healthcare;0.7%;VIX-13;2.2%;10:1;200 Billion;1 M;1 KRW:USD 0.0008;AA;1.0%;0.8%;75;Stable;
8;BSE SENSEX;Utilities;1.8%;VIX-7;1.8%;16:1;100 Billion;500k;1 INR:USD 0.013;AA;2.2%;2.0%;55;Stable;
9;TSX Composite;Basic Materials;2.8%;VIX-14;1.9%;8:1;500 Billion;500k;1 CAD:USD 0.75;AAA;2.5%;1.8%;85;Stable;
10; FTSE 100;Financials;3.2%;VIX-15;3.0%;12:1;2500 Billion;2 M;1 GBP:USD 1.29;AA;1.5%;2.5%;60;Stable;
11;Nikkei 225;Industrials;1.0%;VIX-12;2.0%;15:1;4000 Billion;3 M;1 JPY:USD 0.009;AA;0.9%;0.5%;100;Stable;
12;CAC 40;Consumer Services;2.9%;VIX-11;2.5%;14:1;1500 Billion;1.5 M;1 EUR:USD 1.18;AAA;2.3%;1.2%;70;Stable;
13;Hang Seng;Real Estate;1.5%;VIX-16;1.7%;9:1;1200 Billion;2.5 M;1 HKD:USD 0.129;AA+;1.7%;1.0%;80;Stable;
14;Swiss Market;Technology;1.3%;VIX-10;3.5%;18:1;750 Billion;1 M;1 CHF:USD 1.02;AAA;1.1%;0.3%;85;Stable;
15;S&P/ASX 200;Consumer Goods;2.1%;VIX-9;2.8%;11:1;1000 Billion;1.8 M;1 AUD:USD 0.71;AAA;1.9%;1.5%;65;Stable;
16;Ibovespa;Telecommunications;5.0%;VIX-20;1.3%;6:1;800 Billion;1.2 M;1 BRL:USD 0.25;BBB;3.0%;2.5%;90;Stable;
17;Kuala Lumpur;Energy;4.5%;VIX-18;1.2%;7:1;600 Billion;500k;1 MYR:USD 0.23;BBB;4.2%;1.2%;75;Stable;
18;BOM 30;Information Tech;2.5%;VIX-17;2.7%;7:1;350 Billion;1 M;1 INR:USD 0.013;AA+;2.8%;2.2%;60;Stable;
19;STRT;Consumer Discretionary;3.7%;VIX-19;1.6%;13:1;250 Billion;800k;1 SEO:USD 0.001;AA;3.0%;1.0%;75;Stable;
20; HSI;Financials;1.8%;VIX-18;2.3%;10:1;800 Billion;2 M;1 HKD:USD 0.12;AA;2.5%;1.7%;68;Stable;
21;FTSE 100;Healthcare;2.1%;VIX-17;1.5%;15:1;1200 Billion;3 M;1 GBP:USD 1.2;AAA;1.9%;0.8%;72;Stable;
22;NASDAQ;Communication Services;2.9%;VIX-19;0.9%;20:1;3000 Billion;6 M;1 USD:EUR 0.85;AA+;2.4%;1.4%;78;Stable;
23;Nikkei 225;Industrials;0.9%;VIX-18;1.8%;12:1;1800 Billion;2.5 M;1 JPY:USD 0.009;A;2.7%;0.5%;70;Stable;
24;S&P 500;Utilities;2.3%;VIX-17;2.6%;14:1;2800 Billion;7 M;1 USD:CAD 1.3;AA;2.2%;1.3%;65;Stable;
25;BSE SENSEX;Materials;3.2%;VIX-19;1.7%;8:1;450 Billion;1.5 M;1 INR:USD 0.013;BBB;3.4%;2.0%;70;Stable;
26;ASX 200;Real Estate;1.5%;VIX-18;2.1%;9:1;1600 Billion;2.2 M;1 AUD:USD 0.68;A+;2.0%;1.1%;76;Stable;
27;Ibovespa;Consumer Staples;4.1%;VIX-17;1.4%;6:1;800 Billion;4 M;1 BRL:USD 0.2;BBB;4.3%;2.8%;65;Stable;
28;SWISS MARKET;Energy;1.2%;VIX-19;1.3%;11:1;600 Billion;1.2 M;1 CHF:USD 1;AAA;1.6%;0.3%;77;Stable;
29;KOSPI;Information Tech;2.7%;VIX-18;2.4%;7:1;1500 Billion;5 M;1 KRW:USD 0.0008;A+;2.6%;0.9%;73;Stable;</s>
30; HANG SENG;Financials;0.8%;VIX-18;2%;9:1;500 Billion;3 M;1 HKD:USD 0.13;AA;2.2%;1.2%;78;Stable;
31;CAC 40;Healthcare;1.5%;VIX-19;1.5%;14:1;400 Billion;2.5 M;1 EUR:USD 1.1;AA;1.4%;0.8%;81;Stable;
32;NASDAQ;Industrials;3%;VIX-18;1.2%;16:1;3000 Billion;6 M;1 USD:USD 1;AAA;1.8%;1.5%;67;Stable;
33;Nikkei 225;Utilities;1%;VIX-19;1.8%;12:1;1000 Billion;4 M;1 JPY:USD 0.009;A;2.1%;0.2%;85;Stable;
34;BOM 30;Real Estate;2.5%;VIX-17;1.9%;8:1;250 Billion;2 M;1 INR:USD 0.014;BBB;3%;1.6%;55;Stable;
35;STRAITS TIMES;Communication;2%;VIX-18;1.6%;10:1;700 Billion;3.5 M;1 SGD:USD 0.7;AA;1.7%;0.7%;72;Stable;
36;FTSE 100;Consumer Discretionary;1.8%;VIX-19;1.7%;13:1;2000 Billion;5.5 M;1 GBP:USD 1.3;AAA;2%;0.5%;76;Stable;
37;DAX;Materials;1.3%;VIX-18;2.2%;15:1;1000 Billion;2.8 M;1 EUR:USD 1.1;AAA;1.6%;0.9%;83;Stable;
38;TOPIX;Basic Materials;0.9%;VIX-17;2.5%;6:1;800 Billion;3 M;1 JPY:USD 0.009;A+;3.9%;1.1%;60;Stable;
39;ASX 200;Financials;0.7%;VIX-19;2.1%;7:1;1200 Billion;4.5 M;1 AUD:USD 0.7;AA;2.3%;1.3%;62;Stable;</s>
40; SMI;Consumer Discretionary;0.6%;VIX-20;1.8%;12:1;600 Billion;2.5 M;1 CHF:USD 0.9;AAA;1.2%;0.7%;78;Stable;
