;Country; Government Type; Head of State; GDP per Capita; Population Size; Cultural Influence; Military Strength; Diplomatic Ties; Alliances; Political Cooperation; IR Theory & Practice**
0; China; Communist State; Xi Jinping; $10,261; 1.41 billion; High; Strong; Multiple, including with Russia; Shanghai Cooperation Organization; Belt and Road Initiative; Realism
1;United States; Federal Presidential Constitutional Republic; Joe Biden; $68,309; 331 million; Very High; Extremely Strong; Multiple, including with NATO member states; The Quad; Liberalism;
2;Russia; Federal Semi-Presidential Semi-Parliamentary Constitutional Republic; Vladimir Putin; $11,714; 145 million; High; Strong; Multiple, including with China; Collective Security Treaty Organization; Neorealism;
3;Germany; Federal Parliamentary Republic; Frank-Walter Steinmeier; $54,822; 83 million; High; Strong; Member of EU and NATO; European Coal and Steel Community; Institutionalism;
4;France; Unitary Semi-Presidential Constitutional Republic; Emmanuel Macron; $40,124; 67 million; High; Strong; Member of EU and NATO; Francophonie; Constructivism;
5;United Kingdom; Unitary Parliamentary Constitutional Monarchy; Queen Elizabeth II; $42,590; 67 million; High; Strong; Member of NATO and the Commonwealth; Five Eyes; English School;
6;India; Federal Parliamentary Democratic Republic; Ram Nath Kovind; $2,173; 1.39 billion; High; Moderate; Member of BRICS and SCO; Act East Policy; Neoliberalism;
7;Japan; Unitary Parliamentary Constitutional Monarchy; Naruhito; $40,076; 126 million; High; Extremely Strong; Member of United Nations and G7; Security Diamond; Liberalism;
8;Italy; Unitary Parliamentary Republic; Sergio Mattarella; $33,593; 60 million; High; Moderate; Member of EU and NATO; Mediterranean Dialogue; Liberalism;
9;Canada; Federal Parliamentary Constitutional Monarchy; Mary Simon; $46,194; 38 million; High; Moderate; Member of NATO, G7, and the Commonwealth; North American Aerospace Defense Command; Liberalism</s>;
10; India; Federal Parliamentary Democratic Republic; Ram Nath Kovind; $2,173; 1,393 million; High; Moderate; Member of United Nations, BRICS, and SCO; Shanghai Cooperation Organization, Quadrilateral Security Dialogue; Realism;
11;Germany; Federal Parliamentary Republic; Frank-Walter Steinmeier; $53,222; 83 million; High; Extremely Strong; Member of European Union, NATO, and G7; European Union, NATO; Liberalism;
12;France; Unitary Semi-Presidential Constitutional Republic; Emmanuel Macron; $40,115; 67 million; High; Extremely Strong; Member of European Union, NATO, and G7; European Union, NATO, Francophonie; Liberalism;
13;United Kingdom; Unitary Parliamentary Constitutional Monarchy; Charles III; $42,432; 68 million; High; Extremely Strong; Member of European Union, NATO, and G7; Five Eyes, G7, G20; Liberalism;
14;Russia; Federal Semi-Presidential Semi-Parliamentary Constitutional Republic; Vladimir Putin; $12,856; 146 million; High; Extremely Strong; Member of Shanghai Cooperation Organization and BRICS; Collective Security Treaty Organization, Eurasian Economic Union; Realism;
15;China; Single-party Socialist State; Xi Jinping; $12,556; 1,444 million; High; Extremely Strong; Member of Shanghai Cooperation Organization and BRICS; Shanghai Cooperation Organization, Belt and Road Initiative; Realism;
16;Brazil; Federal Presidential Republic; Jair Bolsonaro; $8,924; 214 million; High; Moderate; Member of BRICS, Mercosur, and UNASUR; BRICS, IBSA Dialogue Forum; Realism;
17;Australia; Federal Parliamentary Constitutional Monarchy; Alexander Boris de Pfeffel Johnson; $55,956; 26 million; High; Moderate; Member of G20, OECD, APEC, and the Commonwealth; ANZUS, Five Eyes, AUKUS; Liberalism;
18;South Korea; Federal Presidential Republic; Moon Jae-in; $35,685; 52 million; High; Extremely Strong; Member of OECD, APEC, and G20; Security Diamond; Liberalism;
19;United States; Federal Presidential Constitutional Republic; Joseph R. Biden Jr; $65,991; 333 million; High; Extremely Strong; Member of United Nations, G7, G20, and NATO; NATO, G7, G20, and Quadrilateral Security Dialogue; Liberalism.</s>;
20; China; Socialist One-Party State; Xi Jinping; $16,777; 1,439 million; High; Extremely Strong; Member of BRICS, Shanghai Cooperation Organization, and WTO; Shanghai Cooperation Organization, Belt and Road Initiative; Realism;
21;Germany; Federal Parliamentary Republic; Frank-Walter Steinmeier; $53,223; 83 million; High; Strong; Member of EU, G7, G20, and NATO; NATO, EU, OSCE; Liberalism;
22;France; Unitary Semi-Presidential Constitutional Republic; Emmanuel Macron; $40,167; 67 million; High; Strong; Member of EU, G7, G20, and UNSC; NATO, EU, Francophonie; Liberalism;
23;Russia; Federal Semi-Presidential Republic; Vladimir Putin; $11,211; 146 million; High; Extremely Strong; Member of CIS, EAEU, and SCO; CSTO, Shanghai Cooperation Organization; Realism;
24;Japan; Unitary Parliamentary Constitutional Monarchy; Naruhito; $40,571; 126 million; High; Extremely Strong; Member of G7, G20, and APEC; Security Diamond, Japan-US Alliance; Liberalism;
25;United Kingdom; Unitary Parliamentary Constitutional Monarchy; Charles III; $43,637; 68 million; High; Strong; Member of G7, G20, and NATO; NATO, Five Eyes, Commonwealth; Liberalism;
26;Canada; Federal Parliamentary Constitutional Monarchy; Mary Simon; $44,367; 38 million; High; Strong; Member of G7, G20, and NATO; NATO, Five Eyes, Commonwealth; Liberalism;
27;Italy; Unitary Parliamentary Republic; Sergio Mattarella; $33,591; 60 million; High; Moderate; Member of EU, G7, G20, and NATO; NATO, EU; Liberalism;
28;India; Federal Parliamentary Democratic Republic; Ram Nath Kovind; $1,998; 1,399 million; High; Moderate; Member of BRICS, SCO, and WTO; Shanghai Cooperation Organization, Non-Aligned Movement; Realism;
29;Brazil; Federal Presidential Republican Republic; Jair Bolsonaro; $8,569; 214 million; High; Moderate; Member of BRICS, Mercosur, and G20; Southern Common Market; Realism;</s>
30; Russia; Federal Semi-Presidential Republic; Vladimir Putin; $11,163; 145 million; High; High; Member of BRICS, SCO, and EAEU; Shanghai Cooperation Organization, Collective Security Treaty Organization; Realism;
31;China; Socialist One-Party State; Xi Jinping; $16,771; 1,444 million; High; High; Member of BRICS, SCO, and APEC; Shanghai Cooperation Organization, None; Realism;
32;Germany; Federal Parliamentary Republic; Frank-Walter Steinmeier; $50,800; 83 million; High; Moderate; Member of EU, G7, G20, and NATO; NATO, EU; Liberalism;
33;United Kingdom; Unitary Parliamentary Constitutional Monarchy; Queen Elizabeth II; $42,558; 68 million; High; High; Member of G7, G20, and NATO; NATO, Five Eyes; Realism;
34;France; Unitary Semi-Presidential Republic; Emmanuel Macron; $40,124; 67 million; High; High; Member of EU, G7, G20, and NATO; NATO, Five Eyes; Liberalism;
35;Japan; Unitary Parliamentary Constitutional Monarchy; Naruhito; $39,290; 126 million; High; High; Member of G7 and G20; Asia-Pacific Economic Cooperation, Five Eyes (Partly); Realism;
36;United States; Federal Presidential Constitutional Republic; Joe Biden; $65,298; 333 million; High; Very High; Member of G7 and G20; NATO, Five Eyes; Realism;
37;Canada; Federal Parliamentary Constitutional Monarchy; Mary Simon; $46,195; 38 million; High; Moderate; Member of G7, G20, and NATO; NATO, Five Eyes; Liberalism;
38;Indonesia; Unitary Presidential Republic; Joko Widodo; $4,024; 276 million; High; Moderate; Member of G20; ASEAN; Realism;
39;Australia; Federal Parliamentary Constitutional Monarchy; Queen Elizabeth II (represented by Governor-General); $53,794; 25 million; High; High; Member of G20, Five Eyes, and ANZUS; Asia-Pacific Economic Cooperation; Liberalism;</s>
40; Brazil; Federal Presidential Republic; Jair Bolsonaro; $8,436; 214 million; High; Moderate; Member of BRICS and G20; Mercosur, Unasur, OAS; Constructivism;
41;Russia; Federal Semi-presidential Semi-parliamentary Constitutional Republic; Vladimir Putin; $11,314; 145 million; High; High; Member of Shanghai Cooperation Organization and BRICS; CSTO, CIS; Realism;
42;Turkey; Unitary Presidential Constitutional Republic; Recep Tayyip Erdoğan; $9,099; 83 million; High; High; Member of NATO and G20; Turkic Council, OIC; Neo-realism;
43;South Africa; Federal Parliamentary Democratic Republic; Cyril Ramaphosa; $5,374; 60 million; High; Moderate; Member of BRICS and G20; SADC, AU; Liberalism;
44;South Korea; Unitary Presidential Constitutional Republic; Moon Jae-in; $34,760; 52 million; High; High; Member of G20 and OECD; Sending State, MIKTA; Neo-liberalism;
45;Italy; Unitary Parliamentary Constitutional Republic; Sergio Mattarella; $31,820; 60 million; High; Moderate; Member of G7 and EU; NATO, OECD; Liberalism;
46;Mexico; Federal Presidential Representative Democratic Republic; Andrés Manuel López Obrador; $9,975; 132 million; High; Moderate; Member of G20 and OECD; APEC, Pacific Alliance; Realism;
47;Saudi Arabia; Unitary Absolute Monarchy; Salman of Saudi Arabia; $22,820; 35 million; High; High; Member of G20; Cooperation Council for the Arab States of the Gulf; Realism;
48;United States; Federal Presidential Constitutional Republic; Joe Biden; $65,298; 333 million; High; Highest; Member of G7, G20, and NATO; OAS, APEC; Neo-realism;
49;Spain; Unitary Parliamentary Constitutional Monarchy; King Felipe VI; $29,732; 47 million; High; Moderate; Member of EU, NATO, and OECD; Ibero-American Summit; Liberalism;</s>
50; Canada; Federal Parliamentary Constitutional Monarchy; Queen Elizabeth II, Governor General Mary Simon; $46,190; 38 million; High; Moderate; Member of G7, G20, and NATO; OAS, Five Eyes; Institutionalism;
