;BotanicalName;ScientificClassification;NativeOrIntroduced;OptimalSunlight;pHarDiNeSS;LeAFArRANGEmeNT;SoilTyPe;WateRIngNeEd;SuGaRSPrUNInGGTeChniQUE;PRoPErCoUlsCOde;CollecTIOnValuEs
0; Malus domestica;Rosaceae;Introduced;Partial Shade;pH 6.5-7.5; Alternate;Loamy;Medium;Remove dead and diseased wood in late winter;7A1;Edible fruit, ornamental, supports pollinators
1;Prunus avium;Rosaceae;Native;Full Sun;pH 6.0-6.5; Alternate;Well-drained, sandy loam;Medium-high;Thin out weak branches in late winter, remove suckers;7B5;Edible fruit, ornamental, supports pollinators
2;Helianthus annuus;Asteraceae;Introduced;Full Sun;pH 6.0-7.5; Alternate;Well-drained, sandy loam;High;Deadhead to encourage more blooms, cut back after flowering;8A1;Edible seeds, ornamental, supports pollinators
3;Rosa rugosa;Rosaceae;Introduced;Full Sun;pH 5.5-8.0; Climbing;Sandy soil, well-drained;Medium;Prune for shape in early spring, remove dead and diseased wood;7C1;Edible hips, ornamental, supports pollinators
4;Lycopersicon esculentum;Solanaceae;Introduced;Full Sun;pH 6.0-6.8; Indeterminate;Well-drained, sandy loam;High;Pinch back suckers, remove bottom leaves, prune for air circulation;8D4;Edible fruit, ornamental, supports pollinators
5;Dianthus caryophyllus;Caryophyllaceae;Introduced;Full Sun;pH 6.0-7.0; Alternate;Well-drained, sandy loam;Medium;Deadhead spent flowers to encourage more blooms, cut back after flowering;6E2;Edible flowers, ornamental
6;Citrus sinensis;Rutaceae;Introduced;Full Sun;pH 6.0-7.5; Evergreen;Well-drained, sandy loam;High;Prune for shape and fruit production, remove dead branches;10F2;Edible fruit, ornamental
7;Brassica oleracea;Brassicaceae;Introduced;Full Sun;pH 6.0-7.0; Alternate;Well-drained, sandy loam;Medium-high;Remove yellowing leaves, prune for air circulation;5G1;Edible leaves and stems, ornamental
8;Ipomoea nil;Convolvulaceae;Introduced;Full Sun;pH 5.0-6.5; Climbing;Well-drained, sandy loam;Medium;Prune for shape and air circulation, remove dead or dying foliage;9H5;Ornamental, supports pollinators
9;Hibiscus rosa-sinensis;Malvaceae;Introduced;Partial Shade;pH 5.5-7.5; Evergreen;Well-drained, sandy loam;Medium-high;Prune for shape and air circulation, remove dead or dying foliage;11J1;Ornamental, supports pollinators</s>
10; Malus domestica;Rosaceae;Introduced;Full Sun;pH 6.0-8.0; Deciduous;Well-drained, loamy;Medium-high;Prune for shape and air circulation, remove dead or dying foliage;2F2;Edible fruit, ornamental
11;Nicotiana alata;Solanaceae;Introduced;Partial Shade;pH 6.0-7.0; Tropical;Well-drained, sandy loam;Medium;Prune for shape and air circulation, remove dead or dying foliage;3G3;Ornamental, supports pollinators
