;time\_period; variable\_type; GDP; $ billion; industry\_code; country\_name; state\_abbreviation; population\_size; data\_source; sample\_description
0;" ""time\_period"; variable\_type; GDP; $ billion; industry\_code; country\_name; state\_abbreviation; population\_size; data\_source;" sample\_description"""
1;"""2020 Q3"; Nominal; 21400; 19.4; C; United States; CA; 39512223; World Bank;" Complete data set for US GDP"""
2;"""2020 Q3"; Nominal; 1712; 1.9; C; Canada; ON; 14870000; Statistics Canada;" Ontario Province's GDP data"""
3;"""2020 Q3"; Nominal; 5702; 5.1; C; China; SH; 24281000; National Bureau of Statistics of China;" Shanghai Municipality's GDP data"""
4;"""2020 Q3"; Nominal; 3341; 2.6; C; Japan; KN; 12634000; Cabinet Office, Government of Japan;" Kanagawa Prefecture's GDP data"""
5;"""2020 Q3"; Nominal; 2354; 2.4; C; Germany; NW; 17922000; Federal Statistical Office of Germany;" North Rhine-Westphalia's GDP data"""
6;"""2020 Q3"; Nominal; 1683; 2.6; C; United Kingdom; ENG; 56290000; Office for National Statistics;" England's GDP data"""
7;"""2020 Q3"; Nominal; 869; 1.5; C; France; IDF; 12405220; National Institute of Statistics and Economic Studies;" Ile-de-France Region's GDP data"""
8;"""2020 Q3"; Nominal; 2177; 2.5; C; Italy; LOM; 10083000; National Institute of Statistics;" Lombardy Region's GDP data"""
9;"""2020 Q3"; Nominal; 608; 2.9; C; Brazil; SP; 45741118; Brazilian Institute of Geography and Statistics;" Sao Paulo State's GDP data""</s>"
10;" ""2020 Q4"; Nominal; 901; 1.6; C; France; REN; 6507004; National Institute of Statistics and Economic Studies;" Rhone-Alpes Region's GDP data"""
11;"""2020 Q4"; Nominal; 2230; 2.6; C; Italy; LIG; 5836774; National Institute of Statistics;" Liguria Region's GDP data"""
12;"""2020 Q4"; Nominal; 632; 3.1; C; Brazil; MG; 20998079; Brazilian Institute of Geography and Statistics;" Minas Gerais State's GDP data"""
13;"""2021 Q1"; Nominal; 940; 1.7; C; France; PAC; 5171059; National Institute of Statistics and Economic Studies;" Provence-Alpes-Cote d'Azur Region's GDP data"""
14;"""2021 Q1"; Nominal; 2300; 2.7; C; Italy; VEN; 4748934; National Institute of Statistics;" Veneto Region's GDP data"""
15;"""2021 Q1"; Nominal; 660; 3.3; C; Brazil; RJ; 16966189; Brazilian Institute of Geography and Statistics;" Rio de Janeiro State's GDP data"""
16;"""2021 Q2"; Nominal; 980; 1.8; C; France; BFC; 2818279; National Institute of Statistics and Economic Studies;" Bourgogne-Franche-Comte Region's GDP data"""
17;"""2021 Q2"; Nominal; 2380; 2.8; C; Italy; TOS; 3846424; National Institute of Statistics;" Tuscany Region's GDP data"""
18;"""2021 Q2"; Nominal; 695; 3.5; C; Brazil; PR; 11373621; Brazilian Institute of Geography and Statistics;" Parana State's GDP data"""
19;"""2021 Q3"; Nominal; 1025; 1.9; C; France; NOR; 5995248; National Institute of Statistics and Economic Studies;" Normandy Region's GDP data""</s>"
20;" ""2021 Q3"; Nominal; 22500; 3.2; M; United States; CAL; 39512223; Bureau of Economic Analysis;" California State's GDP data"""
