;Programming Language; Data Structures; Algorithms; Complexity Analysis; Operating System; Memory Management; Networking; File Handling; Database; Math for CS
0; Java; Arrays, Linked Lists, Trees, Graphs; Searching, Sorting, Graph Traversal; Big O Notation; Linux; Virtual Memory, Page Replacement; TCP/IP; Reading/Writing Files; SQL, NoSQL; Probability, Combinatorics
1;Python; Tuples, Sets, Dictionaries; Hashing, Recursion, Dynamic Programming; Asymptotic Analysis; MacOS; Swapping, Segmentation; HTTP, FTP; Serializing/Deserializing; Relational, Document-based; Linear Algebra, Calculus
2;C++; Vectors, Stacks, Queues; Divide and Conquer, Greedy, Backtracking; Space-Time Tradeoff; Windows; Paging, Segmentation; DNS, SMTP; Binary I/O; Object-relational, Graph; Geometry, Trigonometry
3;Ruby; Hashes, Ranges, Strings; Memoization, Breadth-first Search, Depth-first Search; Computational Complexity; BSD; Spooling, Caching; BitTorrent, IMAP; Marshaling/Unmarshaling; Time-series, Key-value; Number Theory, Abstract Algebra
4;Swift; Optionals, Closures, Tuples; Bubble Sort, Quick Sort, Merge Sort; Master Theorem; iOS; Disk Scheduling, Memory Allocation; Bonjour, ICMP; Core Data, SQLite; Vector Calculus, Optimization;
5;Go; Slices, Maps, Structs; Dijkstra's, Bellman-Ford, Floyd-Warshall; Amortized Analysis; Plan 9; Deadlock, Starvation; SSH, SCP; JSON, XML; Redis, MongoDB; Discrete Mathematics, Set Theory
6;Javascript; Objects, Arrays, Functions; Priority Queues, Heaps, Deques; Recurrence Relations; Node.js; Swap Files, Page Swapping; Fetch API, XHR; Pickling, Unpickling; Mongoose, Sequelize; Combinations, Permutations
7;C#; Delegates, Events, Generics; Kruskal's, Prim's, Depth-first Search; Landau Notation; .NET; File System, Memory Mapped Files; SMTP, IMAP; XML, SOAP; Entity Framework, Dapper; Applied Mathematics, Cryptography
8;Rust; Ownership, Lifetimes, Iterators; Topological Sort, Longest Common Subsequence, Longest Increasing Subsequence; Logarithmic Complexity; Redox; Context Switching, Preemption; HTTP, SNMP; TOML, JSON; Diesel, SQLx; Information Theory, Coding Theory
9;Scala; Traits, Case Classes, Higher-order Functions; Branch and Bound, A\* Search, Monte Carlo Tree Search; Lambda Calculus; Akka; Garbage Collection, Virtual Memory; Avro, Protobuf; Play, Slick; Category Theory, Type Theory</s>;
10; Java; Interfaces, Enums, Generics; Dijkstra's, Bellman-Ford, Floyd-Warshall; Big O Notation; Linux; Virtual Memory, Page Replacement; TCP/IP, UDP; Properties, Serialization; Hibernate, MyBatis; Statistics, Combinatorics  Discrete Mathematics
11;Go; Structs, Interfaces, Goroutines; Delaunay Triangulation, Convex Hull, Line Intersection; Amortized Analysis; Fuchsia; Process Isolation, Isolated Heap; SOCKS, RPC; YAML, MessagePack; Gin, GORM; Graph Theory, Computational Geometry
12;Python; Decorators, Context Managers, Generators; Dynamic Programming, Greedy Algorithms, Backtracking; Time Complexity; BSD; Swap Space, Copy-on-Write; FTP, SFTP; Pickle, JSON; Flask, Django; Set Theory, Graph Theory
13;Javascript; Closures, Promises, Async/Await; Breadth-first Search, Depth-first Search, Dijkstra's; Space Complexity; Plan 9; Load Average, CPU Time Slices; WebSockets, WebRTC; NDJSON, CBOR; Express, Sequelize; Computational Complexity, Combinatorics
14;Kotlin; Extensions, Delegated Properties, Lambda Expressions; Binary Heap, Fibonacci Heap, Hopcroft-Karp Algorithm; Little O Notation; Android; Dalvik,ART; ICMP, IGMP; XML, Parcelable; Ktor, Room; Logic Programming, Computational Geometry
15;Swift; Optionals, Closures, Tuples; Knapsack Problem, Longest Path Problem, Network Flow; Master Theorem; macOS; Swap Files, Memory Compression; SMTP, IMAP, POP; Plist, JSON; Vapor, CoreData; Number Theory, Cryptography
16;Haskell; Typeclasses, Monads, Functors; Hamilton Cycle, Chinese Postman Problem, Minimum Spanning Tree; Akra-Bazzi Method; NixOS; Substitution, Garbage Collection; HTTP, WebSocket; TOML, JSON; Yesod, Persistent; Category Theory, Lambda Calculus
17;C++ ; Templates, Rvalue References, Lambdas; Travelling Salesman Problem, Linear Programming, Network Simplex; Empirical Analysis; Windows 10; Memory Pages, Memory-mapped I/O; Protocol Buffers, COM; Winsock, Boost.Asio; Graph Theory, Coding Theory;
18;Ruby; Modules, Procs, Blocks; Graph Coloring, Set Cover, Minimum Vertex Cover; Bachmann-Landau Notation; Red Hat Enterprise Linux; Memory Allocation, Page Faults; FTP, SSH; YAML Ain't Markup Language, MessagePack; Rack, ActiveRecord; Information Theory, Probability Theory
19;Erlang; Pattern Matching, Processes, Higher-order Functions; Fleury's Algorithm, Reversing Graphs, Articulation Points; Soft Real-Time Constraints; GenServer, ETS; DNS, SIP; Mnesia, Ecto; Concurrency Theory, Set Theory</s>;;
20; Go; Interfaces, Structs, Goroutines; Dijkstra's Algorithm, Bellman-Ford Algorithm; Go's Garbage Collector; Stack, Heap; TCP, UDP; JSON, XML; PostgreSQL, MySQL; Combinatorics, Calculus;
21;Java; Interfaces, Enums, Generics; Depth-First Search, Breadth-First Search; Java Virtual Machine; Stack, Queue; HTTP, SMTP; XML, JSON; MongoDB, Oracle; Discrete Mathematics, Linear Algebra;
22;Python; Decorators, Generators, List Comprehensions; Dynamic Programming, Greedy Algorithms; Reference Counting; Stack, Deque; ICMP, IGMP; Pickle, JSON; SQLite, SQLAlchemy; Graph Theory, Number Theory;
23;Scala; Traits, Case Classes, Higher-order Functions; Knapsack Problem, Shortest Path Faster Algorithm; Generational Garbage Collection; Process, Thread; AMQP, JMS; Slick, Cassandra; Probability, Abstract Algebra;;
24;Julia; Multiple Dispatch, Macros, Type System; Quicksort, Mergesort; Automatic Garbage Collection; Call Stack, Task Local Storage; DHCP, SNMP; JSON, MsgPack; DataFrames, SQLite; Probability, Topology;
25;Haskell; Typeclasses, Laziness, Monads; Longest Common Subsequence, Longest Increasing Subsequence; Haskell Runtime System; Continuation, Razor; SSH, IMAP; Aeson, CSV; Vector, Text; Lattices, Topology;
26;C#; Delegates, Events, Lambda Expressions; Prim's Minimum Spanning Tree, Floyd-Warshall Algorithm; .NET Memory Management; Managed Heap, Large Object Heap; SMB, RDP; XML Serialization, Newtonsoft; LINQ, Set Theory;;
27;Rust; Lifetimes, Traits, Zero-cost Abstractions; Bellman-Ford Algorithm, Pagerank; Ownership, Borrowing, Lifetimes; Stack, Heap; TCP, UDP; TOML, JSON; Diesel, SQLite; Combinatorics, Geometry;
28;Swift; Protocols, Extensions, Closures; Kruskal's Algorithm, Dinic's Algorithm; Swift Reference Counting; Stack, Queue; HTTP, HTTPS; Property Lists, JSON; Realm, PostgreSQL; Discrete Mathematics, Analysis;
29;Fortran; Modules, Procedures, Recursion; Biconnected Components, Cut Vertices; Fortran Memory Management; Stack, Queue; FTP, SFTP; HDF5, NetCDF; P netCDF, HDF5; Numerical Analysis, Computational Geometry</s>;
30; Go; Goroutines, Channels, Select; Depth-first Search, Breadth-first Search; Garbage Collection; Mutex, WaitGroup; TCP, UDP; JSON, Protocol Buffers; PostgreSQL, MySQL; Combinatorics, Probability;
31;Scala; Traits, Case Classes, Higher-Order Functions; Min-max Algorithm, A* Search; Scala Memory Management; Stack, Queue; HTTP, Websocket; XML, JSON; MongoDB, Cassandra; Linear Algebra, Discrete Mathematics;
32;Haskell; Typeclasses, Monads, Lazy Evaluation; Dijkstra's Algorithm, Bellman-Ford Algorithm; Haskell Memory Management; Software Transactional Memory; TCP, UDP; YAML, JSON; PostgreSQL, Redis; Category Theory, Graph Theory;
33;Erlang; Processes, Messages, Selective Receive; Depth-first Search, Breadth-first Search; Erlang Memory Management; Garbage Collection; TCP, UDP; JSON, MessagePack; Mnesia, CouchDB; Combinatorics, Probability;
34;Kotlin; Extensions, Higher-Order Functions, Lambda Expressions; Topological Sort, Kosaraju's Algorithm; Kotlin Memory Management; Stack, Queue; HTTP, WebSockets; XML, JSON; MongoDB, Cassandra; Set Theory, Number Theory;
35;Perl; Packages, Modules, References; Longest Common Subsequence, Needleman-Wunsch Algorithm; Perl Memory Management; Stack, Heap; TCP, UDP; JSON, YAML; DBI, SQLite; Combinatorics, Graph Theory;
36;Julia; Multiple Dispatch, Types, Macros; Strassen's Algorithm, Coppersmith-Winograd Algorithm; Julia Memory Management; Garbage Collection; Mutex, Semaphore; TCP, UDP; JSON, Protocol Buffers; MongoDB, SQLite; Linear Algebra, Differential Equations
37;Lua; Modules, Coroutines, Metatables; Floyd-Warshall Algorithm, Dijkstra's Algorithm; Lua Memory Management; Stack, Register; TCP, UDP; JSON, MessagePack; LuaSQL, SQLite; Combinatorics, Graph Theory;
38;Groovy; Closures, Expandos, Categories; Huffman Coding Algorithm, Run-Length Encoding; Groovy Memory Management; Stack, Queue; HTTP, Websocket; XML, JSON; MongoDB, Cassandra; Propositional Logic, Predicate Logic;
39;Dart; Isolates, Channels, Futures; Floyd-Warshall Algorithm, Dijkstra's Algorithm; Dart Memory Management; Stack, Heap; TCP, UDP; JSON, Protocol Buffers; MongoDB, SQLite; Probability, Combinatorics</s>;
40; Rust; Enum, Struct, Traits; Knapsack Problem, Shortest Path; Rust Memory Management; Stack, Heap; TCP, UDP; serde, Bincode; PostgreSQL, SQLite; Computational Geometry, Number Theory;
41;Swift; Closures, Protocols, Extensions; Minimum Spanning Tree, Bellman-Ford Algorithm; Swift Memory Management; Stack, Queue; HTTP, Websocket; XML, Plist; Realm, Firebase; Graph Theory, Topology;
42;Go; Structs, Interfaces, Goroutines; Travelling Salesman Problem, Longest Common Subsequence; Go Memory Management; Stack, Heap; TCP, UDP; Protobuf, JSON; MongoDB, BoltDB; Abstract Algebra, Number Theory;
43;Haskell; Typeclasses, Monads, Lists; Optimal Binary Search Tree, Optimal Merge Pattern; Haskell Memory Management; Stack, Lazy Evaluation; TCP, UDP; Aeson, Binary; Redis, Yesod; Propositional Logic, Set Theory;
44;Dylan; Multimethods, Generics, Macros; Linear Programming, Network Flow; Dylan Memory Management; Stack, Register; HTTP, Websocket; XML, Binary; CouchDB, PosgreSQL; Game Theory, Combinatorics;
45;Erland/OTP; Actor Model, Pattern Matching, Higher-Order Functions; Primality Testing, Greatest Common Divisor; Erlang Memory Management; Stack, Heap; TCP, UDP; MessagePack, JSON; Mnesia, CouchDB; Propositional Logic, Predicate Logic;
