;Title; Artist(s); Genre; Release Date; Language; Label; Format; Playtime; Producer(s); Album; Publisher
0;" ""Bohemian Rhapsody"""; Queen; Rock; 1975-10-31; English; EMI Records; Vinyl, Cassette, CD; 5:55; Roy Thomas Baker; A Night at the Opera; Hollywood Records
1;"""Imagine"""; John Lennon; Pop; 1971-09-08; English; Apple Records; Vinyl, Cassette, CD; 3:03; Phil Spector; Imagine; Capitol Records
2;"""Hotel California"""; Eagles; Rock; 1976-12-08; English; Asylum Records; Vinyl, Cassette, CD; 6:30; Bill Szymczyk; Hotel California; Elektra Records
3;"""Stairway to Heaven"""; Led Zeppelin; Rock; Not Officially Released; English; Atlantic Records; Not Applicable; 8:02; Jimmy Page; Led Zeppelin IV; Atlantic Records
4;"""Like a Rolling Stone"""; Bob Dylan; Folk Rock; 1965-07-20; English; Columbia Records; Vinyl, Cassette, CD; 6:13; Tom Wilson; Highway 61 Revisited; Columbia Records
5;"""My Way"""; Frank Sinatra; Pop; 1969-03-11; English; Reprise Records; Vinyl, Cassette, CD; 4:35; Don Costa; Album of the Year; Warner Records
6;"""Smells Like Teen Spirit"""; Nirvana; Grunge; 1991-09-10; English; DGC Records; Vinyl, Cassette, CD; 5:02; Butch Vig; Nevermind; Geffen Records
7;"""Billie Jean"""; Michael Jackson; Pop; 1982-11-30; English; Epic Records; Vinyl, Cassette, CD; 4:54; Quincy Jones; Thriller; Epic Records
8;"""Comfortably Numb"""; Pink Floyd; Rock; 1979-11-30; English; Harvest Records; Vinyl, Cassette, CD; 7:26; David Gilmour; The Wall; Columbia Records
9;"""Ticket to Ride"""; The Beatles; Rock; 1965-04-09; English; Parlophone; Vinyl, Cassette, CD; 3:10; George Martin; Help!; Capitol Records</s>
10;"""Stairway to Heaven"""; Led Zeppelin; Rock; 1971-11-08; English; Atlantic Records; Vinyl, Cassette, CD; 8:03; Jimmy Page; Led Zeppelin IV; Atlantic Records
11;"""Imagine"""; John Lennon; Pop; 1971-09-09; English; Apple Records; Vinyl, Cassette, CD; 3:03; Phil Spector; Imagine; Apple Records
12;"""Hotel California"""; The Eagles; Rock; 1976-12-08; English; Asylum Records; Vinyl, Cassette, CD; 6:32; Bill Szymczyk; Hotel California; Elektra Records
13;"""Hey Jude"""; The Beatles; Pop; 1968-08-30; English; Apple Records; Vinyl, Cassette, CD; 7:11; George Martin; Hey Jude; Apple Records
14;"""Smells Like Teen Spirit"""; Nirvana; Grunge; 1991-09-10; English; DGC Records; Vinyl, Cassette, CD; 5:01; Butch Vig; Nevermind; DGC Records
15;"""Back in Black"""; AC/DC; Hard Rock; 1980-07-25; English; Atlantic Records; Vinyl, Cassette, CD; 4:14;" Robert John ""Mutt"" Lange"; Back in Black; Atlantic Records
16;"""Sweet Child o' Mine"""; Guns N' Roses; Hard Rock; 1988-06-15; English; Geffen Records; Vinyl, Cassette, CD; 5:56; Mike Clink; Appetite for Destruction; Geffen Records
17;"""Satisfaction"""; The Rolling Stones; Rock; 1965-06-16; English; Decca Records; Vinyl, Cassette, CD; 3:45; Andy Johns; (Greatest Hits); ABKCO Records
18;"""Light My Fire"""; The Doors; Rock; 1967-04-28; English; Elektra Records; Vinyl, Cassette, CD; 7:06; Paul Rothchild; The Doors; Elektra Records</s>
19;" ""Bohemian Rhapsody"""; Queen; Rock Opera; 1975-10-31; English; EMI Records; Vinyl, Cassette, CD; 5:55; Roy Thomas Baker; A Night at the Opera; Parlophone
20;"""Imagine"""; John Lennon; Soft Rock; 1971-09-08; English; Apple Records; Vinyl, Cassette, CD; 3:03; Phil Spector; Imagine; Apple Records
21;"""Stairway to Heaven"""; Led Zeppelin; Hard Rock; 1971-11-08; English; Atlantic Records; Vinyl, Cassette, CD; 8:02; Jimmy Page; Led Zeppelin IV; Atlantic Records
22;"""Hotel California"""; The Eagles; Rock; 1976-12-08; English; Asylum Records; Vinyl, Cassette, CD; 6:30; Bill Szymczyk; Hotel California; Asylum Records
23;"""My Way"""; Frank Sinatra; Easy Listening; 1969-03-11; English; Reprise Records; Vinyl, Cassette, CD; 4:35; Don Costa; Sinatra & Strings; Reprise Records
24;"""Like a Rolling Stone"""; Bob Dylan; Folk Rock; 1965-07-20; English; Columbia Records; Vinyl, Cassette, CD; 6:11; Tom Wilson; Highway 61 Revisited; Columbia Records
25;"""Hey Jude"""; The Beatles; Rock; 1968-08-30; English; Apple Records; Vinyl, Cassette, CD; 7:11; George Martin; Hey Jude; Apple Records
26;"""Comfortably Numb"""; Pink Floyd; Progressive Rock; 1979-03-30; English; Harvest Records; Vinyl, Cassette, CD; 7:26; David Gilmour; The Wall; Columbia Records
27;"""Song 2"""; Blur; Britpop; 1997-03-10; English; Food Records; Vinyl, Cassette, CD; 2:02; Stephen Street; Blur; Food Records</s>
28;" ""Stairway to Heaven"""; Led Zeppelin; Hard Rock; 1971-11-08; English; Atlantic Records; Vinyl, Cassette, CD; 8:02; Jimmy Page; Led Zeppelin IV; Atlantic Records
29;"""Imagine"""; John Lennon; Pop Rock; 1971-09-08; English; Apple Records; Vinyl, Cassette, CD; 3:03; Phil Spector; Imagine; Apple Records
30;"""Hotel California"""; Eagles; Rock; 1976-12-08; English; Asylum Records; Vinyl, Cassette, CD; 6:30; Bill Szymczyk; Hotel California; Asylum Records
