;Clothing Item; Size; Color; Material; Brand; Price; Season; Occasion; Style; Availability; Store; Purchase Date; Return Policy
0;  Little Black Dress; S; Black; Silk; Chanel; $3000; Fall; Cocktail Party; Classic; In Stock; Saks Fifth Avenue; 10/10/2021; 14 Days
1; Denim Jacket; M; Blue; Cotton; Levi's; $120; Spring; Casual; Vintage; In Store; Urban Outfitters; 04/15/2021; 30 Days
2; White Blouse; XS; White; Linen; Zara; $60; Summer; Business; Minimalist; Online; Zara; 07/22/2021; 60 Days
3; Leather Pants; L; Brown; Leather; Gucci; $2500; Winter; Night Out; Luxury; In Store; Gucci; 12/01/2021; 14 Days
4; Wool Coat; L; Camel; Wool; Max Mara; $1200; Winter; Formal; Tailored; Online; Max Mara; 11/15/2021; 30 Days
5; Silk Scarf; S; Red; Silk; Hermes; $400; Fall; Casual; Luxury; In Store; Hermes; 09/05/2021; 14 Days
6; Tweed Skirt; M; Pink; Tweed; Chanel; $1500; Fall; Business; Classic; Online; Chanel; 10/05/2021; 14 Days
7; Bomber Jacket; L; Green; Nylon; Supreme; $350; Spring; Casual; Streetwear; In Store; Supreme; 04/25/2021; 30 Days
8; Cashmere Sweater; XL; Grey; Cashmere; Loro Piana; $1500; Winter; Casual; Luxury; Online; Loro Piana; 12/10/2021; 60 Days
9; Floral Dress; S; Multi-color; Silk; Oscar de la Renta; $2500; Spring; Wedding; Romantic; In Store; Oscar de la Renta; 05/01/2021; 14 Days</s>
10;  Leather Pants; M; Black; Leather; Gucci; $2000; Fall; Casual; Luxury; Online; Gucci; 10/15/2021; 30 Days 
11; Denim Jacket; S; Blue; Denim; Levi's; $100; Spring; Casual; Classic; In Store; Levi's; 04/10/2021; 60 Days 
12; Silk Blouse; L; White; Silk; Ralph Lauren; $500; Spring; Business; Classic; Online; Ralph Lauren; 04/20/2021; 14 Days 
13; Wool Coat; XL; Camel; Wool; Celine; $3000; Winter; Business; Classic; In Store; Celine; 11/01/2021; 60 Days 
14; Turtleneck Sweater; M; Red; Wool; Prada; $800; Winter; Casual; Luxury; Online; Prada; 12/20/2021; 30 Days 
15; Biker Jacket; L; Black; Leather; Balmain; $2500; Fall; Casual; Streetwear; In Store; Balmain; 10/05/2021; 14 Days 
16; Linen Shirt; S; Blue; Linen; Zegna; $400; Summer; Casual; Classic; Online; Zegna; 06/15/2021; 60 Days 
17; Trousers; XL; Grey; Wool; Brunello Cucinelli; $1200; Winter; Business; Classic; In Store; Brunello Cucinelli; 12/28/2021; 30 Days 
18; Silk Scarf; One-size; Multi-color; Silk; Hermes; $600; Fall; Accessory; Luxury; Online; Hermes; 10/30/2021; 14 Days 
19; Silk Tie; One-size; Blue; Silk; Ermenegildo Zegna; $300; Spring; Accessory; Classic; In Store; Ermenegildo Zegna; 04/18/2021; 60 Days.</s>
20;  Leather Jacket; L; Black; Leather; Gucci; $3500; Winter; Outerwear; Biker; In Store; Gucci; 01/05/2022; 14 Days 
21; Wool Coat; XL; Camel; Wool; Max Mara; $2000; Winter; Outerwear; Classic; Online; Max Mara; 12/15/2021; 30 Days 
22; Cashmere Sweater; M; Red; Cashmere; Prada; $1500; Fall; Casual; Luxury; In Store; Prada; 10/01/2021; 14 Days 
23; Denim Jeans; 32; Blue; Denim; Dolce & Gabbana; $600; Spring; Casual; Distressed; Online; Dolce & Gabbana; 03/25/2021; 60 Days 
24; Linen Shirt; L; White; Linen; Ralph Lauren; $350; Summer; Casual; Classic; In Store; Ralph Lauren; 07/04/2021; 30 Days 
25; Silk Dress; S; Pink; Silk; Valentino; $2500; Spring; Formal; Luxury; Online; Valentino; 05/09/2021; 14 Days 
26; Wool Suit; 40R; Navy; Wool; Canali; $2800; Winter; Business; Classic; In Store; Canali; 01/12/2022; 30 Days 
27; Leather Skirt; 34; Brown; Leather; Bottega Veneta; $1800; Fall; Business; Classic; Online; Bottega Veneta; 11/15/2021; 60 Days 
28; Silk Blouse; M; Floral; Silk; Oscar de la Renta; $1200; Summer; Accessory; Luxury; In Store; Oscar de la Renta; 08/10/2021; 14 Days 
29; Wool Hat; One-size; Grey; Wool; Loro Piana; $400; Winter; Accessory; Classic; In Store; Loro Piana; 01/20/2022; 30 Days.</s>
30;  Cotton Dress; S; Red; Cotton; Zara; $80; Spring; Casual; Trendy; Online; Zara; 04/12/2021; 14 Days 
31; Denim Jacket; M; Blue; Denim; Levi's; $150; Fall; Casual; Classic; In Store; Levi's; 10/02/2021; 30 Days 
