;Primary Habitat; Habitat Characteristics; Climate; Geology; Soil Composition; Hydrology; Biotic Factors; Species Diversity; Human Impact; Conservation Status; Management Strategies
0; Primary Habitat; Habitat Characteristics; Climate; Geology; Soil Composition; Hydrology; Biotic Factors; Species Diversity; Human Impact; Conservation Status; Management Strategies
1;Tropical Rainforest; Multi-layered canopy, abundant epiphytes; Hot, wet, year-round rainfall; Sedimentary or volcanic, often nutrient-poor; Humus-rich, high organic matter; Many streams and rivers, high rainfall; Diverse plant and animal life; High species diversity; Deforestation, habitat fragmentation; Threatened, deforestation continues; Protected areas, sustainable logging practices
2;Temperate Deciduous Forest; Deciduous trees, seasonal leaf change; Four seasons, moderate rainfall; Varied, can be sedimentary or metamorphic; Loamy, well-draining; Seasonal streams, snowmelt in spring; Temperate plant and animal life; Moderate to high diversity; Logging, urban development; Some threat, but less than rainforests; Sustainable forestry, habitat restoration
3;Mediterranean Shrubland; Evergreen shrubs, drought-tolerant plants; Mild, wet winters, hot, dry summers; Limestone or sandstone, often nutrient-poor; Rocky, shallow soils, low organic matter; Few permanent water sources, periodic droughts; Specialized plant and animal life; Moderate diversity; Overgrazing, agriculture, wildfires; Threatened, degradation ongoing; Controlled grazing, fire management, reintroduction of native species
4;Desert; Sparse vegetation, hardy plants adapted to drought; Hot days, cold nights, low rainfall; Sandy or rocky, minimal soil development; Little organic matter, high mineral content; Impermanent rivers, occasional flash floods; Limited plant and animal life; Low diversity; Grazing, human development, climate change; Threatened, degradation ongoing; Protected areas, habitat restoration
5;Tundra; Low shrubs, mosses, lichens; Cold, short growing season, permafrost present; Generally flat, can be rocky or gravelly; Poorly draining, low organic matter; Little precipitation, mostly snow; Limited plant and animal life; Low diversity; Resource extraction, climate change; Threatened, degradation ongoing; Protected areas, climate change mitigation
6;Mountain Biome; Alpine meadows, coniferous forests; Cool, wet, snowy; Rocky, steep slopes, often volcanic; Mineral-rich, low organic matter; Melting snow and glaciers; Specialized plant and animal life; Moderate diversity; Logging, ski resorts, climate change; Threatened, degradation ongoing; Protected areas, habitat restoration
7;Temperate Grassland; Tall or short grasses, forbs; Hot summers, cold winters, moderate rainfall; Loamy or clay soils, often alkaline; Deep, fertile soils; Seasonal water sources, periodic droughts; Grassland-adapted plant and animal life; Moderate diversity; Agriculture, overgrazing; Threatened, degradation ongoing; Reforestation restrictions, habitat restoration
8;Tropical Dry Forest; Deciduous trees, drought-tolerant plants; Dry, warm climate, seasonal rainfall; Can be sedimentary or limestone-based; Poorly draining, low organic matter; Seasonal rivers and streams; Diverse plant and animal life; Moderate diversity; Deforestation, agriculture, charcoal production; Threatened, degradation ongoing; Agroforestry, habitat restoration
9;Mangrove Forest; Halophytic trees, salt-tolerant plants; Tropical or subtropical, flood-tolerant; Coastal tidal areas, muddy, anaerobic soils; Organic-rich mud, high salt content; Tidal waterways, brackish; Specialized plant and animal life; Moderate diversity; Shrimp farming, coastal development; Threatened, degradation ongoing; Protection of coastal zones, replanting programs
10;Coral Reef; Symbiotic corals, diverse marine life; Warm ocean waters, high salinity; Limestone base, calcium carbonate skeletons; Porous, high surface area; Clear, shallow water; Vibrant marine life; High diversity; Bleaching, destructive fishing; Threatened, degradation ongoing; Protected marine areas, sustainable fishing practices</s>
11; Temperate Rainforest; Evergreen trees, mosses, ferns; Cool, wet climate, heavy rainfall; Nutrient-rich volcanic soil; Deep, well-drained, high organic matter; Intermittent streams; Diverse plant and animal life; High diversity; Logging, agriculture; Endangered, fragmentation ongoing; Selective logging, habitat restoration
12;Alpine Meadow; Herbaceous plants, grasses; Cool, windy climate, short growing season; Rocky, nutrient-poor soil; Thin, low organic matter; Snowmelt-fed streams; Specialised plant and animal life; Moderate diversity; Grazing, climate change; Vulnerable, habitat loss ongoing; Controlled grazing, erosion prevention
13;Boreal Forest; Coniferous trees, lichens; Cold, snowy climate, long winters; Poorly draining, nutrient-poor soil; Shallow, acidic; Slow-moving rivers; Limited plant and animal life; Moderate diversity; Timber harvesting, oil and gas development; Stable, some degradation; Sustainable forestry, wildlife conservation
14;Tropical Montane Forest; Broadleaf trees, epiphytes; Cool, wet climate, frequent fog; Volcanic, nutrient-rich soil; Well-drained, humus-rich; Fast-flowing rivers; Rich biodiversity; High diversity; Deforestation, agriculture; Vulnerable, habitat loss ongoing; Reforestation, agroforestry practices
15;Temperate Grassland; Grasses, forbs; Continental climate, variable rainfall; Deep, nutrient-poor soil; Calcareous or loamy; Ephemeral streams; Moderate plant and animal diversity; Moderate diversity; Agriculture, woody plant encroachment; Stable, some degradation; Rotational grazing, habitat restoration
16; Mediterranean Forest; Evergreen trees, shrubs, drought-tolerant plants; Dry summers, wet winters; Shallow, rocky limestone-based soil; Low organic matter, carbonate-rich; Seasonal streams; Diverse plant and animal life; Moderate diversity; Forest fires, urbanization; Vulnerable, habitat loss ongoing; Prescribed burning, habitat restoration
17;Arctic Tundra; Low shrubs, mosses, lichens; Extreme cold, permafrost, short growing season; Poorly draining, nutrient-poor soil; Organic-rich, low in mineral content; Slow-moving rivers; Limited plant and animal diversity; Low diversity; Climate change, resource extraction; Stable, some degradation; Carbon sequestration, sustainable development
18;Desert; Succulents, cacti, drought-tolerant plants; Arid climate, low rainfall; Shallow, rocky, calcium carbonate-rich soil; Low organic matter, saline; Ephemeral rivers, washes; Moderate plant and animal diversity; Moderate diversity; Grazing, invasive species; Stable, some degradation; Invasive species control, habitat restoration
19;Mangrove Swamp; Mangrove trees, salt-tolerant plants; Tropical or subtropical, flood-tolerant; Organic-rich peat, high salt content; Poorly draining, anaerobic; Tidal waterways, brackish; Specialised plant and animal life; Moderate diversity; Drainage, pollution; Threatened, degradation ongoing; Wastewater treatment, protection of coastal zones
20;Temperate Freshwater Wetland; Emergent vegetation, sedges, grasses; Cool, temperate climate; Organic-rich soils, high nutrient content; Saturated, poorly drained; Slow-moving or still water; Diverse plant and animal life; High diversity; Drainage, development; Vulnerable, habitat loss ongoing; Wetland conservation, restoration projects</s>
21; Tropical Rainforest; Tall trees, epiphytes, lianas; Warm, high rainfall; Nutrient-poor soils, high organic matter; Acidic, well-drained; Permanent rivers, streams; High plant and animal diversity; Very high diversity; Logging, agriculture; Threatened, deforestation ongoing; Sustainable forestry, habitat restoration
22;Alpine Tundra; Low shrubs, grasses, mosses; Cold, windy, low precipitation; Permafrost, thin active layer; Mineral-rich, poor water retention; Intermittent streams, snowmelt; Low plant and animal diversity; Low diversity; Grazing, climate change; Stable, fragile; Livestock management, climate adaptation strategies
