;SiteName; SiteType; Period; Location; Discoverer; DiscoveryYear; ArtifactsCount; ArtifactType1; ArtifactType2; ArtifactType3; ArtifactDescription; PreservationStatus; Researcher1; Researcher2; ResearchBudget
0;" ""Pompeii""";"""City""";"""Ancient Rome""";"""Near Naples, Italy""";"""Rocque Joaquin de Alcubierre""";1748;"""Tens of thousands""";"""Frescoes""";"""Mosaics""";"""Statues""";"""Preserved under volcanic ash, depicting ancient Roman life.""";"""Stable, ongoing excavation and preservation.""";"""Massimo Osanna""";"""Paolo Caputo""";"""€105 million"" "
1;"""Tutankhamun's Tomb""";"""Tomb""";"""New Kingdom Egypt""";"""Luxor, Egypt""";"""Howard Carter""";1922;"""Over 5,000""";"""Golden funeral mask""";"""Ornate furniture""";"""Jewelry""";"""Intact tomb filled with artifacts revealing the life of the young pharaoh.""";"""Stable preservation, artifacts tour the world.""";"""David Silverman""";"""Christian Eckmann""";"""$6 million"" "
2;"""Machu Picchu""";"""Inca Citadel""";"""Late-period Inca""";"""Cusco Region, Peru""";"""Hiram Bingham""";1911;""" Thousands""";"""Temple structures""";"""Agricultural terraces""";"""Stone buildings""";"""Well-preserved remains of an Inca city, perched on a mountain ridge.""";"""Ongoing research and conservation.""";"""Gary Ziegler""";"""Michael Moseley""";"""$12 million"" "
3;"""Troy""";"""Ancient city""";"""Bronze Age""";"""Near Çanakkale, Turkey""";"""Heinrich Schliemann""";1870;"""Hundreds""";"""Pottery""";"""Copper weapons""";"""Cylinder seals""";"""Partial remains of the legendary city of Troy, discovered through Homer's epics.""";"""Stable preservation, ongoing excavation.""";"""Frances Patterson""";"""Trudie Lagasse""";"""$3.5 million"" "
4;"""Terra Cotta Army""";"""Tomb artifacts""";"""Qin Dynasty""";"""Xi'an, China""";"""Yang Zhifa, Wang Puzhi""";1974;""" Thousands""";"""Terracotta soldiers""";"""Horses""";"""Chariots""";"""Over 8,000 terracotta figures, depicting an army that guarded the first Emperor of China.""";"""Stable, excavated and open for visitation.""";"""Yuan Zhongyi""";"""Li Xi""";"""$10 million"" "
5;"""Pompeii""";"""Villa""";"""Ancient Rome""";"""Near Naples, Italy""";"""Villa of the Papyri owner unknown"""; Around 79 AD;"""Hundreds""";"""Frescoes""";"""Statues""";"""Mosaics""";"""Ancient Roman villa, excavated from volcanic ash, housing a library and rare artifacts.""";"""Ongoing conservation.""";"""Valeria Amoretti""";"""Marcello Mogetta""";"""$15 million"" "
6;"""Palenque""";"""Maya City""";"""Classic Period Maya""";"""Chiapas, Mexico""";"""Teobert Maler""";1897-1924;"""Hundreds""";"""Temple structures""";"""Stelae""";"""Hieroglyphic texts""";"""Partially excavated Maya city with numerous inscriptions shedding light on the Maya civilization.""";"""Ongoing excavation and research.""";"""Merle Greene Robertson""";"""David Stuart""";"""$5 million"" "
7;"""Göbekli Tepe""";"""Temple""";"""Pre-Pottery Neolithic""";"""Şanlıurfa, Turkey""";"""Klaus Schmidt""";1994;"""""None""""";"""T-shaped limestone pillars""";"""Anthropomorphic symbols""";"""Stone walls""";"""Discovered temple complex predating Stonehenge by thousands of years.""";"""Continued excavation and interpretation.""";"""Lee Clare""";"""Naoíse Mac Sweeney""";"""$8 million"" "
8;"""Sutton Hoo""";"""Anglo-Saxon ship burial""";"""Early Medieval""";"""Suffolk, England""";"""Basil Brown""";1939;"""Over 200""";"""Helmet""";"""Swords""";"""Jewelry""";""" intact ship burial, revealing details about Anglo-Saxon England.""";"""Stable preservation, ongoing research.""";"""Martin Carver""";"""Carenza Lewis""";"""$4 million"" "
9;"""Pompeii""";"""Theater""";"""Ancient Rome""";"""Near Naples, Italy""";"""Dionysius of Halicarnassus""";70 BC;"""None""";"""Amphitheater""";""" Statues""";"""Frescoes""";"""Well-preserved Roman theater, seating 20,000.""";"""Ongoing conservation.""";"""Golden Marchesi""";"""Gregory Elder""";"""$18 million"" </s>"
10;" ""Troy""";"""Mycenaean city""";"""Bronze Age""";"""Near Çanakkale, Turkey""";"""Heinrich Schliemann""";1870;"""Thousands""";"""Pottery""";"""Jewelry""";"""Weapons""";"""Famous archaeological site linked to the Trojan War.""";"""Partially excavated, ongoing research.""";"""Carolyn Yerkes""";"""Eric Cline""";"""$20 million"""
11;"""Machu Picchu""";"""Inca city""";"""Late Middle Horizon""";"""Peru""";"""Hiram Bingham""";1911;"""Hundreds""";"""Terraces""";"""Temples""";"""Palaces""";"""Inca civilization's most famous urban creation.""";"""UNESCO World Heritage Site.""";"""Richard Burger""";"""Lucy Salazar""";"""$12 million"""
12;"""Petra""";"""Caravan-city""";"""Nabataean Kingdom""";"""Jordan""";"""Swiss traveler Johann Ludwig Burckhardt""";1812;"""Numerous""";"""Tombs""";"""Temples""";"""Theaters""";"""Ancient city carved into red stone.""";"""Partially excavated, ongoing research.""";"""Mathias Pinsker""";"""Zbigniew Trelinsky""";"""$15 million"""
13;"""Palmyra""";"""Caravan-city""";"""Classical Antiquity""";"""Syria""";"""Robert Wood""";1751;"""Hundreds""";"""Temples""";"""Tombs""";"""Columnar structures""";"""Well-preserved ruins of an ancient city.""";"""Partially restored, ongoing archaeological work.""";"""Maamoun Abdulkarim""";"""Kenneth D. Gluck""";"""$25 million"""
14;"""Great Zimbabwe""";"""Medieval city""";"""Late Iron Age""";"""Zimbabwe""";"""Portuguese explorers""";1500s;"""Thousands""";"""Soapstone Birds""";"""Stone walls""";"""Gold artifacts""";"""One of Africa's most iconic archaeological destinations.""";"""Preservation efforts, partial excavation.""";"""David Wengrow""";"""Shadreck Chirikure""";"""$10 million"""
15;"""Bagan""";"""City of temples""";"""Ancient Bagan period""";"""Myanmar""";"""Local chronicles""";800s;"""Tens of thousands""";"""Pagodas""";"""Temples""";"""Monasteries""";"""Thousands of Buddhist monuments.""";"""Restoration projects.""";"""Alicia Spooner""";"""Thibault Salignot""";"""$30 million"""
16;"""Easter Island""";"""Ceremonial village""";"""Ancient Moai period""";"""Chile""";"""Thor Heyerdahl""";1950s;"""Hundreds""";"""Moai Statues""";"""Houses""";"""Ahu platforms""";"""Famous monumental sculptures.""";"""Preservation, site management.""";"""Jo Anne Van Tilburg""";"""Cristián Arellano""";"""$14 million"""
17;"""Angkor Wat""";"""Temple complex""";"""Angkor period""";"""Cambodia""";"""Indian scholars""";12th century;"""Thousands""";"""Temples""";"""Ponds""";"""Bas-reliefs""";"""World's largest religious monument.""";"""Restoration projects.""";"""Roland Fletcher""";"""Danièle De Lannoy""";"""$35 million"""
18;"""Catalhöyük""";"""Anatolian settlement""";"""Neolithic revolution""";"""Konya, Turkey""";"""James Mellaart""";1958;"""Hundreds""";"""Figurines""";"""Pottery""";"""Burials""";"""One of the world's oldest settlements.""";"""Preservation, ongoing excavation.""";"""Ian Hodder""";"""Aimée Mazzullo""";"""$16 million"""
19;"""Teotihuacan""";"""Pre-Aztec city""";"""Early Classic period""";"""Mexico""";"""Leon de Cessac""";1884;"""Thousands""";"""Temples""";"""Palaces""";"""Pyramids""";"""Well-known ancient city.""";"""Preservation, excavation.""";"""George Cowgill""";"""Evelyn Rattray""";"""$22 million""</s>"
20;" ""Göbekli Tepe""";"""Hunting and gathering camp""";"""Pre-Pottery Neolithic""";"""Şanlıurfa, Turkey""";"""Klaus Schmidt""";1994;"""Dozens""";"""T-shaped pillars""";"""Animal sculptures""";"""Limestone slabs""";"""Oldest known monumental structures.""";"""Preservation, excavation.""";"""Lee Clare""";"""Catriona Gibson""";"""$20 million"""
21;"""Pompeii""";"""Roman city""";"""1st century""";"""Near Naples, Italy""";"""Rocque Joaquin de Alcubierre""";1748;"""Tens of thousands""";"""Frescoes""";"""Mosaics""";"""Everyday objects""";"""Ancient city preserved under ash.""";"""Preservation, excavation.""";"""Massimo Osanna""";"""Paola Pelagalli""";"""$55 million"""
22;"""Machu Picchu""";"""Inca city""";"""Late horizon period""";"""Cusco, Peru""";"""Hiram Bingham""";1911;"""Hundreds""";"""Temples""";"""Palaces""";"""Terraces""";"""Inca's 'Lost City' in the Andes.""";"""Preservation, excavation.""";"""Richard Burger""";"""Lucy Salazar""";"""$50 million"""
23;"""Stonehenge""";"""Neolithic monument""";"""Late Neolithic to Early Bronze Age""";"""Wiltshire, England""";"""William Hawley""";1919;"""Hundreds""";"""Bluestones""";"""Sarsen stones""";"""Earthworks""";"""Famous stone circle in England.""";"""Preservation, research.""";"""Mike Pitts""";"""Sarah Ward""";"""$30 million"""
24;"""Petra""";"""Nabatean city""";"""Hellenistic to Roman period""";"""Jordan""";"""Johann Ludwig Burckhardt""";1812;"""Thousands""";"""Tombs""";"""Temples""";"""Monuments""";"""Rock-cut architecture in the desert.""";"""Preservation, excavation.""";"""David Kennedy""";"""Martha Sharp Joukowsky""";"""$70 million"""
25;"""Palmyra""";"""Ancient city""";"""Classical period""";"""Homs, Syria""";"""Robert Wood""";1753;"""Thousands""";"""Temples""";"""Towers""";"""Tombs""";"""Ancient city in the Syrian desert.""";"""Preservation, excavation.""";"""Kenneth D. Sracic""";"""Maamoun Abdulkarim""";"""$52 million"""
26;"""Bagan""";"""Theravada Buddhist complex""";"""11th to 13th centuries""";"""Mandalay, Myanmar""";"""Than Shwe""";1990;"""Thousands""";"""Temples""";"""Stupas""";"""Monasteries""";"""Thousands of Buddhist structures.""";"""Preservation, excavation.""";"""Thant Myint-U""";"""Sun Oo""";"""$65 million"""
27;"""Tiwanaku""";"""Pre-Columbian city""";"""500 to 1100 AD""";"""La Paz, Bolivia""";"""Max Uhle""";1900;"""Hundreds""";"""Temples""";"""Monuments""";"""Statues""";"""Ancient city in the Andes.""";"""Preservation, excavation.""";"""John W. Janusek""";"""Elvira Espejo""";"""$40 million"""
28;"""Mesa Verde""";"""Ancient Pueblo village""";"""Anasazi period""";"""Colorado, USA""";"""Gustaf Nordenskiöld""";1891;"""Hundreds""";"""Cliff dwellings""";"""Kivas""";"""Artifacts""";"""Ancestral Puebloan structures.""";"""Preservation, excavation.""";"""Mark Varien""";"""Sarah Herr""";"""$34 million"""
29;"""Easter Island""";"""Polynesian settlement""";"""13th to 17th centuries""";"""Chile""";"""Thor Heyerdahl""";1955;"""Hundreds""";"""Statues""";"""Temples""";"""Houses""";"""Famous stone statues in the Pacific.""";"""Preservation, excavation.""";"""Jo Anne Van Tilburg""";"""Cristián Arellano""";"""$60 million""</s>"
30;" ""Pompeii""";"""Roman city""";"""8th century BC to 79 AD""";"""Near Naples, Italy""";"""Rochester Bridge Trust""";1748;"""Thousands""";"""Houses""";"""Temples""";"""Public buildings""";"""Ancient Roman city preserved under volcanic ash.""";"""Preservation, excavation.""";"""Pierre Gros""";"""Massimo Osanna""";"""$120 million"""
31;"""Machu Picchu""";"""Inca city""";"""1450 to 1540 AD""";"""Cuzco, Peru""";"""Hiram Bingham""";1911;"""Thousands""";"""Temples""";"""Houses""";"""Terraces""";"""Inca citadel in the Andes.""";"""Preservation, excavation.""";"""Richard Burger""";"""Lucy Salazar""";"""$55 million"""
32;"""Petra""";"""Nabatean city""";"""5th century BC to 2nd century AD""";"""Jordan""";"""Swiss explorer Johann Ludwig Burckhardt""";1812;"""Thousands""";"""Temples""";"""Tombs""";"""Houses""";"""Ancient city carved into red sandstone cliffs.""";"""Preservation, excavation.""";"""Ziad al-Saad""";"""Morten Ramstad""";"""$90 million"""
33;"""Troy""";"""Ancient city""";"""3000 to 500 BC""";"""Turkey""";"""Heinrich Schliemann""";1870;"""Thousands""";"""Houses""";"""Temples""";"""Walls and towers""";"""Famous city from Greek mythology.""";"""Preservation, excavation.""";"""Brian Rose""";"""Francis Joannes""";"""$75 million"""
34;"""Angkor Wat""";"""Temple complex""";"""12th century""";"""Siem Reap, Cambodia""";"""French naturalist and diplomat Henri Mouhot""";1860;"""Thousands""";"""Temples""";"""Ponds""";"""Libraries""";"""Largest religious monument in the world.""";"""Preservation, excavation.""";"""Charles Higham""";"""Michael Coe""";"""$140 million"""
35;"""Jerusalem""";"""Religious city""";"""3000 BC to present""";"""Israel/Palestine""";"""David Ben-Gurion""";1948;"""Tens of thousands""";"""Temples""";"""Tombs""";"""Houses""";"""One of the oldest cities in the world.""";"""Preservation, excavation.""";"""Doron Ben-Ami""";"""Katharina Galor""";"""$200 million"""
36;"""Palmyra""";"""Ancient city""";"""2000 BC to 16th century AD""";"""Syria""";"""British traveler Robert Wood""";1753;"""Thousands""";"""Temples""";"""Tombs""";"""Columns""";"""Ancient city known as the Bride of the Desert.""";"""Preservation, excavation.""";"""Kenneth Dixon""";"""Maamoun Abdulkarim""";"""$100 million"""
37;"""Teotihuacan""";"""Ancient city""";"""100 BC to 600 AD""";"""Mexico City, Mexico""";"""Leopoldo Batres""";1884;"""Tens of thousands""";"""Houses""";"""Temples""";"""Pyramids""";"""Ancient Mesoamerican city.""";"""Preservation, excavation.""";"""René Frutos""";"""David Carballo""";"""$150 million"""
38;"""Bagan""";"""Buddhist city""";"""9th to 13th centuries""";"""Burma""";"""Captain Gustav Ferdinand Karl Albert Hanson""";1826;"""Thousands""";"""Temples""";"""Stupas""";"""Monasteries""";"""Ancient city with thousands of Buddhist structures.""";"""Preservation, excavation.""";"""Than Htun""";"""Michael Aung-Thwin""";"""$180 million"""
39;"""Memphis""";"""Egyptian city""";"""3000 BC to 1400 AD""";"""Egypt""";"""Giovanni Belzoni""";1819;"""Thousands""";"""Temples""";"""Tombs""";"""Palaces""";"""Ancient capital of Egypt.""";"""Preservation, excavation.""";"""Arielle Kozloff""";"""David O'Connor""";"""$220 million""</s>"
40;" ""Palenque""";"""Maya city""";"""600 AD to 800 AD""";"""Chiapas, Mexico""";"""Captain Andrew Morrison""";1773;"""Hundreds""";"""Temples""";"""Tombs""";"""Palaces""";"""Ancient Maya city.""";"""Preservation, excavation.""";"""Merle Greene Robertson""";"""Silvia Giorgi""";"""$200 million"""
41;"""Petra""";"""Nabataean city""";"""4th century BC to 2nd century AD""";"""Jordan""";"""Johann Ludwig Burckhardt""";1812;"""Thousands""";"""Temples""";"""Tombs""";"""Caves""";"""Ancient city carved into rock.""";"""Preservation, excavation.""";"""William Jobling""";"""Sarah Parcak""";"""$250 million"""
42;"""Machu Picchu""";"""Inca city""";"""1450 AD to 1572 AD""";"""Cusco, Peru""";"""Hiram Bingham""";1911;"""Hundreds""";"""Temples""";"""Houses""";"""Terraces""";"""Ancient Inca city in the Andes.""";"""Preservation, excavation.""";"""Paul Lindsay""";"""John Alan Santos""";"""$300 million"""
43;"""Angkor Wat""";"""Hindu temple""";"""12th century AD""";"""Siem Reap, Cambodia""";"""Henri Mouhot""";1860;"""Thousands""";"""Temples""";"""Ponds""";"""Libraries""";"""Ancient temple complex.""";"""Preservation, excavation.""";"""Michel Tranet""";"""Ea Sar""";"""$350 million"""
44;"""Pompeii""";"""Roman city""";"""8th century BC to 15th century AD""";"""Near Naples, Italy""";"""Rocque Joaquin de Alcubierre""";1748;"""Tens of thousands""";"""Houses""";"""Temples""";"""Artifacts of daily life.""";"""Preservation, excavation.""";"""Piero Giovanni Guzzo""";"""Massimo Osanna""";"""$400 million""";
45;"""Troy""";"""Ancient city""";"""3000 BC to 500 AD""";"""Turkey""";"""Heinrich Schliemann""";1870;"""Thousands""";"""Temples""";"""Houses""";"""City walls""";"""Ancient city with historical significance.""";"""Preservation, excavation.""";"""Brian Rose""";"""Craig Melchert""";"""$450 million"""
46;"""Carthage""";"""Phoenician city""";"""814 BC to 146 BC""";"""Tunisia""";"""Francis I of France""";1535;"""Thousands""";"""Temples""";"""Tombs""";"""Houses""";"""Ancient city with historical significance.""";"""Preservation, excavation.""";"""Nancy Hackett""";"""Jon Cousins""";"""$500 million"""
47;"""Jerusalem""";"""Religious city""";"""3000 BC to present""";"""Israel""";"""Godfrey de Bouillon""";1099;"""Tens of thousands""";"""Temples""";"""Tombs""";"""City walls""";"""Ancient city with religious significance.""";"""Preservation, excavation.""";"""Doron Chen""";"""Yonatan Adler""";"""$550 million"""
48;"""Athens""";"""Ancient city""";"""900 BC to 1832 AD""";"""Greece""";"""Lord Elgin""";1801;"""Thousands""";"""Temples""";"""Theater""";"""Artifacts of daily life""";"""Ancient city with historical significance.""";"""Preservation, excavation.""";"""John Camp""";"""Chrysanthi Gallou""";"""$600 million"""
49;"""Cairo""";"""Egyptian city""";"""10th century AD to present""";"""Egypt""";"""French invasion""";1798;"""Tens of thousands""";"""Mosques""";"""Palaces""";"""Houses""";"""Ancient city with historical significance.""";"""Preservation, excavation.""";"""Zahi Hawass""";"""Tarek Tawfik""";"""$650 million""</s>"
50;" ""Machu Picchu""";"""Inca city""";"""1450 to 1540 AD""";"""Peru""";"""Hiram Bingham""";1911;"""Thousands""";"""Temples""";"""Houses""";"""Terraces""";"""Ancient Inca city in the Andes.""";"""Preservation, excavation.""";"""Mariana Mould de Pease""";"""Luisa Mauro""";"""$700 million"""
51;"""Petra""";"""Caravan-city""";"""5th century BC to 7th century AD""";"""Jordan""";"""Swiss explorer Johann Ludwig Burckhardt""";1812;"""Thousands""";"""Temples""";"""Tombs""";"""Houses""";"""Ancient city carved into red rock.""";"""Preservation, excavation.""";"""Brian Byrd""";"""Peter Garnsey""";"""$750 million"""
52;"""Pompeii""";"""Roman city""";"""8th century BC to 79 AD""";"""Italy""";"""Rocque Joaquin de Alcubierre""";1748;"""Tens of thousands""";"""Houses""";"""Temples""";"""Public buildings""";"""Ancient Roman city preserved under volcanic ash.""";"""Preservation, excavation.""";"""Paola Baratta""";"""Massimo Osanna""";"""$800 million"""
53;"""Teotihuacan""";"""Ancient city""";"""200 BC to 7th century AD""";"""Mexico""";"""Leon de Cardenas""";1884;"""Hundreds of thousands""";"""Temples""";"""Palaces""";"""Pyrimids""";"""Ancient Mesoamerican city.""";"""Preservation, excavation.""";"""Ofelia treviño Leon""";"""Sara Ladrön de Guevara""";"""$850 million"""
54;"""Tikal""";"""Mayan city""";"""6th century BC to 9th century AD""";"""Guatemala""";"""Modesto Méndez""";1848;"""Tens of thousands""";"""Temples""";"""Palaces""";"""Stelae""";"""Ancient Mayan city.""";"""Preservation, excavation.""";"""Oswaldo Gómez""";"""Olivia Navarrete""";"""$900 million"""
55;"""Ur""";"""Sumerian city""";"""4th millennium BC to 3rd century BC""";"""Iraq""";"""Sir Leonard Woolley""";1922;"""Thousands""";"""Ziggurat""";"""Palaces""";"""Temples""";"""Ancient Sumerian city.""";"""Preservation, excavation.""";"""Harriet Crawford""";"""Agnete Wisti Lassen""";"""$950 million"""
56;"""Palmyra""";"""Ancient city""";"""2nd millennium BC to 17th century AD""";"""Syria""";"""Robert Wood""";1751;"""Thousands""";"""Temples""";"""Houses""";"""Tombs""";"""Ancient city between Syria and Iraq.""";"""Preservation, excavation.""";"""Kenneth Anderson""";"""Maamoun Abdulkarim""";"""$1 billion"""
