;Rock Type; Mineral Composition; Age (Million Years); Formation Location; Stratigraphic Position; Subsurface Conditions; Hydrological Properties; Mechanical Properties; Weathering Grade; Fossil Content; Depositional Environment
0;  Igneous; Feldspar, Quartz, Mica; 250; Oceanic Ridges; Intrusive; Hot, Solidified; Poor; Brittle, Strong; Low; None; Volcanic
1; Sedimentary; Calcite, Quartz, Clay; 120; River Delta; Upper; Porous, Water-Saturated; Permeable; Soft, Weak; Moderate; Fossil Impressions, Shells; Shallow Marine
2; Metamorphic; Garnet, Mica, Feldspar; 350; Subduction Zone; Near Surface; Dense, Foliated; Impermeable; Sturdy, Fracturable; Moderate; Mineral Veins; High-Pressure, High-Temperature
3; Sedimentary; Limestone, Dolomite, Quartz; 540; Platform Carbonate; Middle; Vugs, Fissures; Slightly Permeable; Moderately Hard, Easily Crushed; High; Fossil Corals, Brachiopods; Tropical Shelf
4; Igneous; Pyroxene, Olivine, Plagioclase; 1000; Mid-Ocean Ridges; Extrusive; Cooled Lava; Impermeable; Hard, Fragile; Low; None; Underwater, Hydrothermal Vents
5; Metamorphic; Biotite, Muscovite, Hornblende; 420; Collision Zone; Deep; Schistose, Well-Layered; Low Permeability; High Strength, Prone to Cleavage; Low; Foliated Plant Fossils; Mountain Belts
6; Sedimentary; Shale, Quartz, Clay; 400; Basin, Deep Marine; Bottom; Tightly Packed, Low Porosity; Low Permeability; Soft, Friable; Low; Trace Fossils, Burrows; Deep Ocean
7; Igneous; Gabbro, Pyroxene, Plagioclase; 1100; Oceanic Crust; Intrusive; Coarse-Grained, Rare Vugs; Low Permeability; Strong, Rigid; Low; Basalt Fragments; Slow Cooling, Ocean Floor
8; Metamorphic; Staurolite, Quartz, Muscovite; 480; Continental Crust; High-Pressure; Gneissose, Banded; Impermeable; Extremely Hard, Brittle; Low; Distorted Fossils; Roots of Mountain Chains
9; Sedimentary; Conglomerate, Quartz, Feldspar; 65; Alluvial Fan; Base; Interlocked, Large Pores; Permeable; Hard, Abrasive; Low; Pebble, Cobble, Boulder; Rapid Deposition, Near Shore</s>
10;  Sedimentary; Shale, Clay, Silt; 200; Delta; Top; Laminated, Tiny Pores; Low Permeability; Soft, Friable; Low; Trace Fossils; Calm, Deep Water
11; Igneous; Granite, Quartz, Feldspar; 1200; Continental Crust; Intrusive; Phaneritic, Jointed; Low Permeability; Strong, Rigid; Low; Rare Fossils; Slow Cooling, Magma Chamber
12; Metamorphic; Gneiss, Quartz, Biotite; 630; Mountain Belt; High-Pressure; Banded, Coarse-Grained; Impermeable; Hard, Brittle; Low; Distorted Fossils; Subduction Zone
13; Sedimentary; Coal, Organic Matter; 320; Swamp; Top; Layered, Poorly Consolidated; Low Permeability; Weak, Friable; High; Plant Debris; Stagnant, Low-Oxygen
14; Igneous; Basalt, Pyroxene, Olivine; 20; Oceanic Crust; Extrusive; Fine-Grained, Aphantic; High Permeability; Strong, Rigid; Low; Volcanic Rock Fragments; Rapid Cooling, Ocean Floor
15; Metamorphic; Schist, Mica, Quartz; 400; Mountain Belt; Medium-Pressure; Foliated, Medium-Grained; Low Permeability; Moderately Hard, Brittle; Low; Distorted Fossils; Metamorphic Event
16; Sedimentary; Limestone, Calcite, Dolomite; 240; Shallow Marine; Middle; Massive, Fossiliferous; Moderate Permeability; Moderately Hard, Soluble; High; Abundant Fossils; Calcium Carbonate Precipitation
17; Igneous; Andesite, Plagioclase, Pyroxene; 60; Island Arc; Intrusive; Phaneritic, Jointed; Low Permeability; Strong, Rigid; Low; Rare Fossils; Volcanic Arc Formation
18; Metamorphic; Marble, Calcite, Dolomite; 500; Mountain Belt; High-Temperature; Massive, Recrystallized; Low Permeability; Hard, Brittle; Low; Distorted Fossils; Contact Metamorphism
19; Sedimentary; Sandstone, Quartz, Feldspar; 350; Desert; Base; Cross-Bedded, Moderate-Size Pores; Permeable; Hard, Abrasive; Low; Sand Grains; Eolian Deposition</s>
20;  Igneous; Basalt, Pyroxene, Olivine; 120; Ocean Floor; Extrusive; Aphantic, Fine-Grained; Very Low Permeability; Strong, Rigid; Low; No Fossils; Mid-Ocean Ridge
21; Metamorphic; Schist, Mica, Quartz; 400; Mountain Belt; High-Pressure; Foliated, Medium-Grained; Low Permeability; Weak, Brittle; Low; Distorted Fossils; Regional Metamorphism
22; Sedimentary; Shale, Clay, Silt; 400; River Delta; Top; Laminated, Tightly Packed; Low Permeability; Soft, Easily Eroded; Low; Fossil Fragments; Fresh Water Swamp
23; Igneous; Gabbro, Pyroxene, Plagioclase; 100; Ocean Floor; Intrusive; Phaneritic, Coarse-Grained; Low Permeability; Strong, Rigid; Low; Rare Fossils; Diking
24; Metamorphic; Gneiss, Quartz, Feldspar; 600; Mountain Belt; High-Grade; Banded, Coarse-Grained; Low Permeability; Strong, Brittle; Low; Distorted Fossils; Multiple Metamorphic Events
25; Sedimentary; Coal, Plant Debris; 300; Swamp; Top; Layered, Dense; Low Permeability; Soft, Fragile; Low; Fossil Plants; Peat Swamp
26; Igneous; Diorite, Plagioclase, Hornblende; 150; Island Arc; Intrusive; Phaneritic, Medium-Grained; Low Permeability; Strong, Rigid; Low; Rare Fossils; Island Arc Formation
27; Metamorphic; Slate, Mica, Quartz; 450; Mountain Belt; Low-Grade; Foliated, Fine-Grained; Low Permeability; Weak, Brittle; Low; Distorted Fossils; Slaty Cleavage
28; Sedimentary; Limestone, Calcite, Aragonite; 250; Shelf; Top; Layered, Contains Fossils; Moderate Permeability; Soft, Soluble; Low; Abundant Fossils; Marine Carbonate Deposition
29; Igneous; Peridotite, Olivine, Pyroxene; 2000; Ocean Floor; Deep-Seated; Massive, Ultramafic; Extremely Low Permeability; Strong, Rigid; Low; No Fossils; Upper Mantle Rocks</s>
30;  Igneous; Granite, Quartz, Feldspar; 1200; Continental Crust; Deep-Seated; Phaneritic, Coarse-Grained; Low Permeability; Strong, Rigid; Low; No Fossils; Intrusive Plutonic Rocks
31; Sedimentary; Shale, Clay, Quartz; 300; Delta; Bottom; Laminated, Contains Fossils; Low Permeability; Soft, Friable; Low; Abundant Fossils; Deltaic Depositional Environment
32; Metamorphic; Schist, Mica, Quartz; 500; Mountain Belt; Medium-Grade; Foliated, Medium-Grained; Low Permeability; Moderately Weak, Brittle; Low; Distorted Fossils; Schistosity
33; Sedimentary; Sandstone, Quartz, Feldspar; 400; Beach; Top; Well-Sort, Cross-Bedded; Moderate Permeability; Hard, Durable; Low; Few Fossils; Aeolian, Fluvial Depositional Environment
34; Igneous; Basalt, Pyroxene, Plagioclase; 100; Oceanic Crust; Deep-Seated; Phaneritic, Medium-Grained; Low Permeability; Strong, Rigid; Low; No Fossils; Intrusive Plutonic Rocks
35; Metamorphic; Gneiss, Quartz, Feldspar; 800; Mountain Belt; High-Grade; Layered, Coarse-Grained; Low Permeability; Strong, Brittle; Low; Rare Distorted Fossils; Gneissosity
36; Sedimentary; Coal, Carbon; 350; Swamp; Top; Layered, Contains Plant Fossils; Very Low Permeability; Weak, Friable; Low; Abundant Plant Fossils; Peat Depositional Environment
37; Igneous; Gabbro, Pyroxene, Plagioclase; 1500; Oceanic Crust; Deep-Seated; Phaneritic, Coarse-Grained; Low Permeability; Strong, Rigid; Low; No Fossils; Intrusive Plutonic Rocks
38; Sedimentary; Conglomerate, Rounded Clasts; 600; River; Top; Clast-Supported, Poorly-Sort; High Permeability; Strong, Durable; Low; Few Fossils; Fluvial Depositional Environment
39; Metamorphic; Marble, Calcite, Dolomite; 500; Mountain Belt; High-Grade; Recrystallized, Coarse-Grained; Low Permeability; Weak, Brittle; Low; Distorted Fossils; Marble Bedding Planes</s>
40; Igneous; Granite, Quartz, Feldspar; 1200; Continental Crust; Deep-Seated; Phaneritic, Coarse-Grained; Low Permeability; Strong, Rigid; Low; No Fossils; Intrusive Plutonic Rocks
41; Sedimentary; Shale, Silt, Clay; 400; Ocean; Bottom; Laminated, Silt-Sized Particles; Low Permeability; Weak, Flexible; High; Abundant Fossils; Deep Marine Depositional Environment
42; Metamorphic; Schist, Mica, Quartz, Feldspar; 450; Subduction Zone; Medium-Grade; Foliated, Medium-Grained; Low Permeability; Moderately Strong, Brittle; Low; Deformed Fossils; Schistosity
43; Igneous; Basalt, Pyroxene, Plagioclase; 100; Oceanic Crust; Deep-Seated; Aphantic, Fine-Grained; Moderate Permeability; Strong, Rigid; Low; No Fossils; Extrusive Volcanic Rocks
44; Sedimentary; Sandstone, Quartz, Feldspar; 350; Coastal Environment; Top; Well-Sort, Moderate-Sized Particles; High Permeability; Strong, Durable; Low; Few Fossils; Beach Depositional Environment
45; Metamorphic; Gneiss, Quartz, Feldspar, Mica; 650; Mountain Belt; High-Grade; Banded, Coarse-Grained; Low Permeability; Strong, Brittle; Low; Distorted Fossils; Gneissic Layering
