;SociologicalTheory; ResearchDesign; DataCollectionMethod; SampleSize; Population; SamplingStrategy; DataAnalysisPlan; Findings; Conclusion; ResearchEthics; Limitations; Contributions; Replicability; FutureResearch; References
0;  SymbolicInteractionism; Surveys and Interviews; Purposive Sampling; N=25; College Students; Snowball Sampling; Coding and Theme Analysis; Found varying interpretations of reality; Highlights subjective nature of social interactions; Ensured confidentiality; Limited generalizability; Provided nuanced insights; Awaiting replication studies; Suggests further exploration of subcultures; Smith, 2020
1; ConflictTheory; Longitudinal Study; Random Sampling; N=1000; National Workforce; Simple Random Sampling; Quantitative Data Analysis; Widening income gap; Calls for policy change; Obtained informed consent; Limited to measurable variables; Revealed structural issues; Invites re-analysis with intersectionality; Johnson and Lee, 2018;
2; Functionalism; Cross-Sectional Study; Stratified Sampling; N=500; Urban High School Students; Proportional Stratified Sampling; Statistical Analysis; Importance of education; Proposes system adjustments; Ensured anonymity; Limited by snapshot view; Contributed understanding of social systems; Encourages multimethod studies; Davis, 2021;
3; FeministTheory; Case Study; Convenience Sampling; N=20; Domestic Abuse Survivors; Convenience Sampling; Thematic Analysis; Effects of patriarchy; Suggests policy reform; Maintained confidentiality; Limited transferability; Revealed personal narratives; Invites comparative studies; Miller, 2017;
4; RationalChoiceTheory; Experiment; Systematic Sampling; N=100; Online Gamers; Systematic Sampling; Hypothesis Testing; Game strategy preferences; Calls for ethical game design; Obtained informed consent; Limited by online access; Contributed to game theory; Encourages real-world application; Taylor and Green, 2020;
5; CriticalRaceTheory; Delphi Study; Quota Sampling; N=30; Academics of Color; Quota Sampling; Content Analysis; Systemic racism in academia; Proposes reform; Ensured anonymity; Limited by self-selection; Revealed power dynamics; Advocates for participatory research; Washington and Jackson, 2019;
6; Marxism; Action Research; Snowball Sampling; N=35; Low-Wage Workers; Snowball Sampling; Phenomenological Analysis; Workers' exploitation; Suggests unionization; Ensured solidarity; Limited by size; Contributed to labor rights; Encourages longitudinal studies; Moore and Thompson, 2018;
7; Postmodernism; Narrative Inquiry; Purposive Sampling; N=15; Art Curators; Purposive Sampling; Narrative Analysis; Construction of reality; Highlights subjectivity; Maintained authenticity; Limited by subjectivity; Contributed to cultural studies; Recommends mixed methods; Brown and Jones, 2016;
8; WeberianTheory; Longitudinal Study; Random Sampling; N=1500; Tech Industry Employees; Simple Random Sampling; Regression Analysis; Impact of bureaucracy; Proposes reform; Obtained informed consent; Limited by attrition; Contributed to organizational theory; Encourages intersectional analysis; Kim and Patel, 2021;
9; StructurationTheory; Grounded Theory; Theoretical Sampling; N=50; Entrepreneurs; Theoretical Sampling; Open Coding; Role of agency; Suggests training programs; Ensured trust; Limited by recursive sampling; Contributed to organizational behavior; Advocates for continuous data collection; Wilson and Lee, 2017</s>;
10;  ConflictTheory; Case Study; Snowball Sampling; N=20; Low-Income Tenants; Snowball Sampling; Content Analysis; Rent Control Measures; Advocates for policy change; Ensured confidentiality; Limited by volunteer bias; Contributed to housing studies; Encourages qualitative research; Taylor and Smith, 2018;
11; SymbolicInteractionism; Phenomenological Study; Convenience Sampling; N=10; College Students; Convenience Sampling; Thematic Analysis; Experience of stress; Provides insight; Lacked representativeness; Limited by self-report; Contributed to mental health studies; Advocates for mixed methods; Johnson and Williams, 2019;
12; FeministTheory; DeliberativePolling; Stratified Sampling; N=500; Working Women; Stratified Sampling; Discourse Analysis; Gender pay gap; Proposes equal pay; Obtained informed consent; Limited by complexity; Contributed to gender studies; Encourages participatory research; Lee and Patel, 2019;
13; RationalChoiceTheory; Survey Research; Simple Random Sampling; N=2000; City Residents; Simple Random Sampling; Descriptive Statistics; Crime Rates; Suggests prevention; Obtained informed consent; Limited by response bias; Contributed to criminology; Advocates for more surveys; Kim and Lee, 2021;
14; SocialConstructionism; Focus Group; Purposive Sampling; N=15; Teachers; Purposive Sampling; Thematic Analysis; Education Policies; Highlights context; Maintained authenticity; Limited by group dynamics; Contributed to education studies; Recommends mixed methods; Wilson and Taylor, 2018;
15; CriticalRaceTheory; Narrative Inquiry; Snowball Sampling; N=20; Minority Lawyers; Snowball Sampling; Narrative Analysis; Experiences of discrimination; Highlights subjectivity; Maintained authenticity; Limited by volunteer bias; Contributed to discrimination studies; Recommends mixed methods; Johnson and Lee, 2018;
16; Functionalism; Longitudinal Study; Random Sampling; N=1000; Hospital Patients; Simple Random Sampling; Regression Analysis; Effects of medical social support; Proposes new initiatives; Obtained informed consent; Limited by attrition; Contributed to healthcare studies; Encourages intersectional analysis; Brown and Taylor, 2019;
17; Marxism; Cross-Sectional Study; Systematic Sampling; N=600; Manufacturing Workers; Systematic Sampling; Descriptive Statistics; Class Dynamics; Advocates for change; Obtained informed consent; Limited by selection bias; Contributed to labor studies; Advocates for continuous data collection; Kim and Smith, 2019;
18; SymbolicInteractionism; Case Study; Convenience Sampling; N=12; Social Media Influencers; Convenience Sampling; Content Analysis; Role of identity; Provides insight; Lacked representativeness; Limited by self-report; Contributed to media studies; Encourages participatory research; Williams and Wilson, 2020;
19; StructurationTheory; Survey Research; Stratified Sampling; N=800; Remote Workers; Stratified Sampling; Descriptive Statistics; Work-Life Balance; Suggests changes; Obtained informed consent; Limited by self-report; Contributed to organizational behavior; Advocates for mixed methods; Johnson and Patel, 2020.</s>;
20;  Functionalism; Longitudinal Study; Snowball Sampling; N=50; School Teachers; Snowball Sampling; Correlation Analysis; Educational System; Highlights strengths; Obtained informed consent; Limited by sample size; Contributed to education studies; Advocates for larger samples; Davis and Fowler, 2019;
21; ConflictTheory; Cross-Sectional Study; Simple Random Sampling; N=300; College Students; Simple Random Sampling; Descriptive Statistics; Socioeconomic Status; Recommends interventions; Obtained informed consent; Limited by generalizability; Contributed to social stratification; Encourages multi-method approach; Thompson and Green, 2020;
22; SymbolicInteractionism; Longitudinal Study; Quota Sampling; N=75; Professional Athletes; Quota Sampling; Qualitative Analysis; Identity Processes; Suggests support systems; Obtained informed consent; Limited by self-selection; Contributed to sport psychology; Advocates for triangulation; Brown and Adams, 2019;
23; FeministTheory; Cross-Sectional Study; Purposive Sampling; N=100; Women Entrepreneurs; Purposive Sampling; Thematic Analysis; Gender Discrimination; Advocates for policy changes; Obtained informed consent; Limited by potential bias; Contributed to gender studies; Encourages intersectional research; Smith and Taylor, 2020;
24; RationalChoiceTheory; Survey Research; Stratified Random Sampling; N=900; Online Shoppers; Stratified Random Sampling; Inferential Statistics; Consumer Behavior; Recommends improvements; Obtained informed consent; Limited by low response rate; Contributed to consumer research; Advocates for follow-up surveys; Davis and Thompson, 2019;
25; Postmodernism; Case Study; Convenience Sampling; N=15; Art Galleries; Convenience Sampling; Content Analysis; Aesthetic Responses; Lacks generalizability; Obtained informed consent; Limited by self-report; Contributed to cultural studies; Encourages ethnographic research; Green and Davis, 2020;
26; SocialConstructivism; Survey Research; Systematic Sampling; N=200; Parents; Systematic Sampling; Descriptive Statistics; Parenting Practices; Suggests community engagement; Obtained informed consent; Limited by sampling bias; Contributed to family studies; Advocates for multiple perspectives; Johnson and Lee, 2019;
27; CriticalTheory; Cross-Sectional Study; Simple Random Sampling; N=400; Low-Income Families; Simple Random Sampling; Correlation Analysis; Poverty, Crime, and Education; Advocates for social change; Obtained informed consent; Limited by self-report; Contributed to social justice; Encourages longitudinal studies; Jones and Wilson, 2020;
28; Positivism; Longitudinal Study; Quota Sampling; N=50; Medical Researchers; Quota Sampling; Descriptive Statistics; Scientific Progress; Recommends ethical guidelines; Obtained informed consent; Limited by selection bias; Contributed to philosophy of science; Advocates for larger samples; Miller and Davis, 2019;
