;Scientific Discipline;Concept Name;Description;Hypothesis;Variables;Control;Test;Data;Analysis;Conclusion**
0; Physics;Gravity;The force that attracts two objects towards each other;If the mass of the objects is increased, the force of gravity will also increase;Mass, Distance;A stationary object;Test by dropping two objects of different masses and observing their acceleration;Observed acceleration, Calculated gravity;The object with greater mass has a greater acceleration, supporting the hypothesis.;
1; Chemistry;Acid-Base Reactions;The reaction between an acid and a base;If hydrochloric acid is added to sodium hydroxide, a neutralization reaction will occur;Acid concentration, Base concentration;Deionized water;Test by mixing hydrochloric acid and sodium hydroxide;pH, Volume of reaction;The pH increases and the volume of the solution decreases, supporting the hypothesis.;
2; Biology;Photosynthesis;The process by which plants convert light energy into chemical energy;If a plant is placed in a dark room, its rate of photosynthesis will decrease;Light intensity, Carbon dioxide concentration;A fully lit room;Test by measuring the plant's growth in a dark room and a fully lit room;Plant growth, Chlorophyll content;The plant in the dark room grows slower and has less chlorophyll, supporting the hypothesis.;
3; Earth Science;Plate Tectonics;The movement of the Earth's lithosphere that leads to the formation of continents and volcanoes;If two tectonic plates converge, one plate will be forced beneath the other;Plate movement, Density of plates;A location where two tectonic plates meet;Test by measuring the movement of the plates and their density;Seismic activity, Topography;The plate with lower density is forced beneath the other plate, leading to seismic activity and changes in topography, supporting the hypothesis.;
4; Astronomy;Gravitational Waves;Ripples in the fabric of spacetime caused by accelerating massive objects;If two black holes merge, they will produce gravitational waves;Black hole mass, Distance from source;A location away from the source;Test by detecting the gravitational waves using a laser interferometer;Wave signal, Amplitude;The wave signal matches the expected signal and the amplitude decreases with distance, supporting the hypothesis.;
5; Psychology;Cognitive Dissonance;The discomfort experienced when holding two contradictory beliefs or values;If a person is asked to write an essay supporting a position they disagree with, they will experience cognitive dissonance;Person's beliefs, Essay topic;A controversial topic;Test by measuring the person's level of discomfort before and after writing the essay;Discomfort level, Persistence of belief;The person's discomfort level increases and their belief in the opposing position persists, supporting the hypothesis.;
6; Engineering;Structural Integrity;The ability of a structure to withstand external forces;If a bridge is subjected to high winds, its structural integrity will be compromised;Wind speed, Bridge design;A bridge in a windy area;Test by measuring the bridge's response to high winds;Strain on bridge, Deformation;The bridge experiences increased strain and deformation under high winds, supporting the hypothesis.;
7; Mathematics;Number Theory;The study of the properties of integers;If a prime number is divided by any integer greater than 1, the remainder is always 0 or the integer;Prime number, Divisor;An integer greater than 1;Test by dividing a prime number by a number greater than 1 and observing the remainder;Remainder, Divisibility;The remainder is always 0 or the divisor, supporting the hypothesis.;
8; Computer Science;Algorithmic Efficiency;The study of how to solve computational problems efficiently;If a sorting algorithm is modified to reduce the number of comparisons, its time complexity will decrease;Input size, Comparisons;A list of items to be sorted;Test by measuring the time it takes to sort the list using the original and modified algorithms;Sort time, Comparisons;The modified algorithm takes less time and performs fewer comparisons, supporting the hypothesis.;
9; Medicine;Drug Efficacy;The ability of a drug to produce a desired effect;If a new drug is tested against a placebo, it will have a greater therapeutic effect;Drug dosage, Placebo;A group of patients with the same condition;Test by measuring the improvement in symptoms for patients taking the drug and placebo;Symptom improvement, Adverse effects;The patients taking the drug experience greater symptom improvement and fewer adverse effects, supporting the hypothesis.</s>;
