Geomancy|Judge|Witness|Cross|Reconciler|Succedent|Arabic|Chinese|Qabalistic|Belomancy|Aeromancy|Notarikon|
Chinese|Rabbit|7|3|2|9|4|12|13|14|15|11|5|
Roman|Wings|2|14|6|5|15|11|12|1|7|10|8|
Gold|Unicorn|6|1|11|12|7|14|4|9|10|13|15|
Guardian|Eagle|4|15|1|10|13|8|5|6|12|14|9|
Modem|Swan|15|6|13|2|8|5|3|14|1|11|10|
Egyptian|Hare|13|7|14|14|9|6|2|11|5|15|12|
Romani|Chameleon|11|4|7|13|1|3|8|10|13|6|4|
Rational|Sphinx|1|11|9|15|10|7|13|8|2|4|5|
Beacon|Peacock|9|8|10|4|12|2|9|7|4|1|13|
Hermes|Bull|3|5|12|1|5|10|6|13|15|2|11|
Aesc|Dog|5|2|3|6|3|1|15|12|8|7|14|
