Geomancy|Head|Fortuna Minor|Fortuna Major|Fortuna Maior|Cauda Draconis|Puer|Albus|Rubeus|Tristitia|Caput Draconis|Via|Fortuna Minor Position|
West African|Heads|14|9|7|3|7|1|6|13|4|6|11|
Tetragrammaton|Cups|3|7|6|4|14|1|2|15|4|14|4|
Zodiacal|Cup|9|2|10|8|1|12|7|14|9|11|10|
Planet|Circle|15|5|2|2|4|15|5|12|11|11|7|
Scriptural|One|1|12|1|10|15|5|15|11|13|4|12|
Byzantine|Serpent|2|3|13|9|2|14|12|15|8|5|15|
Judicial|Birds|7|14|14|7|13|3|4|6|7|1|9|
Kabbalistic|Altars|8|4|11|5|11|9|14|4|10|15|2|
Cosmological|Sun|11|13|4|6|5|4|11|2|5|2|13|
Traditional|Shields|4|6|5|1|3|13|6|5|2|10|5|
Middle Eastern|Beetle|12|11|12|14|9|7|13|7|3|8|14|
Four Elements|Square|10|16|8|12|8|16|9|13|6|6|1|
Medieval|Seal|13|15|15|13|6|2|1|3|1|9|3|
