| Word         | Role           | Form                | Origin             |
| ------------ | ------------- | ------------------ | ------------------ |
| Eros         | God           | Bow, Feathers      | Greek              |
| Apollo        | God           | Lyre, Laurel wreath| Greek              |
| Zeus          | God           | Thunderbolt        | Greek              |
| Poseidon      | God           | Trident            | Greek              |
| Ares          | God           | Helmet, Spear      | Greek              |
| Hera          | Goddess       | Peacock, Pomegranate| Greek              |
| Athena        | Goddess       | Owl, Armour        | Greek              |
| Artemism      | Goddess       | Bow, Quiver        | Greek              |
| Aphrodite     | Goddess       | Dove, Apple        | Greek              |
| Hephaestus    | God           | Anvil, Hammer      | Greek              |
| Dionysus      | God           | Ivy, Grapevine     | Greek              |
| Demeter      | Goddess       | Torch, Wheat       | Greek              |
| Hades         | God           | Helm of Darkness   | Greek              |
| Persephone    | Goddess       | Pomegranate        | Greek              |
