Family | Latin Name | Kingdom | Order | Suborder | Genus | Species | Common Name | Size 
Aquificales | Aquificae | Eukarya | Aquificales | | Aquificales | Aquificae | Thermophilic Bacteria | Tiny 
Chloroflexi | Chloroflexus aggregans | Eukarya | Chloroflexi | | Chloroflexus | aggregans | Green Non-Sulfur Bacterium | Tiny 
Cyanobacteria | Nostoc punctiforme | Eukarya | Cyanobacteria | | Nostoc | punctiforme | Heterocystous Cyanobacterium | Tiny 
Fungi | Cryptococcus neoformans | Eukarya | Fungi | Basidiomycota | Cryptococcus | neoformans | Dimorphic Fungus | Tiny 
Protozoa | Giardia lamblia | Eukarya | Protozoa | Sarcomastigophora | Giardia | lamblia | Flagellated Protozoan | Tiny 
Archaea | Halobacterium salinarum | Eukarya | Archaea | Euryarchaeota | Halobacterium | salinarum | Halophilic Archaeon | Tiny 
Alveolata | Toxoplasma gondii | Eukarya | Alveolata | Apicomplexa | Toxoplasma | gondii | Intracellular Parasite | Tiny 
Plantae | Cucurbita maxima | Eukarya | Plantae | Tracheophyta | Cucurbita | maxima | Pumpkin | Medium 
Viridiplantae | Chlamydomonas reinhardtii | Eukarya | Viridiplantae | Chlorophyta | Chlamydomonas | reinhardtii | Green Algae | Tiny 
Chlorophyta | Chlorella vulgaris | Eukarya | Viridiplantae | Chlorophyta | Chlorella | vulgaris | Green Algae | Tiny 
Rhizaria | Acantharia | Eukarya | Rhizaria | Cercozoa | Acantharia | | Colonial Protist | Tiny 
Chromalveolata | Aureococcus anophagefferens | Eukarya | Chromalveolata | Heterokontophyta | Aureococcus | anophagefferens | Unicellular Algae | Tiny 
Forbacteria | Chlorobium limicola | Eukarya | Forbacteria | Chlorobi | Chlorobium | limicola | Green Sulfur Bacterium | Tiny
