Aleph | Bet | Gimmel | Daled | Hei | Vov | Zain |
Astronomers | Astrolab | Chronometer | Dark Matter | Ephemeris |
Galileoscope | Harmonic Analyzer |
Spectrometer | Telescope | Telescope Mount |
Ultraviolet | Visible Light | Ultrawideband | X-ray |
Theodolite | Radio Telescope | Laser Rangefinder |
Robotic Telescope | Low Frequency | Laboratory | Microscope |
Astronomy | Length | Width | Mass | Architecture | Spectrum | Symbols | Limitations
Sun | 1.392×10^9 km | 1.392×10^9 km | 1.989×10^30 kg | Photosphere | Visible | Helioseismology | Low Temperatures
Mercury | 4879km | 4879 km | 3.285×10^23 kg | Core | Radio | Magnetopause | Heavy Metals 
Venus | 12,104 km | 12,104 km | 4.867×10^24 kg | Crust | Gamma | Solar Wind | Ionosphere 
Earth | 12,756 km | 12,756 km | 5.972×10^24 kg | Mantle | Infrared | Aurora | Atmospheric Pressure
Mars | 6,792 km | 6,792 km | 6.39 × 10^23 kg | Atmosphere | X-Ray | Crater | Unstable Climate
Jupiter | 142,984 km | 142,984 km | 1.898×10^27 kg | Magnetosphere | Ultraviolet | Great Red Spot | Rings
Saturn | 120,536 km | 120,536 km | 5.683×10^26 kg | Core | Submillimeter | Cassini Division | Heat Transport 
Uranus | 51,118 km | 51,118 km | 8.681×10^25 kg | Magnetotail | Microwave | Geometric Albedo | Axial Tilt 
Neptune | 49,532 km | 49,532 km | 1.024×10^26 kg | Ionosphere | Visible | Dark Spots | Rotation 
Pluto | 2372 km | 2372 km | 1.309×10^22 kg | Atmosphere | Radio | Charon | Frozen Water
