Geomancy|Head|Fortuna Minor|Fortuna Major|Fortuna Maior|Daughter|Mother|Nymph|Father|Geburah|Hod|Chesed|Geburah Position|
Chevreul|Sand|7|3|10|15|6|13|14|1|5|12|4|
Romani|Rivers|16|1|13|2|1|14|11|6|2|10|13|
Rational|Knife|10|11|6|13|8|2|15|4|9|14|1|
Chiromancy|Trees|1|7|15|10|11|6|5|3|1|13|14|
Modem|Roofs|14|9|4|12|3|4|13|2|15|3|5|
Egyptian||8|13|12|1|2|5|14|7|10|7|10|
Aesc|Grains|13|5|2|11|7|8|9|15|14|4|2|
Hermes||12|4|8|4|10|1|3|5|13|3|14|
Natural|Mountains|11|14|9|9|13|7|1|8|11|9|3|
Gold|Honeycomb|3|2|1|14|15|12|10|12|12|8|5|
Beacon|Rock|5|12|5|3|5|15|7|13|8|7|9|
Guardian|Scale|4|10|3|8|12|9|11|10|6|2|3|
Horary|Dragon|15|6|7|7|14|3|8|4|2|4|7|
Trinitarian|Bull|2|8|11|6|9|10|6|11|4|6|8|
Scotch|Pyramid|8|15|14|1|4|11|12|5|6|5|4|
Crooked|Gateway|6|4|13|5|1|2|2|3|7|11|6|
