Species | Decimal | Number | Text | Media | Character | Authenticity | Journal
Homo | 0.45 | 5 | Symbols | Photography | Creation | Uniqueness | Magazine
Zenbu | 0.72 | 8 | Glyphs | Film | Description | Complexity | Paper
Omega | 1.00 | 10 | Ciphers | Television | Analysis | Accuracy | Inquiry
Sigma | 0.25 | 3 | Dialects | Radio | Synthesis | Resonance | Review
Hysteresis | 0.09 | 1 | Lingua | Theater | Imagery | Dialogue | Opinion
Delta | 0.50 | 6 | Expressions | Art | Invention | Plurality | Prospects 
Theta | 0.20 | 2 | Legends | Design | Imagination | Mana | Monograph
Alpha | 0.60 | 7 | Narrative | Posters | Evocation | Awareness | Series 
Beta | 0.80 | 9 | Stories | Print | Scenarios | Determinism | Observer 
Gamma | 0.70 | 8 | Myths | Paintings | Representation | Uncertainty | Chronicle
