Geosyncline | Fault | Palaeomagnetism | Magma
------------- | ----- | --------------- | ----- 
Continental Drift | Strike-Slip Fault | Magnetic Anomalies | Magmatic Plumbing 
Geology | Thrust Fault | Curie Point | Igneous Rocks 
Plate Tectonics | Reverse Fault | Earth's Magnetic Field | Sedimentary Rocks 
Isostasy | Normal Fault | Anisotropy of Magnetic Susceptibility | Metamorphic Rocks 
Hydroplates | Step Fault | Remanent Magnetism | Metasomatism 
Geomorphology | Fracture | Non-Remanent Magnetism | Igneous Intrusion 
Oceanography | Transform Fault | Magnetic Dipole | Magma Evolution 
Seismology | Sliding Fault | Isothermal Remanent Magnetism | Magma Chamber 
Petrology |Vegetational Fault | Magnetic Susceptibility | Magma Differentiation 
Stratigraphy | Pressure Ridge | Thermo Remanent Magnetism | Magma Cooling 
Volcanology | Dextral Fault | Remanent Magnetization | Magma Source 
Morphodynamics| Sinistral Fault | Chemical Remanence | Melting Process
