| Word          | Attributes | Special Power  | Weapon       |
| ------------- | ----------- | ------------ | ------------- |
| Zeus           | King        | Thunderbolt   | Aegis         |
| Poseidon       | God of Sea | Storm, Waves  | Trident       |
| Hestia         | Goddess of  | Hearth       |               |
| Aphrodite      | Love        | Beauty, Desire| Sword, Mirror |
| Hermes         | Messenger   | Fleet-footed  | Caduceus      |
| Apollo         | God of Sun  | Archery       | Bow & Arrows  |
| Ares           | God of War  | Strength      | Spear         |
| Artemis        | Huntress    | Archery       | Bow & Arrows  |
| Athena         | Wisdom      | Tactic        | Aegis         |
| Demeter        | Harvest     | Abundance     |               |
| Dionysus       | Wine        | Intoxication  | Thyrsus       |
| Hades          | Underworld  | Death         | Scythe        |
| Helios         | Sun         | Light         |               |
| Eos            | Morning     | Dawn          |               |
| Selene         | Evening     | Moon          |               |
