Name | Type | Watering | Fertilizing | Winterization | Trimming | Planting | Problem Prevention
Turf | Grass | Low | High | Medium | Low | High | High
Hollies | Evergreen Shrubs | High | Moderate | High | High | Moderate | Medium
Mums | Flowering Annuals | High | Low | Low | Low | High | Low
Lilacs | Flowering Shrubs | Moderate | Low | High | Medium | Moderate | High
Groundcover | Spreading | Moderate | Low | Low | Low | Medium | High
Vinca | Flowering Vines | Medium | Low | Low | Low | High | Low
Shade Trees | Ornamental Trees | Low | Low | High | High | High | High
Tomatoes | Vegetables | High | High | Low | High | High | Low
Ornamental Grasses | Ornamental Grasses | Low | Low | High | High | High | Medium
Cypress | Evergreen Trees | Low | Low | High | High | High | High
Hedges | Deciduous Shrubs | Moderate | Moderate | High | High | Medium | High
Cucumbers | Vegetables | High | High | Low | Medium | High | Low
Asparagus | Vegetables | Moderate | Low | High | Low | High | High
Roses | Flowering Shrubs | Moderate | Moderate | High | High | High | Low
Berries | Fruiting Shrubs | Moderate | Low | High | High | High | Moderate
