Hydrothermal | Shallow | Igneous Rock | High Pressure Metamorphism 
------------------- | ------- | ------------ | ------------------------
Seismic Waves | Continental Crust | Sedimentary Rock | Low Pressure Metamorphism 
Volcanic Activity | Basalt | Plutonic Rock | Foliation 
Hot Springs | Gabbro | Volcanic Rock | cleavage 
Plateaus | Granite | Intrusive Rock | rocks 
Geysers | Diorite | Explosive Rock | Contact Metamorphism 
Mudpots | Andesite | Igneous Metamorphism | Regional Metamorphism 
Fumaroles | Thermal Gradients | Mineral Deposits | Metamorphic Grade 
Thermal Springs | Magma Chambers | Marble | Metamorphic Facies 
Geothermal Energy | Oceanic Crust | Slate | Pressure-Temperature 
Mantle Plumes | Volcanic Conduits | Quartzites | Mineralogical Zoning 
Flaws | Upwelling Magma | Schist | Structural Zones 
Dykes | Magma Intrusion | Hornfels | Laying Down Pressure
