Name | Country | Continent | Region | Altitude | Latitude | Longitude | Annual Avg | Annual Precip | Humidity | Wind
West Plains, GA | United States | North America | US | 225 m | 33.2 | 82 | 15.4°C | 926 mm |Humid | 5.6 km/h
Tifton, GA | United States | North America | US | 103 m | 31.5 | 83.7 | 15.9°C | 1020 mm | Humid | 4.9 km/h 
Fayetteville, AR | United States | North America | US | 160 m | 36.0 |94.1| 16.2°C | 1118 mm |Humid | 6.0 km/h
Savannah, GA | United States | North America | US |14 m | 32.1 | 81.1 | 17.0°C | 1155 mm |Humid | 5.2 km/h
Kendallville, IN | United States | North America | US | 213 m | 41.4 | 85.3 | 8.8°C | 812 mm |Humid |6.0 km/h 
South Bend, IN | United States | North America | US | 202 m | 41.7 |86.3 | 9.4°C | 848 mm |Humid | 6.2 km/h
Los Angeles, CA | United States | North America | US | 32 m | 34.1 |118.4| 16.6°C |694 mm| Humid | 4.3 km/h
Houston, TX | United States | North America | US |20 m |29.8|95.3| 18.7°C |1263 mm |Humid | 5.8 km/h
New York,NY | United States | North America | US | 10m | 40.7 | 73.9| 11.7°C |1249 mm |Humid | 4.3 km/h
Gainesville, FL | United States | North America | US | 43m | 29.7 | 82.3| 16.1°C |1390 mm |Humid | 5.4 km/h
