Basalt | Gneiss | Fault | Shear Zone 
-------------- | ------ | ------ | ------------ 
Granite | Schist | Joint | Normal Fault 
Sandstone | Marble | Horst | Strike-Slip Fault 
Limestone | Conglomerate | Graben | Sinistral 
Dolerite | Shale | Anticline | Dextral 
Pumice | Breccia | Syncline | Dip-Slip Fault 
Obsidian | Volcanic Ash | Unconformity | Thrust Fault 
Rhyolite | Siltstone | Monocline | Reverse Fault 
Conglomerate | Mudstone | Antiform | Fault Breccia 
Tuff | Geo-Syncline | Synform | Fault Gouge 
Basaltic Tuff | Reef | Folds | Detachment Fault 
Pyroclastic Flow | Hydrothermal Vein | Faults | Strike-Slip Duplex 
Batholith | Fold Nappe | Ductile Shearing | Fracture Zone 
Andesite | Metamorphic Core | Mantle Plume | Transform Fault
