| Word         | Definition   | Synonyms           | Origin             | Supernatural |
| ------------ | ------------ | ------------------ | ------------------ | -------------- |
| Witch        | Sorceress    | Enchantress, Warlock | Germanic           | Yes            |
| Boiuu        | Giant        | Titans, Cyclopes    | Greek, Roman       | Yes            |
| Succubus     | Female demon | Lilin, Incubus      | Jewish, Christian  | Yes            |
| Mermaid      | Half-human   | Sirens              | Greek              | Yes            |
| Kraken       | Sea monster  | Colossal squid      | North seas         | Yes            |
| Werewolf     | Man-wolf     | Lycanthrope         | European           | Yes            |
| Jinn         | Spirit       | Ifrit               | Islamic            | Yes            |
| Vampire      | Blood-sucker | Upir, Nosferatu     | European           | Yes            |
| Dragon       | Flying beast | Wyrm, Wyvern        | Asian, European    | Yes            |
| Golem        | Artificial   | Homunculus          | Jewish             | Yes            |
