Lava Flows | Strata | Igneous Rocks | Metamorphic Rocks 
------------------ | ------ | -------------- | ----------------- 
Bedrock | Unconformities | Basalt | Slate 
Volcanic Ash | Sedimentary Rocks | Granite | Quartzite 
Meteors | Volcanoes | Pomice | Marble 
Magnesium | Weathering | Ophiolite | Schist 
Groundwater |Plate Tectonics | Gabbro | Gneiss 
Soil | Continental Drift | Rhyolite | Hornfels 
Mineralogy | Seismic Waves | Andesite | Amphibolite 
Petrology | Earthquake Epicenters | Diorite | Skarn 
Basin | Seismic Refraction | Obsidian | Eclogite 
Stratification | Faults | Pumice | Mylonite 
Foliations | Hotspots | Lopolith | Blueschist
