Level | Niche | Landscape | Prey | Predator | Pollinator | Herbivore | Microhabitat | Ecosystem
---- | ----- | --------- | ---- | -------- | ---------- | --------- | ------------ | ---------
Troposphere | Air | Flat | None | None | Hummingbird | Elephant | Air pockets | Atmosphere 
Mountain | Rock | Mountainous | Land vertebrate | Mammal | Bee | Deer | Crevices | Alpines 
Freshwater | Water | Plain | Invertebrates | Fish | Butterfly | Geese | Ponds | Aquatic 
Coastal | Sand | Shore | Algae | Sea turtle | Bee | Otter | Sandbar | Marine
Savanna | Grassland | Plains | Fish | Cheetah | Hummingbird | Zebra | Rocky outcrops | Temperate
Desert | Dry scrubland | Sand | Insects | Hawk | Dragonfly | Woodland rodent | Dense scrub | Arid 
Estuary | Mudflat | Mouth of river | Small fish | Estuarine crocodile | Fly | Gutworms | Mudbanks | Estuarine 
Marsh | Wetland | Water | Crustaceans | Snake | Moth | Tortoise | Grass tufts | Wetland 
Cave | Rock | Limestone | Insects | Owl | Moth | Bat | Stalactites | Subterranean
