Mohs Hardness Scale | Flinn-Engdahl Regions | Radial Faults | Riedel Shear 
------------------------ | ------------------- | ------------- | ------------
Carbon Cycle | Peridotite | Strike-Slip Fault | Cleavage 
Volcanic Eruptions | Basalt | Compressional Faults | Joints 
Mineral Identification | Granite | Normal Faults | Foliation 
Igneous Rock | Gabbro | Strike-Slip Motion | Dip-Slip Motion 
Metamorphic Rock | Andesite | Manipulative Stress | Sheer Stress 
Seismic Waves | Rhyolite | Folding Stress | Lava 
Tillites | Marble | Geologic Structures | Geomorphic Features 
Glaciers | Schist | Bedrock Geology | Stratigraphic Succession 
Mudcracks | Gneiss | Geologic Provinces | Ore Deposits 
Fossilization | Hydrothermal Activity |Fault Zones | Impact Craters 
Phase Changes | Regional Metamorphism | Fold Mountains | Core Complexes
Orogenic Systems | Volcanic Arc | Tectonic Plates | Deep-Sea Trenches 
Volcanic Ash | Plateau Basalts | Subduction Zone | Volcanic Islands 
Geodynamic Processes | Subsidence | Continental Crust | Oceanic Crust
