Name  | Symptoms | Age | Breed | Weight | Species| Color | Vaccine | Initials 
Dog   | Cough   | 5 Yrs |  Chiu  | 10 lbs | Canine | Brown  | Parvo   | A.S. 
Cat   | Limping | 2 Yrs | Siamese | 8 lbs  | Feline | White  | Rabies  | M.F.
Bird  | Fray    | 1 Yr | Parakeet| 3 lbs  | Avian  | Multi  | Vented  | L.S.
Horse | Cough   | 10Yrs| Palomino| 950lbs | Equine | Chest  | Strangles| P.T.
Goat  | Limping | 3 Yrs| Boer    | 90lbs  | Bovine | Tan    | Rotavirus| J.D.
Sheep | Itchy   | 2 Yrs| Suffolk | 110lbs | Ovine  | Black  | CDT     | K.G.
Pig   | Hoof Rot| 1 Yr |Yorkshire| 55lbs  | Porcine| Pink   | Erysipelas| E.W.
Cow   | Cough   | 4 Yrs| Holstein| 1550lbs| Bovine |White-Spotted|Johne's    | B.J.
Duck  | Sneezing| 3 Yrs| Pekin   | 4 lbs  | Avian  | White  | Newcastle | G.R.
Goose | Itchy   | 5 Yrs| Emden   | 18 lbs | Avian  | Grey   | Duck virus| H.W.
