Geomancy|Head|Fortuna Maior|Conjunction|Contrary|Daughter|Fortuna Major Position|Moon|Radius|Rival|Significator|Sun|Witness|
Chevreul|Many Leaves|0|11|11|6|9|14|12|5|6|13|3|16|
Romani|Deer Tracks|16|7|7|9|5|10|2|8|3|14|15|4|
Rational|Cut Reeds|15|9|9|7|8|3|14|6|16|5|7|10|
Chiromancy|Claws|3|15|15|5|11|2|13|1|7|10|16|4|
Modem|Axe|14|6|6|13|4|10|3|8|14|12|5|7|
Egyptian|Gates|12|8|8|15|1|2|10|4|3|11|13|16|
Aesc|Wrapped Twig|3|14|14|5|3|1|16|9|15|8|12|7|
Hermes|Two Birds|2|10|10|10|6|9|13|5|7|15|4|12|
Natural|Forest|4|12|12|10|9|3|11|8|6|16|2|13|
Gold|Vulture|13|4|4|4|15|1|12|2|10|9|14|7|
Beacon|Staff|11|2|2|11|2|9|7|5|15|3|13|6|
Guardian|Cobra|7|7|7|7|4|8|15|3|5|1|14|4|
Horary|Owl|6|5|5|2|14|2|9|1|16|7|3|10|
Trinitarian|Shell|8|3|3|6|11|3|4|6|5|12|14|15|
Scotch|Pin|1|11|11|3|12|4|14|7|3|2|5|13|
Crooked|Wheel|5|13|13|14|1|7|10|8|2|4|12|6|
