Nation | Ambassador | Coalition | Alliances | Currency | Conflict | Energy | Trade | Government | Institution | Issues
-------------- | --------------- | --------------- | --------------- | -------------- | --------------- | --------------- | --------------- | --------------- | ------------------- | ---------------
Egypt | Shoukry | SADC | African Union | Pound | Libya | Oil | Debt | Monarchy | African Union | Arms Trade 
Saudi Arabia | Al-Jubeir | GCC | OAM | Riyal | Yemen | Gas | Foreign Investment | Totalitarian | Arab League | Migration 
South Korea | Yoon | Six-Party | RCEP | Won | DMZ | Nuclear | Technology | Presidential | Asian Development Bank | Terrorism 
Jordan | Al-Mayyil | BSEC | Arab Maghreb | Dinar | Jerusalem | Renewable | Human Capital | Constitutional | WTO | Climate Change 
Indonesia | Retno | ASEAN | Arab League | Rupiah | West Papua | Solar | FDI | Semi-Presidential | World Bank | Water Scarcity 
Mexico | Videgaray | G3 | NAFTA | Peso | Cartels | Wind | Migration | Federal | Organization of American States | Cyber Attacks 
Argentina | Bielsa | MERCOSUR | Polynesian | Peso | Falklands | Hydro | Tourism | Presidential | Mercosur | Human Rights 
Australia | Payne | MIKTA | East Asia Summit | Dollar | Spratley | Geothermal | Agricultural | Federal | IMF | Illicit Trade 
Brazil | Araujo | UE-LAC | IBSA | Real | Bolsonaro | Biomass | Trade Deficit | Presidential | Inter-American Development Bank | Extremism 
Turkey | Çavuşoğlu | USAN | OIC | Lira | Kurds | Tidal | Remittance | Parliamentary | United Nations | Piracy
