;* Athlete Nickname; Athletic Association Number (AAN); Competition Identifier (CID); Type Of Sport; Total Points; Passes Completed; Blocked Shots; Interceptions; Penalties Conceded; Average Age Of Team Members; Standard Deviation Of Players Height; Highest Salary Amongst Team Members; Lowest Attendance During A Season; Column14; Column15
0;" ""LeBron James"""; 123456; CID-7890; Basketball; 20000; 500; 100; 200; 50; 28.5; 7.2; 37000000; 12000; SomeData; MoreData
1;"""Serena Williams"""; 789012; CID-3456; Tennis; 15000; 0; 0; 0; 2; 30.2; 1.8; 20000000; 8000; SomeData; MoreData
2;"""Tom Brady"""; 345678; CID-0123; American Football; 12000; 400; 5; 15; 3; 29.1; 0.9; 25000000; 65000; SomeData; MoreData
3;"""Simone Biles"""; 987654; CID-6543; Gymnastics; 18000; 0; 0; 0; 1; 18.6; 0.4; 500000; 12000; SomeData; MoreData
4;"""Messi"""; 234567; CID-7654; Soccer; 25000; 300; 80; 50; 10; 26.3; 1.3; 40000000; 50000; SomeData; MoreData
5;"""Ronaldo"""; 876543; CID-4321; Soccer; 24000; 250; 70; 60; 15; 27.1; 1.5; 50000000; 55000; SomeData; MoreData
6;"""Crosby"""; 567890; CID-8523; Ice Hockey; 10000; 200; 30; 40; 25; 25.8; 0.8; 8000000; 15000; SomeData; MoreData
7;"""Nadal"""; 012345; CID-9638; Tennis; 14000; 0; 0; 0; 3; 29.5; 1.9; 15000000; 9000; SomeData; MoreData
8;"""Durant"""; 654321; CID-3847; Basketball; 19000; 450; 80; 120; 40; 27.8; 7.1; 7000000; 13000; SomeData; MoreData
9;"""Curry"""; 987654; CID-2958; Basketball; 17000; 400; 70; 100; 35; 26.9; 6.8; 6500000; 14000; SomeData; MoreData</s>
